© 2000-2020 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
IFNG	 	cytokine	Activated	3.083	2.45E-46	B2M,CD14,CD163,CD4,CD44,CD63,CD74,CMPK2,DDX60L,DTX3L,DUSP1,EEF1A1,EGR1,EIF2AK2,FCGR3A/FCGR3B,FOS,FOSB,GSTP1,HLA-A,HLA-B,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,IER2,IFI16,IFI27,IFI44,IFI44L,IFI6,IFIT1,IFIT3,IFITM2,IFITM3,IL6R,IRF7,ISG15,ITGB2,JUN,JUNB,KLF4,LGALS3BP,LY6E,MX1,MX2,NFKBIA,OAS1,OAS2,OAS3,OASL,PARP9,PIM1,PLSCR1,RACK1,RSAD2,S100A8,S100A9,SAMD9,SELL,SERPINA1,SLFN5,SP100,STAT1,TNFAIP2,TRIM22,TYMP,XAF1	98 (20)
lipopolysaccharide	 	chemical drug	Activated	2.737	5.46E-45	ACSL1,ADAR,ALDH2,APOBEC3A,CALM1 (includes others),CD14,CD163,CD4,CD44,CD53,CD63,CD74,CMPK2,CRTAP,DDX3X,DUSP1,EEF2,EGR1,EIF2AK2,FCGRT,FOS,FOSB,FPR1,GSTP1,HLA-A,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRB5,IFI16,IFI27,IFI44,IFI44L,IFI6,IFIT1,IFIT3,IFITM2,IL6R,IRF7,ISG15,ITGB2,JCHAIN,JUN,JUNB,KLF4,LGALS3BP,LTA4H,LYZ,MX1,MX2,NFKBIA,OAS1,OAS2,OAS3,OASL,PARP9,PIM1,PLSCR1,RGS2,RNASE2,RSAD2,S100A12,S100A8,S100A9,SELL,SERPINA1,SIGLEC1,STAT1,TMSB10/TMSB4X,TNFAIP2,TNFAIP3,TPT1,TRIM22,TYMP,XAF1,ZFP36L2	107 (21)
Interferon alpha	 	group	Activated	5.701	1.06E-37	ADAR,APOBEC3A,B2M,DUSP6,EIF1,EIF2AK2,EPSTI1,FOS,HLA-A,HLA-B,IFI16,IFI27,IFI44,IFI44L,IFI6,IFIT1,IFIT3,IFITM2,IFITM3,IL6R,IRF7,ISG15,MX1,MX2,NFKBIA,OAS1,OAS2,OAS3,PARP9,PIM1,PLSCR1,RNF213,RSAD2,S100A9,SAMD9,SAMD9L,SIGLEC1,SLFN5,SP100,STAT1,TRIM22,TYMP	77 (14)
IFNL1	 	cytokine	Activated	4.989	1.44E-37	CMPK2,DDX60L,EIF2AK2,HLA-B,IFI27,IFI44,IFI44L,IFI6,IFIT1,IFIT3,IFITM2,IFITM3,ISG15,LGALS3BP,MX1,OAS1,OAS2,OAS3,OASL,PLSCR1,RSAD2,SAMD9,SP100,STAT1,TRIM22,XAF1	67 (8)
STAT1	0.311	transcription regulator	Activated	4.019	2.09E-37	B2M,CD14,CMPK2,EGR1,EIF2AK2,EPSTI1,FOS,HLA-DQA1,HLA-DRB5,IFI16,IFI27,IFI44,IFI44L,IFI6,IFIT1,IFIT3,IFITM2,IFITM3,IRF7,ISG15,JUN,KLF4,LY6E,MX1,OAS1,OAS2,OAS3,OASL,PARP9,PIM1,PLSCR1,RNF213,RSAD2,SAMD9L,SLFN5,STAT1,TRIM22,TYMP,XAF1	83 (12)
tretinoin	 	chemical - endogenous mammalian	Activated	3.966	2.33E-34	ACSL1,ADAR,AHNAK,AP1S2,CALM1 (includes others),CD14,CD44,CD52,CD53,CD63,CD74,CES1,DDX60L,DUSP1,EEF1A1,EGR1,EIF2AK2,EIF3C,FOS,GSTP1,HLA-A,HLA-B,HLA-DMB,IFI16,IFI27,IFI44,IFI44L,IFI6,IFIT1,IFIT3,IL6R,ISG15,ITGB2,JAML,JCHAIN,JUN,KLF4,LGALS3BP,LY6E,OAS1,OAS2,OAS3,OASL,PARP9,PIM1,PLSCR1,RNF213,S100A8,S100A9,SAMD9L,SELL,SLFN5,SP100,SRGN,STAT1,TGFBI,TMSB10/TMSB4X,TNFAIP2,TNFAIP3,TPT1,TRIM22,XAF1	99 (20)
PRL	 	cytokine	Activated	4.386	7.23E-33	ADAR,B2M,CLU,CMPK2,CTSA,DDX60L,DTX3L,EGR1,EIF2AK2,EPSTI1,FOS,IFI44,IFI44L,IFI6,IFIT1,IFIT3,IRF7,ISG15,JUN,LY6E,MX2,OAS1,OAS2,OAS3,PIM1,PLSCR1,RSAD2,SAMD9,SAMD9L,SP100,STAT1,TPM3,XAF1	90 (19)
IFNA2	 	cytokine	Activated	5.477	4.16E-32	B2M,CMPK2,EIF2AK2,HLA-A,HLA-B,IFI16,IFI27,IFI44,IFI44L,IFI6,IFIT1,IFIT3,IFITM2,IFITM3,IRF7,ISG15,LGALS3BP,LY6E,MX1,MX2,OAS1,OAS2,OAS3,PARP9,PLSCR1,RSAD2,SAMD9,SP100,STAT1,TRIM22,XAF1	80 (15)
poly rI:rC-RNA	 	biologic drug	Activated	3.497	4.28E-32	ADAR,B2M,CD14,CD44,CD74,DUSP1,EGR1,EIF2AK2,FOS,FPR1,HLA-A,HLA-B,HLA-DMB,IFI16,IFI27,IFI44,IFIT1,IFIT3,IFITM3,IRF7,ISG15,JUN,JUNB,KLF4,LTA4H,LY6E,LYZ,MX1,NFKBIA,OAS1,OAS2,OAS3,OASL,PIM1,RGS2,RSAD2,SRGN,STAT1,TNFAIP2,TNFAIP3	94 (21)
RNY3	 	other	Activated	4.123	7.53E-32	EPSTI1,IFI44,IFI44L,IFIT1,IFIT3,IFITM3,ISG15,LY6E,MX1,OAS1,OAS2,OAS3,OASL,OTOF,RSAD2,SIGLEC1,XAF1	 
