© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Interferon Signaling	6.95E00	1.39E-01	2.236	IFI6,IFIT3,IFITM3,ISG15,MX1	
Toll-like Receptor Signaling	6.75E00	7.89E-02	NaN	EIF2AK2,FOS,NFKBIA,TNFAIP3,UBA52,UBC	
Role of PKR in Interferon Induction and Antiviral Response	5.64E00	5.13E-02	0.000	EIF2AK2,FOS,HSP90AA1,HSPA5,HSPA8,NFKBIA	
Clathrin-mediated Endocytosis Signaling	4.4E00	3.11E-02	NaN	ACTG1,HSPA8,LYZ,S100A8,UBA52,UBC	
TNFR2 Signaling	3.9E00	1E-01	NaN	FOS,NFKBIA,TNFAIP3	
Renal Cell Carcinoma Signaling	3.87E00	5E-02	NaN	ETS1,FOS,UBA52,UBC	
Sumoylation Pathway	3.44E00	3.88E-02	NaN	ETS1,FOS,NFKBIA,SP100	
BAG2 Signaling Pathway	3.43E00	6.98E-02	NaN	HSP90AA1,HSPA5,HSPA8	
ILK Signaling	3.41E00	2.63E-02	-1.342	ACTG1,FOS,LEF1,NACA,TMSB10/TMSB4X	
TNFR1 Signaling	3.23E00	6E-02	NaN	FOS,NFKBIA,TNFAIP3	
Role of IL-17A in Psoriasis	3.1E00	1.54E-01	NaN	S100A8,S100A9	
EIF2 Signaling	3.08E00	2.23E-02	NaN	EIF2AK2,EIF3L,HSPA5,PABPC1,UBA52	
Activation of IRF by Cytosolic Pattern Recognition Receptors	2.94E00	4.76E-02	NaN	ADAR,ISG15,NFKBIA	
CD40 Signaling	2.9E00	4.62E-02	NaN	FOS,NFKBIA,TNFAIP3	
GM-CSF Signaling	2.81E00	4.29E-02	NaN	ETS1,PIM1,RACK1	
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	2.79E00	2.6E-02	NaN	EIF2AK2,LTB,OAS2,OAS3	
Protein Ubiquitination Pathway	2.7E00	1.83E-02	NaN	HSP90AA1,HSPA5,HSPA8,UBA52,UBC	
Prostate Cancer Signaling	2.48E00	3.3E-02	NaN	HSP90AA1,LEF1,NFKBIA	
Death Receptor Signaling	2.48E00	3.3E-02	NaN	ACTG1,NFKBIA,PARP9	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	2.48E00	2.13E-02	2.000	FOS,LYZ,NFKBIA,S100A8	
PPAR Signaling	2.32E00	2.88E-02	NaN	FOS,HSP90AA1,NFKBIA	
Glucocorticoid Receptor Signaling	2.32E00	1.49E-02	NaN	FOS,HSP90AA1,HSPA5,HSPA8,NFKBIA	
DNA Methylation and Transcriptional Repression Signaling	2.24E00	5.71E-02	NaN	CHD3,H3-3A/H3-3B	
IL-17A Signaling in Fibroblasts	2.24E00	5.71E-02	NaN	FOS,NFKBIA	
April Mediated Signaling	2.14E00	5.13E-02	NaN	FOS,NFKBIA	
Huntington's Disease Signaling	2.12E00	1.69E-02	NaN	HSPA5,HSPA8,UBA52,UBC	
B Cell Activating Factor Signaling	2.1E00	4.88E-02	NaN	FOS,NFKBIA	
MIF Regulation of Innate Immunity	2.08E00	4.76E-02	NaN	FOS,NFKBIA	
IL-12 Signaling and Production in Macrophages	2.04E00	2.27E-02	NaN	FOS,LYZ,S100A8	
iNOS Signaling	2.02E00	4.44E-02	NaN	FOS,NFKBIA	
Diphthamide Biosynthesis	2.01E00	3.33E-01	NaN	EEF2	
FAT10 Cancer Signaling Pathway	2.01E00	4.35E-02	NaN	EEF1A1,NFKBIA	
UVB-Induced MAPK Signaling	1.9E00	3.85E-02	NaN	FOS,H3-3A/H3-3B	
Systemic Lupus Erythematosus In B Cell Signaling Pathway	1.9E00	1.45E-02	1.000	FOS,IFIT3,ISG15,LTB	
CD27 Signaling in Lymphocytes	1.89E00	3.77E-02	NaN	FOS,NFKBIA	
Lymphotoxin β Receptor Signaling	1.89E00	3.77E-02	NaN	LTB,NFKBIA	
Unfolded protein response	1.84E00	3.57E-02	NaN	HSPA5,HSPA8	
Necroptosis Signaling Pathway	1.83E00	1.91E-02	NaN	EIF2AK2,SLC25A6,UBC	
Aldosterone Signaling in Epithelial Cells	1.83E00	1.9E-02	NaN	HSP90AA1,HSPA5,HSPA8	
eNOS Signaling	1.82E00	1.89E-02	NaN	HSP90AA1,HSPA5,HSPA8	
HOTAIR Regulatory Pathway	1.81E00	1.87E-02	NaN	H3-3A/H3-3B,LEF1,NFKBIA	
Induction of Apoptosis by HIV1	1.77E00	3.28E-02	NaN	NFKBIA,SLC25A6	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	1.72E00	1.28E-02	NaN	FOS,LEF1,LTB,NFKBIA	
Wnt/β-catenin Signaling	1.72E00	1.73E-02	NaN	LEF1,UBA52,UBC	
Pyridoxal 5'-phosphate Salvage Pathway	1.72E00	3.08E-02	NaN	EIF2AK2,PIM1	
Pyruvate Fermentation to Lactate	1.71E00	1.67E-01	NaN	LDHB	
