© 2000-2020 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
Interferon alpha	 	group	Activated	3.085	2.51E-20	ADAR,CD8A,EIF2AK2,IFI44,IFI44L,IFI6,IFIT3,IL7R,ISG15,MX1,NFKBIA,OAS2,OAS3,PARP9,RNF213,S100A9,SP100,STAT1	21 (13)
IFNL1	 	cytokine	Activated	3.394	2.81E-20	EIF2AK2,IFI44,IFI44L,IFI6,IFIT3,ISG15,MX1,OAS2,OAS3,SP100,STAT1,XAF1	17 (7)
RNY3	 	other	Activated	2.828	1.19E-16	IFI44,IFI44L,IFIT3,ISG15,MX1,OAS2,OAS3,XAF1	 
IRF7	 	transcription regulator	Activated	3.364	1.46E-16	ADAR,IFI44,IFI44L,IFI6,IFIT3,ISG15,MX1,OAS2,OAS3,S100A8,STAT1,XAF1	22 (13)
IFNA2	 	cytokine	Activated	3.574	2.33E-16	EIF2AK2,IFI44,IFI44L,IFI6,IFIT3,ISG15,MX1,OAS2,OAS3,PARP9,SP100,STAT1,XAF1	19 (12)
lipopolysaccharide	 	chemical drug	Activated	2.670	9.78E-16	ADAR,CD8A,EEF2,EIF2AK2,GIMAP7,HSPA8,IFI44,IFI44L,IFI6,IFIT3,IL7R,ISG15,MX1,NFKBIA,OAS2,OAS3,PARP9,S100A8,S100A9,STAT1,TMSB10/TMSB4X,TPT1,TXNIP,XAF1	28 (13)
IFN Beta	 	group	Activated	3.108	1.31E-15	EEF1A1,EIF2AK2,IFI44,IFI6,IFIT3,ISG15,MX1,OAS2,OAS3,STAT1,XAF1	20 (12)
IFNG	 	cytokine	Activated	4.090	4.80E-15	EEF1A1,EIF2AK2,HSPA8,IFI44,IFI44L,IFI6,IFIT3,IL7R,ISG15,MX1,NFKBIA,OAS2,OAS3,PARP9,RACK1,S100A8,S100A9,SP100,STAT1,TXNIP,XAF1	25 (14)
ACKR2	 	G-protein coupled receptor	Inhibited	-2.828	7.63E-15	ADAR,EIF2AK2,IFI44,IFIT3,ISG15,OAS2,OAS3,STAT1	 
IRF1	 	transcription regulator	Activated	2.935	2.11E-14	EIF2AK2,IFI44,IFI44L,IFI6,IFIT3,ISG15,MX1,OAS2,OAS3,STAT1,XAF1	24 (13)
PNPT1	 	enzyme	Inhibited	-2.828	2.80E-14	EIF2AK2,IFI44,IFIT3,ISG15,PARP9,RNF213,STAT1,XAF1	 
tretinoin	 	chemical - endogenous mammalian	Activated	2.890	4.32E-14	ADAR,CD52,EEF1A1,EEF1D,EIF2AK2,IFI44,IFI44L,IFI6,IFIT3,ISG15,OAS2,OAS3,PARP9,RNF213,S100A8,S100A9,SP100,STAT1,TMSB10/TMSB4X,TPT1,XAF1	24 (11)
STAT1	0.312	transcription regulator	Activated	2.573	4.64E-14	EIF2AK2,IFI44,IFI44L,IFI6,IFIT3,ISG15,MX1,OAS2,OAS3,PARP9,RNF213,STAT1,XAF1	23 (10)
PRL	 	cytokine	Activated	3.464	6.33E-14	ADAR,EIF2AK2,IFI44,IFI44L,IFI6,IFIT3,ISG15,OAS2,OAS3,SP100,STAT1,XAF1	19 (10)
ribavirin	 	chemical drug	Activated	2.630	9.48E-13	EIF2AK2,IFI44L,IFI6,IFIT3,ISG15,MX1,STAT1	24 (13)
IL1RN	 	cytokine	Inhibited	-3.000	1.51E-12	IFI44,IFI44L,IFI6,IFIT3,MX1,OAS2,OAS3,S100A9,SP100	22 (9)
stallimycin	 	biologic drug	 	1.942	1.87E-12	IFI44,IFI6,IFIT3,IL7R,ISG15,MX1,STAT1	17 (7)
resiquimod	 	chemical drug	 	 	2.27E-12	ADAR,EIF2AK2,IFI44L,IFIT3,ISG15,MX1,NFKBIA,OAS2,OAS3,SP100,STAT1	21 (14)
bromodeoxyuridine	 	chemical drug	 	1.942	5.34E-12	IFI44,IFI6,IFIT3,IL7R,ISG15,MX1,STAT1	17 (7)
Ifnar	 	group	Activated	2.138	5.48E-12	CD8A,EIF2AK2,IFIT3,ISG15,OAS2,RNF213,STAT1,XAF1	17 (9)
IFNAR1	 	transmembrane receptor	Activated	2.216	6.24E-12	EIF2AK2,IFI44,IFI6,IFIT3,ISG15,OAS2,OAS3,STAT1,XAF1	18 (11)
oblimersen	 	biologic drug	Activated	2.646	7.01E-12	IFI44,IFI6,IFIT3,ISG15,MX1,OAS2,STAT1	 
VCAN	 	other	Activated	2.343	1.17E-11	IFI44,IFI44L,IFI6,MX1,NFKBIA,OAS2,OAS3,STAT1,XAF1	 
PML	 	transcription regulator	Activated	2.970	1.38E-11	ACTG1,IFI44,IFI44L,IFIT3,ISG15,MX1,OAS2,OAS3,STAT1	17 (5)
CNOT7	 	transcription regulator	 	 	1.70E-11	IFI44L,IFI6,ISG15,OAS2,OAS3,STAT1	16 (7)
Ifn	 	group	Activated	2.775	4.28E-11	EIF2AK2,ISG15,MX1,OAS2,OAS3,S100A8,SP100,STAT1	20 (11)
IRF3	 	transcription regulator	Activated	2.929	7.69E-11	ADAR,EIF2AK2,IFI44,IFI6,IFIT3,ISG15,OAS2,OAS3,STAT1	22 (13)
IL4	 	cytokine	 	-1.718	9.04E-11	ACTG1,CD8A,EIF2AK2,IFI44,IFI44L,IFIT3,IL7R,ISG15,NFKBIA,OAS3,RNF213,S100A8,S100A9,STAT1,TCF7	22 (8)
RNASEH2A	 	enzyme	 	 	1.03E-10	ADAR,IFI44,IFIT3,ISG15,NFKBIA,PARP9	 
PARP9	0.301	enzyme	Activated	2.219	1.27E-10	IFI44,IFIT3,ISG15,OAS2,STAT1	16 (7)
TLR7	 	transmembrane receptor	Activated	2.759	1.52E-10	IFI44,IFI44L,IFIT3,ISG15,MX1,NFKBIA,OAS2,OAS3,STAT1	20 (11)
dexamethasone	 	chemical drug	 	-0.877	1.75E-10	ACTG1,CD52,CD8B,EEF1A1,HSPA8,IFI44,IFI6,IFIT3,IL7R,ISG15,MX1,NFKBIA,OAS3,PABPC1,S100A8,S100A9,STAT1,TPT1,TXNIP,XAF1	27 (10)
TGM2	 	enzyme	Activated	2.985	2.46E-10	IFI6,IFIT3,OAS2,OAS3,PARP9,RNF213,S100A8,STAT1,XAF1	15 (3)
PAF1	 	other	Activated	2.449	3.16E-10	IFI44,IFI44L,IFIT3,ISG15,OAS2,OAS3	 
CpG ODN 2006	 	chemical reagent	Activated	2.630	3.36E-10	IFI44,IFI44L,IFI6,IFIT3,MX1,SP100,STAT1	21 (13)
EIF2AK2	0.432	kinase	 	1.677	4.52E-10	EIF2AK2,IFI6,ISG15,NFKBIA,OAS3,PARP9,STAT1	21 (14)
TLR3	 	transmembrane receptor	 	1.948	8.35E-10	EIF2AK2,IFI44,IFI44L,IFI6,IFIT3,ISG15,MX1,S100A8,STAT1	20 (13)
IFNA1/IFNA13	 	cytokine	Activated	2.438	9.03E-10	EIF2AK2,IFI6,ISG15,MX1,OAS2,STAT1	18 (11)
TCR	 	complex	 	 	9.31E-10	CD8B,IFI44,IFI44L,IFI6,IFIT3,IL7R,ISG15,MX1,NFKBIA,STAT1	25 (15)
SPI1	 	transcription regulator	 	1.567	9.53E-10	HSPA8,IFI44,IFI44L,IFI6,IFIT3,IL7R,ISG15,MX1,RACK1	16 (4)
STAT2	 	transcription regulator	 	1.937	1.11E-09	IFI6,IFIT3,ISG15,MX1,OAS2,STAT1	17 (9)
MAPK1	 	kinase	Inhibited	-3.148	1.29E-09	ADAR,EIF2AK2,IFI44,IFI6,IFIT3,ISG15,OAS2,OAS3,SP100,STAT1	18 (9)
BTK	 	kinase	Inhibited	-2.646	1.49E-09	IFI44L,IFIT3,ISG15,MX1,OAS2,OAS3,STAT1	22 (13)
CD40LG	 	cytokine	 	 	1.78E-09	CD8A,EIF2AK2,IFI44,IFI6,IFIT3,IL7R,ISG15,MX1,NFKBIA,STAT1	25 (14)
IFNL4	 	cytokine	 	1.999	1.92E-09	ISG15,MX1,OAS2,STAT1	16 (7)
CD 437	 	chemical drug	 	1.913	2.87E-09	EEF2,EIF4B,HSPA8,NACA,NFKBIA,PABPC1,SLC25A6,TMSB10/TMSB4X	 
emactuzumab	 	biologic drug	Activated	2.000	3.02E-09	IFIT3,ISG15,STAT1,XAF1	 
NKX2-3	 	transcription regulator	Inhibited	-2.121	5.00E-09	EIF2AK2,EIF4B,GIMAP7,IL7R,PARP9,RNF213,STAT1,XAF1	 
GAPDH	 	enzyme	Inhibited	-2.200	5.45E-09	IFI6,OAS2,OAS3,STAT1,TXNIP	 
SP110	 	transcription regulator	Inhibited	-2.646	5.83E-09	IFI6,IFIT3,MX1,OAS3,STAT1,TCF7,TXNIP	 
STAT3	 	transcription regulator	 	-1.392	6.38E-09	EIF2AK2,IFI44,IFI6,IFIT3,ISG15,MX1,OAS2,OAS3,S100A9,STAT1,XAF1	26 (16)
TLR9	 	transmembrane receptor	Activated	2.765	1.13E-08	IFI44L,IFIT3,ISG15,MX1,OAS2,OAS3,S100A8,STAT1	23 (16)
decitabine	 	chemical drug	 	0.845	1.14E-08	CD8A,EEF1A1,EEF1B2,EIF2AK2,EIF4B,IL7R,ISG15,MX1,NFKBIA,PABPC1,STAT1,TMSB10/TMSB4X	 
