© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Antigen Presentation Pathway	2.14E01	3.59E-01	NaN	B2M,CALR,HLA-A,HLA-B,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DQB2,HLA-DRA,HLA-DRB5,TAP1,TAPBP	
OX40 Signaling Pathway	1.73E01	1.67E-01	0.000	B2M,CD4,FCER1G,HLA-A,HLA-B,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DQB2,HLA-DRA,HLA-DRB5,JUN,NFKBIA	
Allograft Rejection Signaling	1.29E01	1.4E-01	NaN	B2M,FCER1G,HLA-A,HLA-B,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DQB2,HLA-DRA,HLA-DRB5	
Th1 Pathway	1.25E01	1.07E-01	-1.000	CD4,HLA-A,HLA-B,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DQB2,HLA-DRA,HLA-DRB5,ITGB2,STAT1	
Interferon Signaling	1.23E01	2.5E-01	3.000	IFI6,IFIT3,IFITM2,IFITM3,ISG15,MX1,OAS1,STAT1,TAP1	
Th2 Pathway	1.18E01	9.56E-02	NaN	CD4,HLA-A,HLA-B,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DQB2,HLA-DRA,HLA-DRB5,ITGB2,JUN	
Th1 and Th2 Activation Pathway	1.18E01	8.19E-02	NaN	CD4,HLA-A,HLA-B,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DQB2,HLA-DRA,HLA-DRB5,ITGB2,JUN,STAT1	
T Cell Exhaustion Signaling Pathway	1.16E01	8E-02	-1.000	FCER1G,HLA-A,HLA-B,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DQB2,HLA-DRA,HLA-DRB5,IRF4,JUN,STAT1	
Calcium-induced T Lymphocyte Apoptosis	1.12E01	1.52E-01	-1.000	CALM1 (includes others),CD4,FCER1G,HLA-A,HLA-B,HLA-DOA,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB5	
CD28 Signaling in T Helper Cells	1.12E01	1E-01	NaN	CALM1 (includes others),CD4,FCER1G,HLA-A,HLA-B,HLA-DOA,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB5,JUN,NFKBIA	
