© 2000-2020 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
lipopolysaccharide	 	chemical drug	Activated	4.999	 	3.90E-41	ADAR,APOL6,ATP2B1,CALM1 (includes others),CALR,CCNL1,CD4,CFP,DDX60,EEF2,EIF2AK2,FCER1G,FGL2,H3-3A/H3-3B,HLA-A,HLA-DOA,HLA-DQA1,HLA-DQB1,HLA-DRB5,HSP90B1,HSPA5,HSPA8,IFI27,IFI44,IFI44L,IFI6,IFIH1,IFIT3,IFITM2,IRF4,ISG15,ISG20,ITGAL,ITGB2,JUN,KLF10,LMNB1,LYZ,MCL1,MX1,MX2,MYD88,NFKBIA,OAS1,OAS2,OAS3,PARP14,PARP9,PDIA4,PIK3AP1,PLAUR,PLSCR1,RGS2,RSAD2,S100A8,S100A9,SEC11A,SELL,SIGLEC1,STAT1,TAP1,TAPBP,TMSB10/TMSB4X,TNFAIP2,TNFAIP3,TPT1,TRIM22,TXN,TYMP,UBE2J1,UTRN,VIM,XAF1	102 (19)
IFNG	 	cytokine	Activated	4.453	 	5.21E-41	APOL6,B2M,CD4,CFP,CLEC10A,DDX60,DDX60L,EEF1A1,EIF2AK2,FCER1G,FCN1,FGL2,HLA-A,HLA-B,HLA-DOA,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB5,HSPA5,HSPA8,IFI27,IFI44,IFI44L,IFI6,IFIH1,IFIT3,IFITM2,IFITM3,IRF4,ISG15,ISG20,ITGAL,ITGB2,JUN,KCTD12,KLF10,LY6E,MX1,MX2,MYD88,NFKBIA,OAS1,OAS2,OAS3,PARP14,PARP9,PLAUR,PLSCR1,RACK1,RSAD2,S100A8,S100A9,SAMD9,SEC11A,SELL,SLC25A5,SP100,STAT1,TAP1,TAPBP,TNFAIP2,TRIM22,TYMP,XAF1	99 (20)
Interferon alpha	 	group	Activated	5.622	 	5.22E-38	ADAR,B2M,EIF2AK2,EPSTI1,FCER1A,HLA-A,HLA-B,IFI27,IFI44,IFI44L,IFI6,IFIH1,IFIT3,IFITM2,IFITM3,IRF4,ISG15,ISG20,LAP3,MCL1,MX1,MX2,MYD88,NFKBIA,OAS1,OAS2,OAS3,PARP14,PARP9,PLSCR1,RNF213,RSAD2,S100A9,SAMD9,SAMD9L,SIGLEC1,SP100,STAT1,TAP1,TAPBP,TRIM22,TYMP	67 (13)
IFNL1	 	cytokine	Activated	4.999	bias	9.47E-38	APOL6,DDX60,DDX60L,EIF2AK2,HLA-B,IFI27,IFI44,IFI44L,IFI6,IFIH1,IFIT3,IFITM2,IFITM3,ISG15,ISG20,MX1,OAS1,OAS2,OAS3,PLSCR1,RSAD2,SAMD9,SP100,STAT1,TRIM22,XAF1	71 (8)
IFNA2	 	cytokine	Activated	5.470	 	2.52E-32	APOL6,B2M,DDX60,EIF2AK2,HLA-A,HLA-B,IFI27,IFI44,IFI44L,IFI6,IFIH1,IFIT3,IFITM2,IFITM3,ISG15,ISG20,LY6E,MX1,MX2,OAS1,OAS2,OAS3,PARP9,PLSCR1,RSAD2,SAMD9,SP100,STAT1,TAP1,TRIM22,XAF1	79 (13)
STAT1	0.664	transcription regulator	Activated	2.761	 	4.45E-32	APOL6,B2M,DDX60,EIF2AK2,EPSTI1,FCER1G,FGL2,HLA-DQA1,HLA-DRB5,IFI27,IFI44,IFI44L,IFI6,IFIH1,IFIT3,IFITM2,IFITM3,ISG15,JUN,KCTD12,LY6E,MX1,OAS1,OAS2,OAS3,PARP9,PLSCR1,RNF213,RSAD2,SAMD9L,STAT1,TAP1,TRIM22,TYMP,XAF1	86 (14)
RNY3	 	other	Activated	4.000	bias	1.66E-29	DDX60,EPSTI1,IFI44,IFI44L,IFIT3,IFITM3,ISG15,LY6E,MX1,OAS1,OAS2,OAS3,OTOF,RSAD2,SIGLEC1,XAF1	 
IRF7	 	transcription regulator	Activated	4.960	bias	3.35E-29	ADAR,IFI44,IFI44L,IFI6,IFIH1,IFIT3,IFITM2,IFITM3,ISG15,ISG20,MCL1,MX1,MX2,OAS1,OAS2,OAS3,PARP14,PLAC8,PLSCR1,RSAD2,S100A8,SAMD9L,STAT1,TAP1,TRIM22,XAF1	66 (12)
tretinoin	 	chemical - endogenous mammalian	Activated	3.735	 	7.04E-26	ADAR,AHNAK,AP1S2,CALM1 (includes others),CALR,CD1C,CFP,DDX60,DDX60L,EEF1A1,EIF2AK2,EIF3C,FCER1G,HLA-A,HLA-B,IFI27,IFI44,IFI44L,IFI6,IFIH1,IFIT3,IRF4,ISG15,ITGAL,ITGB2,JUN,KLF9,LAP3,LY6E,MCL1,OAS1,OAS2,OAS3,PARP14,PARP9,PLAUR,PLSCR1,RNF213,S100A8,S100A9,SAMD9L,SELL,SP100,STAT1,TAP1,TMSB10/TMSB4X,TNFAIP2,TNFAIP3,TPT1,TRIM22,VASP,VIM,XAF1	98 (24)
STAT3	 	transcription regulator	 	0.482	 	8.10E-26	EIF2AK2,FCER1G,FGL2,H2AC18/H2AC19,HLA-A,HLA-DQA1,HLA-DRB5,IFI27,IFI44,IFI6,IFIH1,IFIT3,IFITM2,IFITM3,IRF4,ISG15,ISG20,ITGB2,LYZ,MCL1,MX1,MX2,MYD88,OAS1,OAS2,OAS3,PDIA4,PLAUR,PLSCR1,RSAD2,S100A9,STAT1,TAP1,TRIM22,VIM,XAF1	92 (20)
