© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Interferon Signaling	9.87E00	1.67E-01	1.633	IFI6,IFIT3,ISG15,JAK1,MX1,STAT1	
Th1 and Th2 Activation Pathway	5.75E00	3.51E-02	NaN	CD3D,CD3G,CXCR4,IL2RB,JAK1,STAT1	
Type I Diabetes Mellitus Signaling	5.39E00	4.5E-02	1.342	CD3D,CD3G,GZMB,JAK1,STAT1	
Th2 Pathway	4.96E00	3.68E-02	0.447	CD3D,CD3G,CXCR4,IL2RB,JAK1	
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	4.27E00	8.82E-02	NaN	CD3D,CD3G,GZMB	
Role of PKR in Interferon Induction and Antiviral Response	3.92E00	3.42E-02	1.000	EIF2AK2,HSPA8,JAK1,STAT1	
Th1 Pathway	3.87E00	3.31E-02	1.000	CD3D,CD3G,JAK1,STAT1	
Activation of IRF by Cytosolic Pattern Recognition Receptors	3.47E00	4.76E-02	NaN	ADAR,ISG15,STAT1	
Role of IL-17A in Psoriasis	3.46E00	1.54E-01	NaN	S100A8,S100A9	
Role of JAK1 and JAK3 in γc Cytokine Signaling	3.35E00	4.35E-02	NaN	IL2RB,JAK1,STAT1	
GM-CSF Signaling	3.33E00	4.29E-02	NaN	ETS1,RACK1,STAT1	
IL-15 Signaling	3.24E00	4E-02	NaN	GZMB,IL2RB,JAK1	
Glucocorticoid Receptor Signaling	3.11E00	1.49E-02	NaN	CD3D,CD3G,HSPA8,JAK1,STAT1	
PDGF Signaling	3.07E00	3.49E-02	NaN	EIF2AK2,JAK1,STAT1	
IL-22 Signaling	2.91E00	8.33E-02	NaN	JAK1,STAT1	
Role of JAK1, JAK2 and TYK2 in Interferon Signaling	2.91E00	8.33E-02	NaN	JAK1,STAT1	
Role of JAK family kinases in IL-6-type Cytokine Signaling	2.88E00	8E-02	NaN	JAK1,STAT1	
iCOS-iCOSL Signaling in T Helper Cells	2.75E00	2.7E-02	NaN	CD3D,CD3G,IL2RB	
IL-15 Production	2.64E00	2.48E-02	NaN	JAK1,MATK,STAT1	
IL-9 Signaling	2.64E00	6.06E-02	NaN	JAK1,STAT1	
Role of JAK2 in Hormone-like Cytokine Signaling	2.61E00	5.88E-02	NaN	JAK1,STAT1	
Systemic Lupus Erythematosus In B Cell Signaling Pathway	2.54E00	1.45E-02	1.000	IFIT3,ISG15,JAK1,STAT1	
Antiproliferative Role of TOB in T Cell Signaling	2.49E00	5.13E-02	NaN	CD3D,CD3G	
Oncostatin M Signaling	2.41E00	4.65E-02	NaN	JAK1,STAT1	
iNOS Signaling	2.37E00	4.44E-02	NaN	JAK1,STAT1	
FAT10 Cancer Signaling Pathway	2.35E00	4.35E-02	NaN	CXCR4,EEF1A1	
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	2.35E00	1.95E-02	NaN	EIF2AK2,OAS2,OAS3	
Necroptosis Signaling Pathway	2.33E00	1.91E-02	NaN	EIF2AK2,JAK1,STAT1	
Hematopoiesis from Pluripotent Stem Cells	2.3E00	4.08E-02	NaN	CD3D,CD3G	
Tec Kinase Signaling	2.27E00	1.83E-02	NaN	ACTG1,JAK1,STAT1	
EGF Signaling	2.2E00	3.64E-02	NaN	JAK1,STAT1	
T Cell Exhaustion Signaling Pathway	2.19E00	1.71E-02	NaN	GZMB,JAK1,STAT1	
Diphthamide Biosynthesis	2.19E00	3.33E-01	NaN	EEF2	
CNTF Signaling	2.17E00	3.51E-02	NaN	JAK1,STAT1	
NF-κB Signaling	2.17E00	1.68E-02	NaN	EIF2AK2,IGF2R,TNFAIP3	
Role of NFAT in Regulation of the Immune Response	2.15E00	1.66E-02	NaN	CD3D,CD3G,FCGR3A/FCGR3B	
Nur77 Signaling in T Lymphocytes	2.14E00	3.39E-02	NaN	CD3D,CD3G	
Dendritic Cell Maturation	2.14E00	1.64E-02	NaN	FCGR3A/FCGR3B,IL32,STAT1	
IL-2 Signaling	2.11E00	3.28E-02	NaN	IL2RB,JAK1	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	2.11E00	1.6E-02	NaN	JAK1,S100A8,STAT1	
Clathrin-mediated Endocytosis Signaling	2.08E00	1.55E-02	NaN	ACTG1,HSPA8,S100A8	
Natural Killer Cell Signaling	2.05E00	1.52E-02	NaN	FCGR3A/FCGR3B,HSPA8,IL2RB	
Calcium-induced T Lymphocyte Apoptosis	2.05E00	3.03E-02	NaN	CD3D,CD3G	
Toll-like Receptor Signaling	1.93E00	2.63E-02	NaN	EIF2AK2,TNFAIP3	
IL-7 Signaling Pathway	1.91E00	2.56E-02	NaN	JAK1,STAT1	
IL-3 Signaling	1.9E00	2.53E-02	NaN	JAK1,STAT1	
JAK/Stat Signaling	1.89E00	2.5E-02	NaN	JAK1,STAT1	
Systemic Lupus Erythematosus Signaling	1.88E00	1.31E-02	NaN	CD3D,CD3G,FCGR3A/FCGR3B	
CTLA4 Signaling in Cytotoxic T Lymphocytes	1.8E00	2.25E-02	NaN	CD3D,CD3G	
Crosstalk between Dendritic Cells and Natural Killer Cells	1.8E00	2.25E-02	NaN	ACTG1,IL2RB	
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	1.8E00	2.25E-02	NaN	CD3D,CD3G	
OX40 Signaling Pathway	1.79E00	2.22E-02	NaN	CD3D,CD3G	
Death Receptor Signaling	1.78E00	2.2E-02	NaN	ACTG1,PARP9	
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	1.75E00	2.13E-02	NaN	ACTG1,FCGR3A/FCGR3B	
CCR5 Signaling in Macrophages	1.75E00	2.13E-02	NaN	CD3D,CD3G	
UVA-Induced MAPK Signaling	1.72E00	2.04E-02	NaN	PARP9,STAT1	
Sumoylation Pathway	1.68E00	1.94E-02	NaN	ETS1,SP100	
T Cell Receptor Signaling	1.67E00	1.9E-02	NaN	CD3D,CD3G	
PD-1, PD-L1 cancer immunotherapy pathway	1.66E00	1.89E-02	NaN	IL2RB,JAK1	
Telomerase Signaling	1.65E00	1.87E-02	NaN	ETS1,IL2RB	
Pancreatic Adenocarcinoma Signaling	1.63E00	1.83E-02	NaN	JAK1,STAT1	
CD28 Signaling in T Helper Cells	1.56E00	1.67E-02	NaN	CD3D,CD3G	
Atherosclerosis Signaling	1.52E00	1.59E-02	NaN	CXCR4,S100A8	
p70S6K Signaling	1.5E00	1.55E-02	NaN	EEF2,JAK1	
IL-12 Signaling and Production in Macrophages	1.48E00	1.52E-02	NaN	S100A8,STAT1	
Granzyme B Signaling	1.47E00	6.25E-02	NaN	GZMB	
STAT3 Pathway	1.46E00	1.48E-02	NaN	IGF2R,IL2RB	
