© 2000-2020 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
Interferon alpha	 	group	Activated	3.577	 	3.49E-23	ADAR,EIF2AK2,GZMB,IFI44,IFI44L,IFI6,IFIT3,IL32,ISG15,JAK1,MX1,MX2,OAS2,OAS3,PARP9,RNF213,S100A9,SAMD9,SAMD9L,SP100,STAT1	30 (13)
IFNL1	 	cytokine	Activated	3.538	bias	3.18E-21	EIF2AK2,IFI44,IFI44L,IFI6,IFIT3,ISG15,MX1,OAS2,OAS3,SAMD9,SP100,STAT1,XAF1	25 (7)
IFNA2	 	cytokine	Activated	3.813	bias	4.65E-20	EIF2AK2,IFI44,IFI44L,IFI6,IFIT3,IL2RB,ISG15,MX1,MX2,OAS2,OAS3,PARP9,SAMD9,SP100,STAT1,XAF1	27 (11)
PRL	 	cytokine	Activated	4.000	 	5.42E-19	ADAR,DTX3L,EIF2AK2,IFI44,IFI44L,IFI6,IFIT3,ISG15,MX2,OAS2,OAS3,SAMD9,SAMD9L,SP100,STAT1,XAF1	29 (11)
IRF7	 	transcription regulator	Activated	3.634	bias	6.25E-19	ADAR,IFI44,IFI44L,IFI6,IFIT3,ISG15,MX1,MX2,OAS2,OAS3,S100A8,SAMD9L,STAT1,XAF1	27 (13)
IFNG	 	cytokine	Activated	4.166	 	9.20E-19	CXCR4,DTX3L,EEF1A1,EIF2AK2,FCGR3A/FCGR3B,GZMB,HSPA8,IFI44,IFI44L,IFI6,IFIT3,IL32,ISG15,MX1,MX2,OAS2,OAS3,PARP9,RACK1,S100A8,S100A9,SAMD9,SP100,STAT1,TXNIP,XAF1	32 (13)
IL1RN	 	cytokine	Inhibited	-3.450	bias	6.02E-17	IFI44,IFI44L,IFI6,IFIT3,IL32,MX1,MX2,OAS2,OAS3,S100A9,SAMD9,SP100	29 (8)
lipopolysaccharide	 	chemical drug	Activated	3.737	 	1.54E-16	ADAR,ARL4C,CXCR4,EEF2,EIF2AK2,GIMAP7,GZMB,HSPA8,IFI44,IFI44L,IFI6,IFIT3,IL2RB,IL32,ISG15,MX1,MX2,OAS2,OAS3,PARP9,S100A8,S100A9,STAT1,TNFAIP3,TPT1,TXNIP,XAF1	32 (12)
IFN Beta	 	group	Activated	3.245	 	2.31E-16	EEF1A1,EIF2AK2,IFI44,IFI6,IFIT3,ISG15,MX1,MX2,OAS2,OAS3,STAT1,XAF1	29 (13)
RNY3	 	other	Activated	2.828	bias	5.81E-16	IFI44,IFI44L,IFIT3,ISG15,MX1,OAS2,OAS3,XAF1	 
PNPT1	 	enzyme	Inhibited	-3.000	bias	1.15E-15	EIF2AK2,IFI44,IFIT3,ISG15,PARP9,RNF213,SAMD9L,STAT1,XAF1	 
CpG ODN 2006	 	chemical reagent	Activated	2.538	 	6.85E-15	GZMB,IFI44,IFI44L,IFI6,IFIT3,IL2RB,MX1,MX2,SP100,STAT1	26 (9)
