© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Ephrin Receptor Signaling	9.73E00	1.39E-01	-0.816	ACTR2,ACTR3,ARPC1B,ARPC2,AXIN1,CFL1,CREBBP,CXCR4,GNAI2,GNB1,GNB2,GRB2,ITGA4,ITGB1,JAK2,MAPK1,NRAS,PAK2,PTPN11,PTPN13,RAPGEF1,RHOA,ROCK2,SOS1,STAT3	
Cdc42 Signaling	8.2E00	1.32E-01	-2.357	ACTR2,ACTR3,ARHGEF6,ARPC1B,ARPC2,B2M,CD247,CD3D,CD3E,CFL1,DIAPH1,FOS,GSK3B,HLA-C,HLA-G,ITGA4,ITGB1,MAPK1,MAPK14,MPRIP,MYL12A,PAK2	
Signaling by Rho Family GTPases	7.61E00	1.07E-01	-1.279	ACTG1,ACTR2,ACTR3,ARHGEF3,ARHGEF6,ARHGEF9,ARPC1B,ARPC2,CDC42EP3,CFL1,FNBP1,FOS,GNAI2,GNB1,GNB2,ITGA4,ITGB1,MAPK1,MYL12A,PAK2,PI4KA,RHOA,ROCK2,SEPTIN11,SEPTIN7,VIM	
RhoGDI Signaling	7.6E00	1.22E-01	1.147	ACTG1,ACTR2,ACTR3,ARHGAP4,ARHGEF3,ARHGEF6,ARHGEF9,ARPC1B,ARPC2,CFL1,CREBBP,FNBP1,GNAI2,GNB1,GNB2,ITGA4,ITGB1,MYL12A,PAK2,PI4KA,RHOA,ROCK2	
Natural Killer Cell Signaling	7.54E00	1.17E-01	0.000	B2M,CD247,CFL1,GRB2,HLA-C,HLA-G,HSPA4,HSPA8,ITGB1,JAK2,JAK3,KLRB1,LCP2,MAP3K3,MAPK1,MAPK14,NRAS,PAK2,PRKCQ,PTPN11,RASSF5,SH2D1A,SOS1	
Molecular Mechanisms of Cancer	7.48E00	8.7E-02	NaN	ADCY9,ARHGEF3,ARHGEF6,ARHGEF9,ATM,AXIN1,CAMK2G,CCND2,CDC25B,CDKN1B,CREBBP,FNBP1,FOS,GNAI2,GRB2,GSK3B,HIF1A,ITGA4,ITGB1,JAK2,JAK3,MAPK1,MAPK14,NFKBIA,NRAS,PAK2,PRKCQ,PRKDC,PTPN11,RAPGEF1,RASGRP1,RHOA,SIN3A,SOS1	
Protein Ubiquitination Pathway	7.19E00	9.89E-02	NaN	B2M,BAP1,BIRC6,DNAJC13,DNAJC9,HLA-C,HSP90B1,HSPA4,HSPA8,PSMA7,PSMB4,PSMB6,PSMB9,PSMC2,PSME1,PSME2,SKP1,TRAP1,UBA52,UBC,UBE2D3,UBE2H,UBE2L3,USP10,USP47,USP7,USP9X	
Integrin Signaling	6.91E00	1.08E-01	-2.985	ACTG1,ACTR2,ACTR3,ARPC1B,ARPC2,CAPNS1,FNBP1,GRB2,GSK3B,ITGA4,ITGA6,ITGAM,ITGB1,ITGB7,MAPK1,MPRIP,MYL12A,NRAS,PAK2,PFN1,RAPGEF1,RHOA,SOS1	
RhoA Signaling	6.79E00	1.38E-01	-0.243	ACTG1,ACTR2,ACTR3,ARHGAP4,ARPC1B,ARPC2,CDC42EP3,CFL1,LPAR6,MPRIP,MYL12A,PFN1,PI4KA,RHOA,ROCK2,SEPTIN11,SEPTIN7	
Actin Cytoskeleton Signaling	6.72E00	1.06E-01	-1.706	ACTG1,ACTR2,ACTR3,ARHGEF6,ARPC1B,ARPC2,CD14,CFL1,DIAPH1,GRB2,ITGA4,ITGB1,MAPK1,MATK,MPRIP,MYL12A,NRAS,PAK2,PFN1,RHOA,ROCK2,SOS1,TMSB10/TMSB4X	
Estrogen Receptor Signaling	6.63E00	8.84E-02	1.512	ADCY9,ATP5F1C,CFL1,CREBBP,DDX5,FOS,GNAI2,GNB1,GRB2,GSK3B,HIF1A,HNRNPD,HSP90B1,IGF2R,JAK2,JAK3,MAPK1,MPRIP,MYL12A,NCOR1,NRAS,PDIA3,PLCL2,PRKCQ,PRKDC,RHOA,ROCK2,SOS1,TRRAP	
Regulation of Actin-based Motility by Rho	6.1E00	1.49E-01	-1.387	ACTR2,ACTR3,ARPC1B,ARPC2,CFL1,FNBP1,ITGA4,ITGB1,MPRIP,MYL12A,PAK2,PFN1,PI4KA,RHOA	
Huntington's Disease Signaling	6.08E00	9.7E-02	-0.302	ATP5F1B,ATP5F1C,CAPNS1,CREBBP,GLS,GNB1,GNB2,GRB2,HDAC1,HSPA4,HSPA8,MAPK1,NCOR1,POLR2C,PRKCQ,PSME1,PSME2,PSME4,SIN3A,SOS1,STX16,UBA52,UBC	
Glucocorticoid Receptor Signaling	5.9E00	8.33E-02	NaN	ARID1A,CD247,CD3D,CD3E,CREBBP,FOS,GRB2,HMGB1,HSP90B1,HSPA4,HSPA8,JAK2,JAK3,MAPK1,MAPK14,NCOR1,NFKBIA,NRAS,PBRM1,POLR2C,POU2F2,SMARCA2,SMARCC2,SOS1,STAT3,STAT5B,TAF13,TAF15	
Thrombin Signaling	5.88E00	1.01E-01	1.213	ADCY9,ARHGEF3,ARHGEF6,ARHGEF9,CAMK2G,FNBP1,GNAI2,GNB1,GNB2,GRB2,MAPK1,MAPK14,MPRIP,MYL12A,NRAS,PDIA3,PLCL2,PRKCQ,RHOA,ROCK2,SOS1	
Actin Nucleation by ARP-WASP Complex	5.85E00	1.67E-01	-0.905	ACTR2,ACTR3,ARPC1B,ARPC2,FNBP1,GRB2,ITGA4,ITGB1,NRAS,RHOA,ROCK2,SOS1	
Reelin Signaling in Neurons	5.78E00	1.24E-01	-1.000	ACTR2,ACTR3,ARHGEF3,ARHGEF6,ARHGEF9,ARPC1B,ARPC2,CAMK2G,CFL1,GSK3B,ITGA4,ITGA6,ITGB1,MAPK1,RAPGEF1,RHOA	
Antigen Presentation Pathway	5.75E00	2.31E-01	NaN	B2M,CALR,HLA-C,HLA-G,NLRC5,PDIA3,PSMB6,PSMB9,TAPBP	
Hypoxia Signaling in the Cardiovascular System	5.72E00	1.62E-01	1.342	ATM,BIRC6,CREBBP,CSNK1D,HIF1A,HSP90B1,LDHA,NFKBIA,P4HB,UBE2D3,UBE2H,UBE2L3	
Phospholipase C Signaling	5.47E00	8.95E-02	-0.471	ADCY9,ARHGEF3,ARHGEF6,ARHGEF9,CD247,CD3D,CD3E,CREBBP,FNBP1,GNB1,GNB2,GRB2,HDAC1,ITGA4,ITGB1,LCP2,MAPK1,MPRIP,MYL12A,NRAS,PRKCQ,RHOA,SOS1	
PD-1, PD-L1 cancer immunotherapy pathway	5.46E00	1.32E-01	0.000	B2M,CD247,CDKN1B,GSK3B,HLA-C,HLA-G,JAK2,JAK3,LCP2,PRKCQ,PTPN11,RASGRP1,STAT5B,TNFRSF1B	
Renal Cell Carcinoma Signaling	5.35E00	1.5E-01	-2.121	CREBBP,FOS,GRB2,HIF1A,MAPK1,NRAS,PAK2,PTPN11,RAPGEF1,SOS1,UBA52,UBC	
