© 2000-2020 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
CD 437	 	chemical drug	Activated	3.277	4.53E-20	ALDOA,ARPC2,ATP5F1B,ATP5F1C,COX6C,CST7,EEF2,EIF3G,EIF4B,ERH,FOS,FTL,HADHA,HLA-C,HMGB1,HSPA8,ITM2B,MOB1A,NACA,NFKBIA,NPM1,PCBP1,PCBP2,PDIA3,PFN1,SAP18,SEPTIN7,SET,SH3BGRL3,SKP1,SLC25A6,SP140,SRGN,SSR2,TMSB10/TMSB4X,TOMM7,UBA52,XRN2,YBX1	 
CD3	 	complex	 	0.830	3.19E-16	ACTR3,ATM,ATP5F1C,BZW1,CCND2,CD247,CD3E,CD5,CD53,CDKN1B,CORO1A,COX6C,CXCR4,DPP4,DUSP11,DUSP2,FOS,FTL,GOLGB1,HIF1A,HNRNPF,HNRNPR,HSP90B1,HSPA8,HUWE1,IL7R,ITGA4,ITGB7,JAK2,JAK3,LSP1,MAPK1,NCL,NFKBIA,NPM1,OAZ1,P4HB,PCBP2,PCSK7,PFN1,PLEC,PLEK,POLR2C,PSAP,PTP4A1,PTPN13,RORA,S100A11,SDF2,SF1,SH2D2A,SOS1,SRGN,SRP14,SRPRB,SRSF7,TAF15,TCF7,TNFAIP3,UQCR11,XAF1,ZFP36,ZFP36L1	253 (17)
IL4	 	cytokine	 	-0.874	5.41E-16	ACTG1,ANXA6,BBX,BHLHE40,CAT,CCND2,CD14,CD300A,CD5,CD6,CDKN1B,CELF2,CST7,CXCR4,DDX46,DPP4,EFL1,EIF2AK2,EIF3G,EPRS1,FOS,GBP2,HCLS1,HDAC1,HPGD,IFI16,IFI44L,IGF2R,IL7R,ISG15,ISG20,ITGA4,ITGB1,ITGB7,JAK2,JAK3,KCNAB2,KLF6,KLRB1,LCP2,LPIN2,LRPPRC,LSP1,LTB,MAPK1,MATK,MVK,NCL,NFKBIA,OAS3,PDS5A,PIM1,PLBD1,PLEC,POU2F2,PRDM1,PREX1,PRKDC,PSMB6,PSME1,RHOA,RNF213,S100A8,S100A9,SCO2,SEMA4D,SH2D1A,SNX20,SON,SPTBN1,ST6GAL1,STAT5B,STAT6,STK4,TAPBP,TCF7,TNIP2,UBR4,USP10,VIM,VPS13C,ZFP36	286 (17)
Interferon alpha	 	group	 	0.215	6.79E-15	ADAR,APOL3,B2M,BTG2,CCND2,CD81,CDKN1B,CMTR1,EIF2AK2,FOS,FOSL2,GBP2,GIMAP4,GLS,HLA-C,HLA-G,IFI16,IFI44L,IL17RA,IL7R,ISG15,ISG20,ITGA4,ITGAM,ITGB1,MX2,NF2,NFKBIA,NPM1,OAS1,OAS2,OAS3,PARP9,PIM1,PLAAT4,PPM1K,PSMB9,RNF213,RSAD2,S100A9,SAMD9,SAMD9L,SGSM3,SHFL,SLFN12L,SLFN13,SLFN5,STAT3,TAPBP,TRANK1	235 (16)
dexamethasone	 	chemical drug	 	1.620	7.37E-15	ABCB1,ACTG1,ACTR3,AKIRIN1,ALDH18A1,AP3S1,ARHGAP25,ARL4C,ARMC8,ATP1A1,ATP6V1B2,B2M,BHLHE40,BRCA2,BTG2,BTN3A2,CALR,CAT,CCND2,CD3D,CD3E,CD52,CDC42EP3,CDKN1B,CELF2,CFL1,COX4I1,CST7,CXCR4,DHX9,EEF1A1,EIF5,EPB41,FAM111A,FMNL1,FOS,FOSL2,FTL,GADD45B,GBP2,GIMAP5,GNAI2,GUK1,HDAC1,HIF1A,HMGB1,HNRNPF,HPGD,HSP90B1,HSPA8,IL7R,ILF3,ISG15,ISG20,ITGA4,ITGAM,ITGB1,ITGB7,JAK2,JAK3,KLF6,KLRB1,LDHA,LDHB,LITAF,LPAR6,LPIN2,LSP1,LTB,MAPK1,MAPK14,MEGF9,MOB1A,MVK,NFKBIA,NPM1,OAS3,PIK3IP1,PIM1,PLAAT4,PLCL2,PLEC,PLEK,PNRC2,PRKCQ,PRPF40A,PSAP,PSME1,PSME2,RBL2,RBM25,RCC2,RGS2,RHOA,ROCK2,RORA,RSAD2,S100A4,S100A8,S100A9,SAMHD1,SCARB2,SEPTIN7,SLA,SLC44A2,SMN1/SMN2,SNRNP70,SPOCK2,SPTBN1,SRGN,SRRM1,SSRP1,ST3GAL1,ST3GAL5,ST6GAL1,SUPT6H,TNFAIP3,TPR,TPT1,TRRAP,TXNIP,UBC,UCP2,UPF1,VCAN,VCP,VIM,WDR1,XAF1,XRN2,ZFP36,ZFP36L1,ZNF22,ZNF91	340 (19)
ST1926	 	chemical drug	Activated	3.293	1.11E-13	ARPC2,ATP5F1B,CFL1,COX6C,EEF2,EIF3G,EIF4B,EIF4G2,ITM2B,MOB1A,NACA,NPM1,PCBP2,PDIA3,PFN1,SAP18,SEPTIN7,SKP1,SLC25A6,SP140,SSR2,TMSB10/TMSB4X,TOMM7,TPT1,UBA52,UQCRB,VAMP8,YBX1	 
IL15	 	cytokine	 	-0.774	6.08E-13	ALDOA,CAMK2G,CCND2,CD5,CD53,CDKN1B,CORO1A,COX6C,CPT1A,CREBBP,CXCR4,DPP4,DUSP11,GNLY,HIF1A,HNRNPF,HSPA8,IL7R,ITGB1,ITGB7,KLRB1,LDHA,LSP1,MAPK1,NFKBIA,OAZ1,PCBP2,PDIA3,PFN1,PIM1,PLEK,PRDM1,PSAP,PSMB9,PTP4A1,PTPN13,S100A11,SET,SF1,SOS1,SPN,SRGN,SRSF7,TCF7,ZFP36,ZFP36L1	275 (17)
lipopolysaccharide	 	chemical drug	 	1.506	6.79E-13	ABCB1,ADAR,ARHGEF3,ARL4C,ARPC1B,ASH1L,ATP1A1,ATRX,CALR,CCND2,CCNI,CCNL1,CD14,CD3E,CD53,CD81,CDC42EP3,CORO1A,COX4I1,CREBBP,CXCR4,DDX6,DNMT1,DUSP2,EEF2,EHD1,EIF2AK2,ERGIC1,FLI1,FOS,FPR1,GADD45B,GBP2,GBP4,GIMAP7,GLS,GPM6A,HIF1A,HIVEP2,HMGB1,HMGB2,HPGD,HSP90B1,HSPA8,IFI16,IFI44L,IL17RA,IL7R,ISG15,ISG20,ITGA4,ITGAM,ITGB1,ITGB7,JAK2,JAK3,KCNAB2,KLF6,LASP1,LCP2,LDHA,LITAF,LPIN2,LRRFIP1,LYZ,MX2,NFKBIA,NLRC5,OAS1,OAS2,OAS3,OGT,P4HB,PARP8,PARP9,PBRM1,PDIA3,PIM1,PLAAT4,PLEK,POU2F2,PRDM1,PSMB4,PSMB9,PSME1,PSME2,PTPN11,RB1CC1,RBMS1,RESF1,RGS2,RORA,RSAD2,S100A8,S100A9,SAP18,SH2D1A,SLFN12L,SLFN13,SP140,ST6GAL1,STAT3,STAT6,TAPBP,TMSB10/TMSB4X,TNFAIP3,TNFRSF1B,TNIP1,TP53BP2,TPT1,TXNIP,UCP2,UTRN,VCAN,VIM,XAF1,YBX1,ZFP36,ZNF281	276 (16)
EPO	 	cytokine	 	-0.794	9.08E-12	ATP6V1B2,B2M,CCND2,CD52,CDKN1B,CXCR4,EEF1A1,FOS,FPR1,HBB,HMGB1,HNRNPF,ITGA4,ITGB1,NACA,NFKBIA,NPM1,PIK3IP1,PIM1,PLCL2,PRKCQ,RCC2,RHOA,ROCK2,SLC44A2,SON,SPTAN1,SSRP1,STAT3,TPT1,TXNIP,UCP2,UPF1,WDR1,YBX1	248 (15)
IL2	 	cytokine	 	-0.319	5.12E-11	ADCY9,ARHGAP25,ARHGEF3,ARHGEF6,ATM,BHLHE40,CCND2,CD247,CD3D,CD5,CDKN1B,CTCF,CXCR4,DLST,DPP4,DUSP2,EVL,FOS,GADD45B,HDAC1,HSP90B1,IL7R,ISG20,ITGA4,ITGA6,ITGB1,ITGB7,ITM2B,ITSN2,JAK2,JAK3,JAML,KLF6,KLRB1,LCP2,LTB,MAPKAPK2,OSBPL3,PDIA3,PIM1,PRDM1,RFFL,RGS2,S100A4,S100A8,SIPA1,SOS1,STAT3,STAT5B,STK17A,TNFAIP8,TNFRSF1B,VIM	282 (19)
butyric acid	 	chemical - endogenous mammalian	 	0.286	1.33E-10	ABCB1,CAP1,CCND2,CD81,CDKN1B,CREBBP,CXCR4,DEK,EIF4G2,FOS,GBP2,GNAI2,HBB,HMGB1,HMGB2,IFI16,ITGAM,ITGB7,ITSN2,NCL,NF2,NFKBIA,NPM1,NRAS,OAS2,PCMT1,PDIA3,POU2F2,PRDM1,PSAP,RHOA,SEPTIN7,SIPA1,SMN1/SMN2,STAT3,STAT5B,STAT6,TP53BP2,TPR,USP7,UTRN,ZFP36L1	247 (18)
TP53	 	transcription regulator	 	0.500	1.65E-10	ABCB1,ADD3,AKAP9,ALDH18A1,ALDOA,ANXA6,ARPC1B,ATP1A1,ATP5F1C,BAP1,BHLHE40,BRCA2,BTG2,CAP1,CAPNS1,CAT,CCND2,CCNL1,CD247,CD81,CDC25B,CDC42EP3,CDKN1B,CHD3,COMT,CORO1A,CPT1A,CSNK1D,DDX5,DEK,DLST,DNMT1,DPP4,DUSP2,EEF1A1,EIF4G2,EIF5,FOS,GADD45B,GNAI2,GPM6A,GRB2,GSK3B,HADHA,HIF1A,HMGB1,HMGB2,HSPA8,IFI16,IL17RA,INPP4A,ISG15,ITGB7,KLF6,LASP1,LBR,LDHA,LDHB,LSP1,LYZ,MAPK1,MBNL2,MVK,NEO1,NFKBIA,NPM1,OAS1,P4HB,PARP1,PDP1,PDS5A,PFN1,PIM1,PLAAT4,POLRMT,PRDM1,PSAP,PSMB9,PTP4A1,PTPN11,RAD23A,RB1CC1,RBBP6,RBL2,RHOA,S100A4,SCO2,SFPQ,SH2D1A,SHISA5,SON,SPN,STAT3,STK17A,TMSB10/TMSB4X,TNFAIP8,TNFRSF1B,TOB1,TP53BP2,TRAP1,TULP4,UBC,USP9X,VCAN,VIM,XAF1,XPO1,YBX1,ZFP36,ZFP36L1	239 (16)
GnRH analog	 	biologic drug	 	0.882	2.48E-10	ANKLE2,ARHGEF9,BHLHE40,BUB3,CALR,CAPNS1,DCAF7,DDX46,FOS,FOXJ3,GATD3A/GATD3B,GRB2,HELZ,HIF1A,IK,KDSR,MAPK1,MIA3,NFKBIA,OGFR,PCNT,PI4KA,PRPF8,PSMB4,RBMS1,SDF2,SF1,SUPT5H,TAF15,TMBIM6,TSC1,UBE2D3,UBR4,UQCRB,VCP	 
ETV6-RUNX1	 	fusion gene/product	 	0.364	2.83E-10	ABR,ARHGAP25,ARHGAP4,CD164,CDC42EP3,CFL1,CORO1A,GBP2,GIMAP4,IFI16,ISG15,ISG20,ITGA4,ITGB1,JAK2,JAK3,KLF6,LCP2,LTB,OAS1,OAS2,PAG1,PIM1,POU2F2,PRMT2,PSMB9,RASAL3,RASGRP2,RSAD2,S100A4,SAMHD1,SIPA1,STAT3,STAT6	107 (6)
CD28	 	transmembrane receptor	 	0.387	4.37E-10	ACTR3,ATM,ATP5F1C,BHLHE40,BZW1,CCND2,CD247,CD3E,CDKN1B,COX6C,CXCR4,FOS,GBP2,GOLGB1,HSPA8,HUWE1,IL7R,ITGA4,ITGB7,LDHA,LSP1,NCL,NFKBIA,OAZ1,PCSK7,PRDM1,RORA,SH2D2A,SRGN,SRPRB,STAT3,STAT6,TCF7,TNFAIP3,TNFRSF1B,TOB1	259 (18)
TCR	 	complex	 	-0.178	4.63E-10	ALDOA,ATP5F1B,CD5,CD6,CDKN1B,CXCR4,FOS,GADD45B,GBP4,HIF1A,HSP90B1,IFI44L,IL7R,ISG15,ISG20,ITGB7,LBR,LCP2,LDHB,LPIN2,MAPK1,MX2,NFKBIA,NOP58,OAS1,P4HB,PIM1,PRDM1,RASGRP1,RSAD2,SCARB2,STAT3,SYNCRIP,TNFAIP3,TNFRSF1B,TOB1,UBA52	263 (19)
