© 2000-2020 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
IL2	 	cytokine	Activated	2.900	bias	3.43E-20	BCL2,BIRC3,CCR7,CD247,CD28,CD38,CD5,DUSP6,ETS1,ICOS,IKZF2,IL18RAP,IL24,IL7R,IRF4,ITK,JAML,KLRD1,NCR1,PAX5,PDE3B,PIM2,PRF1,RGS2,RUFY1,SLAMF1,STAT4,TBX21,TGFBR3,TNFRSF13B	58 (16)
TCR	 	complex	 	1.748	bias	4.64E-18	BACH2,BCL2,BIRC3,BTLA,CBLB,CCR7,CD28,CD38,CD5,CD8B,ELL2,ICOS,IL24,IL7R,IRF4,NFATC2,PDE3B,PRF1,RASGRP1,SLAMF1,STAT4,TBX21,TXK	60 (16)
IL7	 	cytokine	 	1.667	bias	5.83E-14	BCL2,BLNK,BTLA,CBLB,CD247,CD8B,ICOS,IL18RAP,IL24,IL7R,LEF1,PAX5,PIM2,TNFSF8	47 (9)
lipopolysaccharide	 	chemical drug	Activated	3.235	bias	2.97E-13	ACSL1,AFF3,BACH2,BCL2,BIRC3,BLNK,C5AR1,CCR7,CD22,CD28,CD38,ELL2,EMB,GCA,GLCCI1,HERPUD1,HIVEP2,IL18RAP,IL24,IL32,IL7R,IRF4,IRF8,MTSS1,PAX5,PDE3B,PIM2,POU2AF1,RGS2,RUNX3,SLAMF1,SP140,STAT4,TBX21,TENT5C,TNFRSF13B,TNFSF8,TXNDC11,VCAN	64 (16)
IL12 (complex)	 	complex	Activated	3.401	bias	4.31E-13	CCR7,CD226,CD28,ICOS,IL18RAP,IL32,IL7R,IRF4,IRF8,KLRD1,NCR1,PRF1,STAT4,TBX21,TXK	50 (16)
Immunoglobulin	 	complex	 	-0.663	 	7.96E-13	ACSL1,BCL2,BIRC3,CCR7,CD28,DYSF,ICOS,IKZF2,IL24,IL32,IL7R,IRF4,KLRD1,PAX5,PDE3B,PRF1,RAB31,RGS2,TBX21,TGFBR3,TNFSF8,VCAN	59 (17)
TBX21	0.680	transcription regulator	Activated	2.189	 	3.67E-12	CD38,ICOS,IL18RAP,IL7R,ITK,KLRD1,PRF1,RUNX3,STAT4,TBX21	53 (10)
tetradecanoylphorbol acetate	 	chemical drug	Activated	3.251	bias	5.31E-12	BCL2,BIRC3,C5AR1,CCR7,CD226,CD28,CLEC2D,DUSP6,ETS1,ICOS,IL24,IL32,IL7R,IRF4,IRF8,NCR1,PAX5,PDE3B,POU2AF1,PRF1,PRKCH,PRKCQ,RASGRP1,RGS2,RHOH,SLAMF1,TBX21,TNFRSF13B,VCAN	61 (17)
IL21	 	cytokine	 	1.608	bias	1.35E-11	BCL2,CCR7,CD28,CD38,IL18RAP,IL7R,IRF4,KLRD1,NCR1,PAX5,PRF1,STAT4,TBX21	55 (17)
alefacept	 	biologic drug	Inhibited	-3.000	bias	1.46E-11	ADGRG1,CBLB,IL18RAP,IL7R,KLRD1,NCR1,PRF1,STAT4,TGFBR3	 
