© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Antigen Presentation Pathway	1.59E01	3.08E-01	NaN	CALR,CANX,CD74,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F	
Communication between Innate and Adaptive Immune Cells	1.35E01	1.46E-01	NaN	CD79A,CD79B,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,IGHA1,IGHD,IGHG1,IGHG2,IGHG3,IGHG4,IGHM	
Autoimmune Thyroid Disease Signaling	1.29E01	2.24E-01	NaN	HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,IGHG1,IGHG2,IGHG3,IGHG4	
B Cell Development	1.28E01	2.78E-01	NaN	CD79A,CD79B,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,IGHD,IGHM,PTPRC	
Allograft Rejection Signaling	1.28E01	1.51E-01	NaN	HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,IGHG1,IGHG2,IGHG3,IGHG4	
Unfolded protein response	1.22E01	1.96E-01	2.530	CALR,CANX,DNAJC3,EDEM1,HSP90B1,HSPA5,P4HB,PDIA6,SEL1L,VCP,XBP1	
B Cell Receptor Signaling	1.18E01	8.65E-02	-1.890	CD22,CD79A,CD79B,ETS1,IGHA1,IGHD,IGHG1,IGHG2,IGHG3,IGHG4,IGHM,JUN,NFKBIA,PAX5,PRKCB,PTPRC	
T Cell Exhaustion Signaling Pathway	9.92E00	8E-02	-0.447	FOXP1,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,IRF4,JAK1,JUN,PRDM1	
OX40 Signaling Pathway	9.89E00	1.22E-01	NaN	HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,JUN,NFKBIA	
Primary Immunodeficiency Signaling	9.74E00	1.8E-01	NaN	CD79A,IGHA1,IGHD,IGHG1,IGHG2,IGHG3,IGHG4,IGHM,PTPRC	
Dendritic Cell Maturation	9.66E00	7.65E-02	-0.905	HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,IGHG1,IGHG2,IGHG3,IGHG4,IRF8,LTB,NFKBIA	
Th2 Pathway	7.95E00	8.09E-02	NaN	CXCR4,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,IL4R,JAK1,JUN	
PD-1, PD-L1 cancer immunotherapy pathway	7.92E00	9.43E-02	2.828	HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,JAK1	
Systemic Lupus Erythematosus Signaling	7.44E00	5.68E-02	NaN	CD22,CD79A,CD79B,HLA-E,HLA-F,IGHG1,IGHG2,IGHG3,IGHG4,IGHM,JUN,PIM2,PTPRC	
Graft-versus-Host Disease Signaling	7.03E00	1.46E-01	NaN	HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F	
Hematopoiesis from Pluripotent Stem Cells	6.96E00	1.43E-01	NaN	IGHA1,IGHD,IGHG1,IGHG2,IGHG3,IGHG4,IGHM	
Th1 and Th2 Activation Pathway	6.92E00	6.43E-02	NaN	CXCR4,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,IL4R,JAK1,JUN	
Type I Diabetes Mellitus Signaling	6.61E00	8.11E-02	NaN	HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,JAK1,NFKBIA	
Systemic Lupus Erythematosus In B Cell Signaling Pathway	6.52E00	4.73E-02	-0.277	CCND2,CD22,CD79A,CD79B,IGHA1,IGHD,IGHG1,IGHM,JAK1,JUN,LTB,PIM2,PRKCB	
IL-4 Signaling	6.44E00	9.41E-02	NaN	HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,IL4R,IRF4,JAK1	
