© 2000-2020 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
lipopolysaccharide	 	chemical drug	Activated	3.732	9.03E-41	AKAP13,AQP3,BTG1,CALR,CCND2,CCR2,CD22,CD38,CD74,CKAP4,CLPTM1L,CRELD2,CXCR4,CYBB,DNAJB11,DNAJC3,DUSP1,EDEM1,EEF2,ELL2,FNDC3B,H3-3A/H3-3B,HDLBP,HLA-DQA1,HLA-DQB1,HLA-DRB5,HSP90B1,HSPA5,HYOU1,IFI27,IGHG1,IGHM,IGKC,IL4R,IRF4,IRF8,ITM2C,JCHAIN,JUN,JUNB,KLF6,LCN2,LDHA,LMAN1,LTF,LYZ,MANF,MKI67,MMP8,MTDH,MX1,NFKBIA,P4HB,PAX5,PDIA4,PDIA6,PIM2,PRDM1,PTPRC,PTPRCAP,S100A12,S100A8,S100A9,SEC61A1,SEL1L,SLAMF7,SRPRA,SSR1,SWAP70,TENT5C,TKT,TRIB1,TSC22D3,TXNDC11,TXNIP,UBE2J1,UTRN,VCAN,VIM,WARS1,XBP1,ZFP36L2	111 (18)
XBP1	1.105	transcription regulator	Activated	4.720	7.60E-34	CALR,COPB2,DNAJB11,DNAJC3,EDEM1,ERLEC1,ETS1,HLA-DRA,HSP90B1,HSPA5,HYOU1,IRF4,LMAN1,LMAN2,MAN1A1,P4HB,PDIA4,PDIA6,PRDM1,RPN1,RPN2,SDF2L1,SEC11C,SEC61A1,SEC61B,SPCS3,SRPRA,SSR1,SSR3,SSR4,STT3A,TRAM1,TXNDC11,XBP1	47 (4)
ELL2	0.667	transcription regulator	Activated	4.583	3.03E-30	CLPTM1L,CRELD2,DNAJC3,EDEM1,FNDC3B,HDLBP,IGHM,IRF4,ITM2C,LMAN1,MANF,PRDM1,SEC61A1,SEL1L,SLAMF7,SRPRA,TENT5C,TRIB1,TXNDC11,UBE2J1,XBP1	 
tunicamycin	 	chemical - endogenous non-mammalian	Activated	3.854	1.68E-22	CALR,CANX,DNAJB11,DNAJC3,EDEM1,ERLEC1,ETS1,HDLBP,HSP90B1,HSPA5,LMAN1,LMAN2,MANF,MTDH,NFKBIA,P4HB,PDIA6,SDF2L1,SEC61A1,SEL1L,SRPRA,SSR3,TXNIP,WARS1,XBP1	60 (10)
TCF3	 	transcription regulator	Activated	2.085	3.65E-22	CCND2,CD79A,CD79B,CKAP4,CRELD2,EDEM1,HSP90B1,HYOU1,IGHM,JUN,MANF,MKI67,MZB1,NIBAN3,PAX5,PDIA4,PDIA6,PRDM1,PSAP,PTPRCAP,RIPOR2,RRM2,SDF2L1,SEC11C,SLAMF7,SUB1,TENT5C,TXNDC11,XBP1	 
IL5	 	cytokine	Activated	2.844	2.34E-20	CCND2,CCR2,CD79A,CKAP4,CRELD2,CXCR4,ELL2,HSP90B1,HSPA5,IGHG1,IGHM,IL4R,JCHAIN,LTB,MANF,MTDH,NACA,PAX5,PDIA6,PRDM1,PTPRC,RIPOR2,RPN1,SDF2L1,VIM,XBP1	72 (13)
IL4	 	cytokine	 	1.207	6.38E-19	AHNAK,AKAP13,CCND2,CD38,CD74,CD79A,CD79B,CKAP4,CXCR4,CYBB,IGHG1,IGHG2,IGHG3,IGHG4,IL4R,IRF4,IRF8,JAK1,JCHAIN,JUN,JUNB,KLF6,LMAN2,LTB,MKI67,MS4A1,MTDH,NAP1L1,NFKBIA,PAX5,PIM2,PLBD1,PRDM1,PTPRCAP,S100A8,S100A9,SDF2L1,SLAMF7,SWAP70,VIM,XBP1	93 (16)
ERN1	 	kinase	Activated	3.084	1.53E-18	DNAJB11,DNAJC3,EDEM1,ERLEC1,ETS1,HDLBP,HSP90B1,HSPA5,JUN,P4HB,PDIA6,SDF2L1,SEC61A1,SEL1L,SRPRA,SSR3,UBE2J1,WARS1,XBP1	77 (9)
CD40	 	transmembrane receptor	 	1.329	4.32E-17	CALR,CCND2,CD22,CD38,DUSP1,EDEM1,HLA-DQB1,HSP90B1,HSPA5,IGHG1,IGHG2,IGHG3,IGHG4,IL4R,IRF4,JCHAIN,JUN,NFKBIA,PRDM1,SLAMF7,XBP1	81 (18)
dexamethasone	 	chemical drug	 	0.583	4.55E-17	AKAP13,BTG1,CALR,CANX,CCND2,CCR2,CD38,CD52,CD74,CXCR4,CYBB,DNAJC3,DUSP1,EDEM1,EEF1A1,EZR,FCMR,HLA-DPA1,HLA-DPB1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HSP90B1,HSPA5,IGHM,IGKC,IL4R,IRF8,JUN,JUNB,KLF6,LAPTM5,LCN2,LDHA,LTB,MMP8,MS4A1,MX1,NFKBIA,PABPC1,PIM2,PRKCB,PSAP,S100A8,S100A9,SEC61A1,SRGN,SRPRA,TSC22D3,TXNIP,VCAN,VCP,VIM,WARS1,XBP1,ZFP36L2	95 (19)
TCF4	 	transcription regulator	Activated	2.837	7.75E-17	CD38,CKAP4,CRELD2,EDEM1,HSP90B1,HYOU1,JUN,MANF,MKI67,MZB1,NIBAN3,PDIA4,PDIA6,PRDM1,RIPOR2,RRM2,SDF2L1,SEC11C,SLAMF7,SUB1,TENT5C,TXNDC11,TXNIP,VCAN,WARS1,XBP1	 
beta-estradiol	 	chemical - endogenous mammalian	 	1.767	8.54E-16	BTG1,CALR,CCND2,CCR2,CD74,CXCR4,CYBB,DNAJC3,DUSP1,ETS1,HDLBP,HLA-DQA1,HLA-DRB1,HLA-DRB5,HLA-E,HSP90B1,HSPA5,IL4R,IRF4,JAK1,JUN,JUNB,KLF6,LAPTM5,LCN2,LDHA,LTB,LTF,LYZ,MKI67,MX1,NFKBIA,P4HB,PDIA4,PIM2,PRKCB,PSAP,RACK1,RBM39,RPN2,RRM2,SDF2L1,SSR1,SSR3,TMED9,TRAM1,TRIB1,TSC22D3,TTN,TXNIP,VCAN,VIM,XBP1,ZFP36L2	110 (20)
PRDM1	0.299	transcription regulator	Activated	3.068	1.30E-15	AQP3,CD22,CD74,CD79A,CXCR4,GNLY,HLA-DQA1,HLA-DRA,IGHG1,IGHM,IRF4,IRF8,JCHAIN,PAX5,PRDM1,S100A8,S100A9,SWAP70,TRIB1,XBP1	64 (12)
IFNG	 	cytokine	 	-0.870	8.09E-15	BTG1,CCND2,CCR2,CD38,CD74,CIRBP,CXCR4,CYBB,DDX5,DUSP1,EEF1A1,FCN1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,HSPA5,IFI27,IGHG1,IL4R,IRF4,IRF8,JUN,JUNB,KLF6,LCN2,LDHA,LTB,MNDA,MX1,NFKBIA,PIM2,PRDM1,RACK1,S100A8,S100A9,SEC61A1,TSC22D3,TXNIP,WARS1	74 (16)
