© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Antigen Presentation Pathway	1.55E01	2.82E-01	NaN	CD74,HLA-A,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5	
OX40 Signaling Pathway	1.41E01	1.44E-01	NaN	CD4,HLA-A,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,JUN,NFKBIA	
Th2 Pathway	1.31E01	1.03E-01	NaN	CCR1,CD4,HLA-A,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,ITGB2,JUN	
CD28 Signaling in T Helper Cells	1.24E01	1.08E-01	-1.000	ARPC5,CD4,FOS,HLA-A,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,JUN,NFKBIA	
Cdc42 Signaling	1.18E01	8.38E-02	0.000	ARPC5,FOS,HLA-A,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,JUN,MAPK14	
Th1 and Th2 Activation Pathway	1.17E01	8.19E-02	NaN	CCR1,CD4,HLA-A,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,ITGB2,JUN	
Th1 Pathway	1.11E01	9.92E-02	-2.333	CD4,HLA-A,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,ITGB2	
B Cell Development	1.05E01	2.22E-01	NaN	HLA-A,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5	
Allograft Rejection Signaling	9.99E00	1.16E-01	NaN	HLA-A,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5	
PKCθ Signaling in T Lymphocytes	9.79E00	7.74E-02	-2.887	CD4,FOS,HLA-A,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,JUN,NFKBIA	
Calcium-induced T Lymphocyte Apoptosis	9.68E00	1.36E-01	-2.333	CD4,HLA-A,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5	
Graft-versus-Host Disease Signaling	9.38E00	1.67E-01	NaN	HLA-A,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5	
Autoimmune Thyroid Disease Signaling	9.31E00	1.63E-01	NaN	HLA-A,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5	
T Cell Exhaustion Signaling Pathway	9.18E00	6.86E-02	NaN	FOS,HLA-A,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,JUN	
PD-1, PD-L1 cancer immunotherapy pathway	9.08E00	9.43E-02	2.121	HLA-A,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5	
Role of NFAT in Regulation of the Immune Response	9.01E00	6.63E-02	-2.714	CD4,FOS,HLA-A,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,JUN,NFKBIA	
iCOS-iCOSL Signaling in T Helper Cells	8.88E00	9.01E-02	-2.333	CD4,HLA-A,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,NFKBIA	
Type I Diabetes Mellitus Signaling	8.88E00	9.01E-02	NaN	HLA-A,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,MAPK14,NFKBIA	
Nur77 Signaling in T Lymphocytes	8.64E00	1.36E-01	NaN	HLA-A,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5	
T Helper Cell Differentiation	7.89E00	1.1E-01	NaN	HLA-A,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5	
