© 2000-2020 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
IFNG	 	cytokine	 	1.139	1.80E-08	CX3CR1,EEF1A1,FGL2,HLA-C,PLEK,RACK1,S100A8,S100A9,TXNIP,XAF1	 
dexamethasone	 	chemical drug	 	-1.377	6.80E-08	CX3CR1,EEF1A1,FGL2,PABPC1,PLEK,S100A8,S100A9,TNFAIP3,TPT1,TXNIP,XAF1	 
lipopolysaccharide	 	chemical drug	 	0.666	3.55E-07	CX3CR1,EEF2,FGL2,PLEK,S100A8,S100A9,TNFAIP3,TPT1,TXNIP,XAF1	 
tretinoin	 	chemical - endogenous mammalian	 	1.782	8.41E-07	CX3CR1,EEF1A1,HLA-C,PLEK,S100A8,S100A9,TNFAIP3,TPT1,XAF1	 
AGER	 	transmembrane receptor	 	 	2.28E-05	S100A8,S100A9,TXNIP	 
IL1B	 	cytokine	 	0.507	5.17E-05	CX3CR1,S100A8,S100A9,TNFAIP3,TPT1,TXNIP	 
E. coli B4 lipopolysaccharide	 	chemical toxicant	 	-0.371	5.59E-05	FGL2,PLEK,TNFAIP3,TXNIP	 
KLK5	 	peptidase	 	 	7.54E-05	S100A8,S100A9	 
uranyl nitrate	 	chemical toxicant	 	 	7.57E-05	EEF2,RACK1,TPT1	 
OPA1	 	enzyme	 	 	8.48E-05	S100A8,S100A9	 
BDNF	 	growth factor	 	 	9.10E-05	EEF2,MALAT1,S100A9,TXNIP	 
IL17R	 	complex	 	 	9.47E-05	S100A8,S100A9	 
TEK	 	kinase	 	 	9.47E-05	S100A8,S100A9	 
TREM2	 	transmembrane receptor	 	 	9.47E-05	CX3CR1,TNFAIP3	 
Alpha catenin	 	group	 	 	1.03E-04	S100A8,S100A9,TNFAIP3	 
SCGB1A1	 	cytokine	 	 	1.16E-04	S100A8,S100A9	 
CASR	 	G-protein coupled receptor	 	 	1.49E-04	S100A8,S100A9,TXNIP	 
Saa3	 	other	 	 	1.66E-04	S100A8,S100A9	 
NFKBIZ	 	transcription regulator	 	 	1.66E-04	S100A8,S100A9	 
ADAMTS12	 	peptidase	 	 	1.79E-04	S100A8,S100A9	 
p70 S6k	 	group	 	 	1.94E-04	EEF1A1,EEF2	 
IL17C	 	cytokine	 	 	1.94E-04	S100A8,S100A9	 
POLG	 	enzyme	 	 	2.24E-04	RACK1,TPT1	 
hemozoin	 	chemical - endogenous non-mammalian	 	 	2.24E-04	S100A8,S100A9	 
ST1926	 	chemical drug	 	 	2.45E-04	EEF2,PABPC1,TPT1	 
S100A9	0.434	other	 	 	2.82E-04	S100A8,S100A9,TXNIP	 
IL23A	 	cytokine	 	 	2.91E-04	S100A8,S100A9	 
IL17RA	 	transmembrane receptor	 	 	2.91E-04	S100A8,S100A9	 
CSF3	 	cytokine	 	 	3.12E-04	CX3CR1,GNLY,TNFAIP3	 
IL36A	 	cytokine	 	 	3.27E-04	S100A8,S100A9	 
GAPDH	 	enzyme	 	 	3.46E-04	HLA-C,TXNIP	 
SAA1	 	transporter	 	 	3.86E-04	S100A8,S100A9	 
F7	 	peptidase	 	 	4.50E-04	EEF1A1,EEF2	 
TNIP1	 	other	 	 	4.50E-04	S100A8,S100A9	 
HRH3	 	G-protein coupled receptor	 	 	4.72E-04	S100A8,S100A9	 
S100A4	 	other	 	 	4.72E-04	S100A8,S100A9	 
CD 437	 	chemical drug	 	 	4.87E-04	EEF2,HLA-C,PABPC1	 
hydrogen peroxide	 	chemical - endogenous mammalian	 	0.106	5.39E-04	EEF1A1,TNFAIP3,TXNIP,XAF1	 
U0126	 	chemical - kinase inhibitor	 	1.000	6.31E-04	EEF1A1,EEF2,PABPC1,S100A9	 
TGM2	 	enzyme	 	 	6.73E-04	CX3CR1,S100A8,XAF1	 
PRDM1	 	transcription regulator	 	 	6.81E-04	GNLY,S100A8,S100A9	 
9,10-dimethyl-1,2-benzanthracene	 	chemical toxicant	 	 	6.96E-04	S100A8,S100A9	 
VDR	 	transcription regulator	 	 	7.52E-04	S100A8,S100A9,TXNIP	4 (3)
FOS	 	transcription regulator	 	-1.980	7.59E-04	MALAT1,S100A8,S100A9,XAF1	 
2'-adenylic acid	 	chemical - endogenous mammalian	 	 	7.70E-04	TXNIP	 
DNAJC24	 	other	 	 	7.70E-04	EEF2	 
DEPDC1	 	transcription regulator	 	 	7.70E-04	TNFAIP3	 
DPH2	 	enzyme	 	 	7.70E-04	EEF2	 
MED7	 	transcription regulator	 	 	7.70E-04	TNFAIP3	 
BANF1	 	other	 	 	7.70E-04	S100A9	 
MED21	 	transcription regulator	 	 	7.70E-04	TNFAIP3	 
ZNF184	 	transcription regulator	 	 	7.70E-04	S100A9	 
oligomycin A	 	chemical - endogenous non-mammalian	 	 	7.70E-04	TXNIP	 
3'-adenylic acid	 	chemical - endogenous mammalian	 	 	7.70E-04	TXNIP	 
allose	 	chemical - endogenous mammalian	 	 	7.70E-04	TXNIP	 
SAFB	 	other	 	 	7.80E-04	HLA-C,S100A8	 
DETA-NONOate	 	chemical reagent	 	 	7.80E-04	S100A8,TXNIP	 
IL1A	 	cytokine	 	 	7.90E-04	S100A8,S100A9,TNFAIP3	3 (2)
PD98059	 	chemical - kinase inhibitor	 	0.000	7.95E-04	EEF1A1,PABPC1,S100A8,TXNIP	 
BACH2	 	transcription regulator	 	 	8.09E-04	S100A8,S100A9	 
calcitriol	 	chemical drug	 	 	8.22E-04	S100A8,S100A9,TNFAIP3,TXNIP	4 (3)
KITLG	 	growth factor	 	 	9.29E-04	EEF1A1,TPT1,TXNIP	 
IL12B	 	cytokine	 	 	9.31E-04	S100A8,S100A9	 
IL17A	 	cytokine	 	 	9.50E-04	S100A8,S100A9,TNFAIP3	3 (2)
adenosine	 	chemical - endogenous mammalian	 	 	9.62E-04	CX3CR1,TXNIP	 
E. coli B5 lipopolysaccharide	 	chemical - endogenous non-mammalian	 	 	9.82E-04	CX3CR1,EEF1A1,TNFAIP3	 
SIN3A	 	transcription regulator	 	 	1.03E-03	S100A9,TXNIP	 
