© 2000-2020 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
lipopolysaccharide	 	chemical drug	Activated	2.783	7.61E-19	ADAR,ATF4,CCR5,CD53,EEF2,EIF2AK2,H3-3A/H3-3B,HLA-A,HLA-DQA1,HLA-DQB1,HLA-DRB5,IFI16,IFI27,IFI44L,IFI6,IFITM2,JUNB,KLF6,LILRB4,LYZ,MX1,MX2,OAS2,OAS3,PARP9,PDIA4,PIK3AP1,PLSCR1,RGS2,S100A12,S100A8,S100A9,SELL,STAT1,VCAN,VIM,XAF1,YBX1	48 (13)
Interferon alpha	 	group	Activated	4.237	8.36E-19	ADAR,CCR5,EIF1,EIF2AK2,FCER1A,HLA-A,IFI16,IFI27,IFI44L,IFI6,IFITM2,IFITM3,LILRB4,MNDA,MX1,MX2,OAS2,OAS3,PARP9,PLSCR1,S100A9,STAT1	40 (11)
STAT3	 	transcription regulator	 	-0.095	1.35E-18	CCR5,EIF2AK2,HLA-A,HLA-DQA1,HLA-DRB5,IFI16,IFI27,IFI6,IFITM2,IFITM3,JUNB,LILRB4,LYZ,MX1,MX2,OAS2,OAS3,PDIA4,PLSCR1,S100A9,STAT1,VCAN,VIM,XAF1	41 (14)
IRF7	 	transcription regulator	Activated	3.487	2.20E-18	ADAR,ATF4,IFI16,IFI44L,IFI6,IFITM2,IFITM3,MX1,MX2,OAS2,OAS3,PLAC8,PLSCR1,S100A8,STAT1,XAF1	38 (12)
IFNA2	 	cytokine	Activated	4.074	2.50E-17	EIF2AK2,HLA-A,IFI16,IFI27,IFI44L,IFI6,IFITM2,IFITM3,LILRB4,MX1,MX2,OAS2,OAS3,PARP9,PLSCR1,STAT1,XAF1	33 (11)
IFNG	 	cytokine	 	1.943	2.14E-16	ATF4,CCR5,CLEC10A,EIF2AK2,FKBP5,HLA-A,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,IFI16,IFI27,IFI44L,IFI6,IFITM2,IFITM3,JUNB,KLF6,MNDA,MX1,MX2,OAS2,OAS3,PARP9,PLSCR1,S100A8,S100A9,SELL,STAT1,XAF1	42 (13)
IFNL1	 	cytokine	Activated	3.375	3.65E-16	EIF2AK2,IFI27,IFI44L,IFI6,IFITM2,IFITM3,MX1,OAS2,OAS3,PLSCR1,STAT1,XAF1	37 (10)
DYSF	 	other	 	 	6.82E-15	ABRACL,CD53,HLA-A,HLA-DQA1,HLA-DQB1,HLA-DRB5,IFI16,LCP1,LILRB4,LYZ,PSAP	 
IL4	 	cytokine	Inhibited	-2.448	1.29E-14	CCR5,CD1C,CLEC10A,CLTC,CRIP1,CTNNA1,EIF2AK2,F13A1,FKBP5,IFI16,IFI44L,IFITM3,JUNB,KLF6,LILRB4,NAP1L1,OAS3,PLBD1,PLSCR1,S100A8,S100A9,SELL,STAT1,TGFBI,VIM	48 (13)
tretinoin	 	chemical - endogenous mammalian	Activated	2.707	3.56E-14	ADAR,ATF4,CCR5,CD1C,CD53,CLTC,EIF2AK2,EIF3C,GPX1,HLA-A,IFI16,IFI27,IFI44L,IFI6,MAPKAPK2,MNDA,OAS2,OAS3,PARP9,PLSCR1,S100A8,S100A9,SELL,STAT1,TGFBI,TPM4,VIM,XAF1,YBX1,ZNF146	52 (15)
dexamethasone	 	chemical drug	 	-1.078	8.18E-14	ATF4,CD1C,CRIP1,FCER1A,FKBP5,GPX1,HLA-A,HLA-DPA1,HLA-DPB1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,IFI6,IFITM3,JUNB,KLF6,LILRB4,MS4A6A,MX1,OAS3,PABPC1,PSAP,RGS2,S100A8,S100A9,SELL,STAT1,TGFBI,UBC,VCAN,VIM,XAF1,ZFP36L1	50 (9)
STAT1	0.468	transcription regulator	Activated	2.541	3.63E-13	EIF2AK2,HLA-DQA1,HLA-DRB5,IFI16,IFI27,IFI44L,IFI6,IFITM2,IFITM3,MX1,OAS2,OAS3,PARP9,PLSCR1,STAT1,XAF1	41 (12)
filgrastim	 	biologic drug	 	0.292	4.83E-13	FCER1A,FKBP5,HLA-DPA1,HLA-DPB1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,IFI6,KLF6,MS4A6A,MX1,OAS3,STAT1,VIM,XAF1,ZFP36L1	 
resiquimod	 	chemical drug	 	 	2.60E-12	ADAR,ATF4,EIF2AK2,GPX1,IFI16,IFI44L,IFITM3,MX1,MX2,OAS2,OAS3,PLSCR1,STAT1,STX12	36 (11)
RNY3	 	other	Activated	2.646	6.28E-12	IFI44L,IFITM3,MX1,OAS2,OAS3,OTOF,XAF1	 
IFN Beta	 	group	Activated	3.244	6.28E-12	EIF2AK2,HLA-A,IFI16,IFI27,IFI6,MX1,MX2,OAS2,OAS3,STAT1,XAF1	38 (12)
IRF3	 	transcription regulator	Activated	3.403	1.11E-11	ADAR,EIF2AK2,IFI16,IFI27,IFI6,IFITM3,JUNB,OAS2,OAS3,PLAC8,STAT1,VIM	38 (12)
CNOT7	 	transcription regulator	 	-1.982	1.84E-11	IFI27,IFI44L,IFI6,OAS2,OAS3,PLSCR1,STAT1	26 (5)
fluticasone propionate	 	chemical drug	 	0.621	4.30E-11	FKBP5,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DRA,IFI27,MX1,OAS2,PLAC8,S100A8,STAT1	 
IL1RN	 	cytokine	 	-1.897	5.27E-11	HLA-DQB1,IFI27,IFI44L,IFI6,KLF6,MX1,MX2,OAS2,OAS3,S100A9	42 (12)
IRF1	 	transcription regulator	Activated	2.963	9.39E-11	EIF2AK2,IFI27,IFI44L,IFI6,IFITM3,MX1,OAS2,OAS3,SELL,STAT1,XAF1	38 (11)
EIF2AK2	0.296	kinase	Activated	2.158	1.03E-10	ATF4,EIF2AK2,IFI27,IFI6,IFITM2,OAS3,PARP9,PLSCR1,STAT1	35 (10)
poly rI:rC-RNA	 	biologic drug	 	1.954	1.24E-10	ADAR,ATF4,EIF2AK2,HLA-A,IFI16,IFI27,IFITM3,JUNB,KLF6,LYZ,MX1,OAS2,OAS3,RGS2,STAT1,VIM	39 (13)
CIITA	 	transcription regulator	 	-1.961	1.27E-10	HLA-A,HLA-DPA1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5	 
MAPK1	 	kinase	Inhibited	-3.705	1.53E-10	ADAR,EIF2AK2,IFI16,IFI27,IFI6,IFITM3,JUNB,MX2,OAS2,OAS3,PLSCR1,RGS2,STAT1,VIM	33 (9)
KRAS	 	enzyme	 	-1.095	3.39E-10	ADAR,CLEC10A,EIF2AK2,HLA-DRB1,IFI6,IFITM2,IFITM3,JUNB,KLF6,LYZ,MX1,MX2,PABPC1,STAT1,VCAN,VIM,ZFP36L1	37 (7)
VCAN	0.782	other	Activated	3.000	4.94E-10	IFI44L,IFI6,MX1,MX2,OAS2,OAS3,RGS2,STAT1,VCAN,XAF1	 
PRL	 	cytokine	Activated	2.704	5.82E-10	ADAR,EIF2AK2,IFI44L,IFI6,MX2,OAS2,OAS3,PDIA4,PLSCR1,STAT1,VIM,XAF1	35 (10)
PML	 	transcription regulator	 	1.584	5.91E-10	HLA-DRA,IFI27,IFI44L,LYZ,MX1,OAS2,OAS3,PLSCR1,STAT1,VIM	44 (10)
Ifn	 	group	Activated	2.934	6.92E-10	EIF2AK2,HLA-A,IFI16,IFITM3,MX1,OAS2,OAS3,S100A8,STAT1	31 (11)
NPC1	 	transporter	 	 	1.07E-09	ATF4,CCR5,HLA-DQB1,HLA-DRB5,LYZ,S100A8,S100A9,STAT1	30 (4)
oblimersen	 	biologic drug	Activated	2.646	1.32E-09	IFI16,IFI27,IFI6,MX1,MX2,OAS2,STAT1	 
IFNA1/IFNA13	 	cytokine	Activated	2.587	1.94E-09	EIF2AK2,IFI27,IFI6,MX1,OAS2,PLSCR1,STAT1	32 (10)
MYC	 	transcription regulator	Inhibited	-2.413	2.11E-09	ATF4,CRIP1,CTNNA1,EEF2,FKBP5,H3-3A/H3-3B,HLA-A,IFI16,IFI27,IFI44L,IFI6,KLF6,LYZ,MX1,MX2,NAP1L1,PLSCR1,STAT1,VIM,YBX1,ZFP36L1	47 (7)
Ifnar	 	group	Activated	2.157	2.20E-09	EIF2AK2,FCER1A,HLA-A,IFI16,IFITM3,OAS2,STAT1,XAF1	40 (13)
CD40LG	 	cytokine	 	-0.994	2.69E-09	CCR5,CD1C,EIF2AK2,HLA-DQA1,HLA-DQB1,IFI6,JUNB,MX1,NAP1L1,RGS2,SELL,STAT1,ZFP36L1	42 (11)
