© 2000-2020 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
CD3	 	complex	 	-1.460	1.81E-15	ACTR3,ATM,BIRC3,CCL5,CCR2,CCR5,CD247,CD53,CD69,CD74,CFLAR,DPP4,DUSP2,FTL,FYN,GNAS,HNRNPA1,IL18R1,IL2RB,IL32,IL7R,ITGA4,JUN,MYC,NPM1,OAZ1,P4HB,PDIA4,PTPRC,RANBP2,ZFP36L1	80 (21)
lipopolysaccharide	 	chemical drug	 	0.371	2.58E-14	ABCB1,ARPC1B,ATP1A1,BACH2,BIRC3,CCL5,CCR2,CCR5,CD53,CD69,CD74,CFLAR,DNAJB1,DUSP2,ENO1,ERN1,FYN,GLS,GMFG,GPR183,IL17RA,IL18R1,IL2RB,IL32,IL7R,ITGA4,ITGAL,JUN,LRRFIP1,MYC,NCR3,NLRC5,P4HB,PDIA4,PDIA6,PIK3R1,PKM,PRDM1,PTPRC,RANBP2,RUNX3,S100A8,SEL1L,SLAMF7,SPAG9,TAP1,TMEM154,TMSB10/TMSB4X,TPT1,VIM,XBP1,YBX1	84 (17)
IL15	 	cytokine	 	1.249	4.25E-14	CCL5,CCR2,CD53,CD69,CD74,DPP4,ENO1,FYN,GNAS,GNLY,IL18R1,IL2RB,IL32,IL7R,JUN,MYC,NCR3,OAZ1,PDIA4,PIK3R1,PKM,PRDM1,PTPRC,XBP1,ZFP36L1	88 (19)
IL2	 	cytokine	 	0.526	4.97E-13	ATM,BHLHE40,BIRC3,CCL5,CCR2,CCR5,CD247,CD69,CD74,CFLAR,DPP4,DUSP2,FYN,IL18R1,IL2RB,IL7R,ITGA4,JUN,MYC,NCR3,NEAT1,PRDM1,PTPRC,RAF1,S100A8,SIPA1,VIM,XBP1	78 (19)
CD 437	 	chemical drug	Activated	2.691	1.42E-12	ARF1,CCL5,ENO1,FTL,GNAS,HLA-C,HNRNPA1,JUN,MOB1A,MYC,NPM1,PABPC1,SLC25A6,TMSB10/TMSB4X,TOMM7,UBA52,YBX1	 
TCR	 	complex	 	-1.802	4.59E-11	BACH2,BIRC3,CCL5,CCR2,CCR5,CD69,CFLAR,ENO1,FYN,IL18R1,IL7R,JUN,MYC,P4HB,PDIA4,PIK3R1,PRDM1,PTPRC,RASGRP1,UBA52	73 (18)
IFNG	 	cytokine	 	-0.247	6.65E-10	ABCB1,ATM,ATP1A1,BACH2,BIRC3,CCL5,CCR2,CCR5,CD74,CFLAR,DPP4,EEF1A1,ENO1,ERAP2,FTL,GLS,GNAS,HLA-C,IL17RA,IL18R1,IL32,IL7R,ITGA4,ITGAL,JUN,MYC,NCR3,NEAT1,NLRC5,OIP5-AS1,PKM,PRDM1,PRPF8,RACK1,RUNX3,S100A8,TAP1	76 (18)
ST1926	 	chemical drug	 	1.976	1.01E-09	ARF1,EIF4G2,ENO1,GNAS,MOB1A,NPM1,PABPC1,SLC25A6,TMSB10/TMSB4X,TOMM7,TPT1,UBA52,YBX1	 
CD40LG	 	cytokine	 	-1.001	1.05E-09	BIRC3,CAST,CCL5,CCR2,CCR5,CD69,CFLAR,DUSP2,GPR183,IL2RB,IL7R,ITGA4,JUN,MYC,PRDM1,RUNX3,SEMA4D,TAP1,ZFP36L1	65 (17)
CD28	 	transmembrane receptor	 	-0.682	1.10E-09	ACTR3,ATM,BHLHE40,CCR5,CD247,CD69,CFLAR,FYN,HNRNPA1,IL18R1,IL7R,ITGA4,ITGAL,JUN,MYC,OAZ1,PRDM1,RANBP2	78 (17)
