© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	7.5E00	2.13E-01	-0.447	ACTG1,ACTR2,ARPC2,ARPC4,ARPC5,CDC42,HMOX1,INPP5D,LCP2,MYO5A,PAK1,PRKCD,PTEN,RAC1,RAC2,SYK,TLN1,VASP,VAV2,VAV3	
Virus Entry via Endocytic Pathways	7.19E00	1.96E-01	NaN	ABL1,ACTG1,AP1B1,AP2S1,B2M,CDC42,CLTB,CLTC,DNM2,FLNA,FLNB,HLA-A,HLA-C,ITGB2,ITSN1,NRAS,PIK3CD,PRKCD,RAC1,RAC2,RAP1A	
Integrin Signaling	6.53E00	1.41E-01	1.134	ABL1,ACTG1,ACTR2,ARF1,ARF3,ARHGAP5,ARHGEF7,ARPC2,ARPC4,ARPC5,CDC42,GSN,ITGB2,MYL12A,NRAS,PAK1,PAK2,PIK3CD,PIKFYVE,PTEN,RAC1,RAC2,RAP1A,RAPGEF1,RHOA,RHOC,RHOT1,TLN1,VASP,ZYX	
Actin Cytoskeleton Signaling	6.31E00	1.38E-01	0.000	ACTG1,ACTR2,ARHGEF6,ARHGEF7,ARPC2,ARPC4,ARPC5,CDC42,CSK,CYFIP1,CYFIP2,DIAPH1,FLNA,GSN,MYH9,MYL12A,MYL6B,NCKAP1L,NRAS,PAK1,PAK2,PIK3CD,RAC1,RAC2,RAP1A,RHOA,TLN1,TMSB10/TMSB4X,VAV2,VAV3	
B Cell Receptor Signaling	6.25E00	1.46E-01	1.732	ABL1,BTK,CALM1 (includes others),CDC42,CREB5,CSK,ETS1,IKBKB,INPP5B,INPP5D,MAP2K3,MAP3K14,MAP3K4,MAP3K6,NFKB1,NRAS,OCRL,PAG1,PIK3CD,POU2F2,PTEN,RAC1,RAC2,RAP1A,SYK,VAV2,VAV3	
PI3K/AKT Signaling	6.2E00	1.49E-01	0.000	CDKN1A,CDKN1B,EPM2A,HSP90AB1,HSP90B1,IKBKB,IL10RA,IL10RB,IL13RA1,IL3RA,INPP5B,INPP5D,JAK3,MCL1,NFKB1,NRAS,OCRL,PIK3CD,PPM1L,PPP2R5C,PTEN,RAP1A,TSC1,TSC2,YWHAH,YWHAZ	
Protein Ubiquitination Pathway	6.03E00	1.25E-01	NaN	ANAPC11,ANAPC5,B2M,BIRC2,BTRC,DNAJB14,DNAJC10,DNAJC15,DNAJC2,DNAJC3,DNAJC30,DNAJC5,ELOB,HLA-A,HLA-C,HSP90AB1,HSP90B1,HSPA8,HSPD1,MED20,PSMA4,PSMA7,PSMB1,PSMB9,PSMC5,PSMD4,PSME1,TRAP1,UBA52,UBB,UBE2G2,UBE2J1,USP14,USP34	
Clathrin-mediated Endocytosis Signaling	5.89E00	1.4E-01	NaN	ACTG1,ACTR2,AP1B1,AP2S1,ARPC2,ARPC4,ARPC5,CDC42,CHP1,CLTB,CLTC,DAB2,DNM1L,DNM2,HSPA8,ITGB2,NUMB,PIK3CD,RAB7A,RAC1,S100A8,SH3BP4,SH3GLB1,UBA52,UBB,VEGFA,VEGFB	
CD28 Signaling in T Helper Cells	5.7E00	1.67E-01	1.000	ACTR2,ARPC2,ARPC4,ARPC5,CALM1 (includes others),CDC42,CHP1,CSK,HLA-A,HLA-DQB1,HLA-DRB1,HLA-DRB5,IKBKB,LCP2,NFKB1,PAK1,PIK3CD,RAC1,SYK,ZAP70	
Antigen Presentation Pathway	5.67E00	2.82E-01	NaN	B2M,CALR,CIITA,HLA-A,HLA-C,HLA-DQB1,HLA-DRB1,HLA-DRB5,PDIA3,PSMB9,TAPBP	
Endocannabinoid Cancer Inhibition Pathway	5.6E00	1.54E-01	2.132	ADCY9,CASP1,CASP4,CCND3,CDKN1A,CDKN1B,CREB5,GNAI2,GNAI3,GNAQ,HIF1A,MAP2K3,PIK3CD,PRKAB2,PRKAR1A,RHOA,SMPD1,SMPD3,SMPD4,TCF4,VEGFA,VEGFB	
Caveolar-mediated Endocytosis Signaling	5.58E00	2.05E-01	NaN	ABL1,ACTG1,B2M,COPA,COPZ1,DNM2,FLNA,FLNB,FLOT1,FLOT2,HLA-A,HLA-C,INSR,ITGB2,ITSN1	
Rac Signaling	5.56E00	1.7E-01	0.229	ACTR2,ARPC2,ARPC4,ARPC5,CDC42,CYBB,CYFIP1,CYFIP2,ELK4,NCF2,NFKB1,NRAS,PAK1,PAK2,PIK3CD,PIKFYVE,RAC1,RAP1A,RHOA	
Protein Kinase A Signaling	5.36E00	1.06E-01	-0.333	ACP1,ADCY9,ANAPC11,ANAPC5,APEX1,CALM1 (includes others),CHP1,CREB5,DUSP1,DUSP3,DUSP5,EPM2A,FLNA,FLNB,GNAI2,GNAI3,GNAQ,H1-10,H1-3,H3-3A/H3-3B,MYL12A,MYL6B,NFKB1,PDE7A,PDIA3,PHKB,PPP1CC,PPP1R14B,PRKAR1A,PRKCD,PTEN,PTP4A1,PTPN18,PTPN4,PTPRS,RAP1A,RHOA,TCF4,TGFBR2,VASP,YWHAH,YWHAZ	
Phagosome Maturation	5.2E00	1.46E-01	NaN	ATP6AP1,ATP6V0A2,ATP6V1B2,B2M,CALR,CTSC,CTSH,CTSS,CYBB,DYNLL1,DYNLRB1,HLA-A,HLA-C,HLA-DRB1,HLA-DRB5,NCF2,PIKFYVE,RAB7A,STX16,TUBA1B,TUBB,VPS28	
mTOR Signaling	5.18E00	1.29E-01	-0.688	CDC42,EIF3D,EIF3E,EIF3I,EIF3M,EIF4B,FKBP1A,HIF1A,HMOX1,INSR,MAPKAP1,NRAS,PIK3CD,PPM1L,PPP2R5C,PRKAB2,PRKCD,RAC1,RAC2,RAP1A,RHOA,RHOC,RHOT1,TSC1,TSC2,VEGFA,VEGFB	
