© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
RhoA Signaling	8.71E00	1.38E-01	2.000	ACTB,ACTG1,ACTR2,ACTR3,ARHGAP4,ARHGAP9,CDC42EP3,KTN1,MYL12A,MYL12B,MYL6,PFN1,PIP5K1A,PLXNA1,RHOA,SEPTIN11,SEPTIN9	
RhoGDI Signaling	7.68E00	1.06E-01	0.258	ACTB,ACTG1,ACTR2,ACTR3,ARHGAP4,ARHGAP9,ARHGDIB,ARHGEF3,GNAI2,GNAI3,GNB1,GNB2,ITGB1,MYL12A,MYL12B,MYL6,PIP5K1A,RHOA,WASF2	
Signaling by Rho Family GTPases	7.53E00	9.02E-02	0.943	ACTB,ACTG1,ACTR2,ACTR3,ARHGEF3,CDC42EP3,GNAI2,GNAI3,GNB1,GNB2,ITGB1,MYL12A,MYL12B,MYL6,PIK3CD,PIK3R1,PIK3R4,PIP5K1A,RHOA,SEPTIN11,SEPTIN9,VIM	
CTLA4 Signaling in Cytotoxic T Lymphocytes	6.21E00	1.35E-01	NaN	AP2S1,CD28,CD3G,CD8A,GRB2,HLA-A,HLA-F,LCP2,PIK3CD,PIK3R1,PIK3R4,TRAT1	
iCOS-iCOSL Signaling in T Helper Cells	5.96E00	1.17E-01	0.905	CALM1 (includes others),CAMK4,CD28,CD3G,GRB2,HLA-A,IL2RG,LCP2,PIK3CD,PIK3R1,PIK3R4,PTPRC,TRAT1	
Integrin Signaling	5.86E00	8.45E-02	-0.471	ACTB,ACTG1,ACTR2,ACTR3,ARF6,CAPN2,CAPNS1,GRB2,ITGB1,ITGB7,MYL12A,MYL12B,PFN1,PIK3CD,PIK3R1,PIK3R4,RAPGEF1,RHOA	
Actin Cytoskeleton Signaling	5.71E00	8.26E-02	0.728	ACTB,ACTG1,ACTR2,ACTR3,FLNA,GRB2,ITGB1,MYL12A,MYL12B,MYL6,PFN1,PIK3CD,PIK3R1,PIK3R4,PIP5K1A,RHOA,TMSB10/TMSB4X,WASF2	
CD28 Signaling in T Helper Cells	5.57E00	1.08E-01	1.508	ACTR2,ACTR3,CALM1 (includes others),CAMK4,CD28,CD3G,GRB2,HLA-A,LCP2,PIK3CD,PIK3R1,PIK3R4,PTPRC	
T Cell Receptor Signaling	5.43E00	1.14E-01	NaN	CALM1 (includes others),CAMK4,CD28,CD3G,CD8A,GRB2,LCP2,PIK3CD,PIK3R1,PIK3R4,PTPN7,PTPRC	
Protein Kinase A Signaling	4.98E00	6.03E-02	0.447	ADD3,AKAP17A,CALM1 (includes others),CAMK4,DUSP2,FLNA,GNAI2,GNAI3,GNB1,GNB2,H1-10,H1-3,H1-4,MYL12A,MYL12B,MYL6,PDE3B,PDE6D,PHKB,PTPN13,PTPN7,PTPRC,RHOA,YWHAB	
Role of NFAT in Regulation of the Immune Response	4.88E00	8.29E-02	0.277	CALM1 (includes others),CAMK4,CD28,CD3G,CSNK1G3,GNAI2,GNAI3,GNB1,GNB2,GRB2,HLA-A,LCP2,PIK3CD,PIK3R1,PIK3R4	
Th1 Pathway	4.79E00	9.92E-02	-0.632	CCR5,CD28,CD3G,CD8A,GRB2,HLA-A,IRF1,PIK3CD,PIK3R1,PIK3R4,RUNX3,TYK2	
Virus Entry via Endocytic Pathways	4.59E00	1.03E-01	NaN	ACTB,ACTG1,AP2S1,FLNA,HLA-A,HLA-F,ITGB1,ITGB7,PIK3CD,PIK3R1,PIK3R4	
Leukocyte Extravasation Signaling	4.45E00	7.61E-02	1.291	ACTB,ACTG1,ARHGAP4,ARHGAP9,GNAI2,GNAI3,ITGB1,MAP3K4,MYL6,NCF4,PIK3CD,PIK3R1,PIK3R4,RHOA,SIPA1	
PI3K/AKT Signaling	4.42E00	8E-02	1.265	BCL2,CDC37,GRB2,HSP90AA1,HSP90AB1,IL18RAP,IL2RG,IL7R,ITGB1,MCL1,PIK3CD,PIK3R1,TYK2,YWHAB	
Protein Ubiquitination Pathway	4.38E00	6.59E-02	NaN	BIRC3,DNAJC25,DNAJC3,DNAJC8,HLA-A,HLA-F,HSP90AA1,HSP90AB1,HSPA5,HSPA8,PSMA1,PSMB4,PSMB9,PSMC5,PSMD2,TRAP1,UBC,UBE2G2	
Regulation of Actin-based Motility by Rho	4.35E00	1.06E-01	1.897	ACTB,ACTR2,ACTR3,ITGB1,MYL12A,MYL12B,MYL6,PFN1,PIP5K1A,RHOA	
Ephrin Receptor Signaling	4.29E00	7.78E-02	1.155	ACTR2,ACTR3,ADAM10,GNAI2,GNAI3,GNB1,GNB2,GRB2,ITGB1,MAP4K4,PTPN13,RAPGEF1,RHOA,SDCBP	
fMLP Signaling in Neutrophils	4.26E00	9.48E-02	1.265	ACTR2,ACTR3,CALM1 (includes others),CAMK4,GNAI2,GNAI3,GNB1,GNB2,PIK3CD,PIK3R1,PIK3R4	
IL-7 Signaling Pathway	4.25E00	1.15E-01	-0.333	BCL2,CCND3,GRB2,IL2RG,IL7R,MCL1,PIK3CD,PIK3R1,PIK3R4	
Tec Kinase Signaling	4.11E00	7.93E-02	0.333	ACTB,ACTG1,GNAI2,GNAI3,GNB1,GNB2,GTF2I,ITGB1,PIK3CD,PIK3R1,PIK3R4,RHOA,TYK2	
Clathrin-mediated Endocytosis Signaling	3.97E00	7.25E-02	NaN	ACTB,ACTG1,ACTR2,ACTR3,AP2S1,ARF6,GRB2,HSPA8,ITGB1,ITGB7,PIK3CD,PIK3R1,PIK3R4,UBC	
Th1 and Th2 Activation Pathway	3.92E00	7.6E-02	NaN	CCR5,CD28,CD3G,CD8A,GRB2,HLA-A,IL2RG,IRF1,PIK3CD,PIK3R1,PIK3R4,RUNX3,TYK2	
PD-1, PD-L1 cancer immunotherapy pathway	3.91E00	9.43E-02	-0.632	CD28,HLA-A,HLA-F,IL2RG,LCP2,MR1,PIK3CD,PIK3R1,PIK3R4,TYK2	
Natural Killer Cell Signaling	3.87E00	7.11E-02	0.832	GRB2,HLA-A,HLA-F,HSPA5,HSPA8,IL18RAP,ITGB1,KLRB1,LCP2,MAP3K4,PIK3CD,PIK3R1,PIK3R4,TYK2	
Systemic Lupus Erythematosus In B Cell Signaling Pathway	3.82E00	6.18E-02	1.698	BCL2,CALM1 (includes others),CAMK4,CCND2,CCND3,CD5,GRB2,IGHA1,ISG15,LTB,MAP4K4,MCL1,PIK3CD,PIK3R1,PIK3R4,RASGRP2,TYK2	
EIF2 Signaling	3.82E00	6.7E-02	0.000	ACTB,BCL2,EIF2AK1,EIF2S2,EIF3D,EIF3E,EIF4A2,EIF4G1,EIF4G2,GRB2,HSPA5,PIK3CD,PIK3R1,PIK3R4,PPP1R15A	
Death Receptor Signaling	3.73E00	9.89E-02	1.000	ACTB,ACTG1,ARHGDIB,BCL2,BIRC3,DAXX,MAP4K4,PARP1,PARP9	
Caveolar-mediated Endocytosis Signaling	3.68E00	1.1E-01	NaN	ACTB,ACTG1,COPA,FLNA,HLA-A,HLA-F,ITGB1,ITGB7	
Aldosterone Signaling in Epithelial Cells	3.66E00	7.59E-02	0.000	DNAJC25,DNAJC3,DNAJC8,HSP90AA1,HSP90AB1,HSPA5,HSPA8,PIK3CD,PIK3R1,PIK3R4,PIP5K1A,TRAP1	
Unfolded protein response	3.64E00	1.25E-01	0.378	BCL2,CD82,DNAJC3,ERN1,HSPA5,HSPA8,PPP1R15A	
Th2 Pathway	3.64E00	8.09E-02	0.632	CCR5,CD28,CD3G,GRB2,HLA-A,IL2RG,PIK3CD,PIK3R1,PIK3R4,RUNX3,TYK2	
Thrombin Signaling	3.63E00	6.73E-02	-0.333	ARHGEF3,CAMK4,GNAI2,GNAI3,GNB1,GNB2,GRB2,MYL12A,MYL12B,MYL6,PIK3CD,PIK3R1,PIK3R4,RHOA	
FAK Signaling	3.59E00	9.47E-02	NaN	ACTB,ACTG1,CAPN2,CAPNS1,GRB2,ITGB1,PIK3CD,PIK3R1,PIK3R4	
Huntington's Disease Signaling	3.55E00	6.33E-02	-0.905	ATP5F1B,CAPN2,CAPNS1,CASP1,GNB1,GNB2,GRB2,HSPA5,HSPA8,PIK3CD,PIK3R1,PIK3R4,PSME3,REST,UBC	
Cardiac Hypertrophy Signaling	3.49E00	6.25E-02	1.069	CALM1 (includes others),CAMK4,GNAI2,GNAI3,GNB1,GNB2,GRB2,MAP3K4,MYL12A,MYL12B,MYL6,PIK3CD,PIK3R1,PIK3R4,RHOA	
Renal Cell Carcinoma Signaling	3.41E00	1E-01	0.000	ETS1,GRB2,PIK3CD,PIK3R1,PIK3R4,RAPGEF1,TGFA,UBC	
IL-23 Signaling Pathway	3.4E00	1.36E-01	0.816	PIK3CD,PIK3R1,PIK3R4,RORA,RORC,TYK2	
Estrogen Receptor Signaling	3.38E00	5.49E-02	1.000	BCL2,GNAI2,GNAI3,GNB1,GRB2,HSP90AA1,HSP90AB1,MYL12A,MYL12B,MYL6,PELP1,PIK3CD,PIK3R1,PIK3R4,PRKDC,RHOA,SOD2,TYK2	
