© 2000-2020 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
IL15	 	cytokine	 	1.366	bias	3.95E-17	ANXA1,ARHGDIB,BCL2,CALM1 (includes others),CCND2,CCND3,CD2,CD28,CD46,CD5,CD53,CD69,CD74,CD8A,ENO1,EOMES,ETS1,GNLY,HSPA8,IFITM1,IL18RAP,IL2RG,IL32,IL7R,IRF1,ITGB1,ITGB7,KLRB1,MCL1,PFN1,PGK1,PGM2,PIK3R1,PIM1,PLEK,PRDM1,PSAP,PSMB9,PTPN13,PTPRC,SMAD2,TCEA1,TRIM5,UPP1,YY1	195 (17)
CD3	 	complex	 	0.672	bias	6.41E-15	ACTR3,ANXA1,ARHGDIB,BCL2,BIRC3,CALM1 (includes others),CCND2,CCND3,CCR5,CD2,CD28,CD5,CD53,CD69,CD74,CD8A,DUSP2,EOMES,ETS1,HSP90AA1,HSPA5,HSPA8,IFITM1,IL16,IL2RG,IL32,IL7R,IRF1,ITGB7,KDM5D,LCP1,LNPEP,NLRP1,PABPC4,PFN1,PLEC,PLEK,PPA1,PSAP,PTPN13,PTPN7,PTPRC,PUM3,RORA,RORC,TAF15,TCEA1,TMX3,TNFAIP3,TRIM5,YY1	189 (17)
CD40LG	 	cytokine	Activated	2.017	bias	1.04E-13	ANXA7,APOBEC3G,BCL2,BIRC3,CASP1,CAST,CCND3,CCNG1,CCR5,CD69,CD8A,CTSC,DDX42,DUSP2,GPR183,HSP90AA1,ID2,IFITM1,IL7R,IRF1,ISG15,ITGB7,LTB,MAP3K4,MCL1,MPHOSPH9,PIM1,PLEK,PRDM1,PRKDC,PSMB9,PTPN7,RAD21,RASSF2,RUNX3,SOD2,TNFAIP3,XRCC5	151 (18)
IL2	 	cytokine	Activated	2.708	bias	3.18E-13	ANXA1,APOBEC3G,ARHGEF3,BCL2,BHLHE40,BIRC3,CASP1,CCND2,CCND3,CCNG1,CCR5,CD2,CD28,CD3G,CD46,CD5,CD69,CD74,CD8A,CTPS1,CTSC,DUSP2,EOMES,ETS1,EVL,HSPA5,IL18RAP,IL2RG,IL7R,IRF1,ITGB1,ITGB7,KLF6,KLRB1,LCP2,LTB,PDE3B,PIM1,PRDM1,PTPN7,PTPRC,RGPD4 (includes others),RORC,S100A4,SIPA1,STK17B,UPP1,VIM	185 (17)
lipopolysaccharide	 	chemical drug	Activated	3.618	 	9.30E-12	ACO1,ANXA1,ANXA7,APOBEC3G,ARHGEF3,BCL2,BIRC3,CALM1 (includes others),CAPN2,CASP1,CCND2,CCND3,CCR5,CD28,CD46,CD53,CD69,CD74,CD8A,CDC42EP3,CTSC,DAXX,DNAJC3,DUSP2,ENO1,ERN1,GAS5,GBP4,GBP5,GIMAP7,GPR183,H1-10,HDGF,HDLBP,HIVEP2,HLA-A,HSPA5,HSPA8,ID2,IFITM1,IL16,IL18RAP,IL2RG,IL32,IL7R,IRF1,ISG15,ITGB1,ITGB7,KLF6,LCP2,LMO4,LRRFIP1,LTA4H,M6PR,MAP4K4,MCL1,MKNK2,MTDH,MYO9A,NCOA7,OXCT1,PARP9,PDE3B,PIK3R1,PIM1,PLEK,PPP1R15A,PRDM1,PRDM8,PSMB4,PSMB9,PTPN7,PTPRC,PTPRCAP,QKI,RASSF2,RESF1,RORA,RUNX3,SMAD2,SOD2,TAGAP,TGFA,TMSB10/TMSB4X,TNFAIP1,TNFAIP3,TSC22D3,VEZF1,VIM,YY1,ZEB1,ZFP36L2	194 (16)
camptothecin	 	chemical drug	 	0.258	 	1.55E-11	AKAP17A,BCL2,BIRC3,BTG2,CASP1,CAST,CCNG1,CD46,CD53,CRYBG1,CYTH2,FOXN3,GAPVD1,GNAI2,HLA-A,HLA-F,HSPA5,HUS1,IL16,IRF1,JMJD6,KIF3B,MAP4K4,MCL1,MPHOSPH9,NLRP1,PIK3CD,PLEC,PRKDC,PSD4,PSMB9,PSMD2,RASGRP2,RPA3,SIPA1,SIPA1L1,SOD2,STK17B,STK38,TNFAIP1,TNFAIP3,TYK2,WNK1,ZNF24	213 (15)
TCR	 	complex	 	0.736	bias	1.48E-10	ATP5F1B,BCL2,BIRC3,CCND3,CCR5,CD28,CD5,CD69,ENO1,EOMES,FLNA,GBP4,HSPA5,IL16,IL7R,IRF1,ISG15,ITGB7,LCP2,LDHB,MCL1,N4BP1,PDE3B,PGK1,PIK3CD,PIK3R1,PIM1,PRDM1,PTPRC,SDCBP,TNFAIP3,TSC22D3	188 (18)
SATB1	 	transcription regulator	 	-0.271	 	1.48E-09	ACTG1,BCL2,CD69,CD8A,EPSTI1,ETS1,HSP90AA1,HSPA8,IL16,IL18RAP,IL7R,ITGB1,MAL,NIBAN1,PSMD2,RASGRP2,RIPOR2,TGFA,TSC22D3,VIM	 
RBM5	 	other	 	-0.689	 	3.73E-09	ANXA1,BCL2,BIRC3,BTG2,CD69,HSP90AA1,IL32,ISG15,MCL1,PIM1,SCAF11	 
sorafenib	 	chemical drug	 	1.358	 	1.17E-08	CCND2,CCND3,CD69,ERN1,HSPA5,MCL1,PIM1,PPP1R15A,VIM,ZEB1	175 (16)
IL5	 	cytokine	Activated	2.512	bias	1.35E-08	BCL2,CCND2,CCND3,CCR5,CD5,CD69,CTSC,ENO1,GBP4,HSPA5,IL2RG,ITGB7,LCP2,LTB,MTDH,PIM1,PRDM1,PSMB4,PTPRC,RASGRP2,RIPOR2,S100A4,S100A6,UPP1,VIM	173 (16)
ETV6-RUNX1	 	fusion gene/product	 	-1.844	bias	1.93E-08	ARHGAP4,CDC42EP3,DIMT1,ID2,IFITM1,IRF1,ISG15,ITGB1,KLF6,LCP2,LTB,MKNK2,PIM1,PPP1R15A,PRMT2,PSMB9,PTPRC,PTPRCAP,RAB29,RASGRP2,S100A4,SIPA1,STK17B,TRAC,TSC22D3,WDR7	 
IL21	 	cytokine	 	0.742	bias	2.34E-08	BCL2,CASP1,CCND2,CD2,CD28,CD69,EOMES,GBP5,ID2,IL18RAP,IL7R,ISG15,KLRB1,MCL1,PRDM1,PSMB9,PTPRC,RORA,RORC	162 (16)
APP	 	other	 	0.491	 	2.98E-08	ACTB,ACTG1,ADAM10,ARF6,ATP5F1B,BCL2,BRD2,CAST,CCND2,CCR5,CD151,CD69,CD74,CD82,CDC37,DAXX,ENO1,EOMES,EVL,FLNA,GBP4,GNB1,GRB2,HSP90AA1,HSP90AB1,HSPA5,HSPA8,IRF1,KMT2A,LDHB,LMO4,MBP,MXI1,PGK1,PIK3R1,PRKDC,PTPRC,QDPR,RASSF2,REST,RHOA,RNF24,S100B,SLFN5,SNX14,SOD2,TAGAP,UBC,WNK1,YWHAB	195 (18)
TP53	 	transcription regulator	 	0.117	 	4.75E-08	ACO1,ACTB,ADD3,ANXA1,BCL2,BHLHE40,BICD2,BIRC3,BTG2,CAPNS1,CASP1,CCND2,CCND3,CCNG1,CD82,CDC42EP3,DICER1,DUSP2,ECPAS,EIF4G2,ELK4,GNAI2,GRB2,HDLBP,HSP90AA1,HSP90AB1,HSPA5,HSPA8,ID2,IL16,ISCU,ISG15,ITGB7,JMJD1C,KLF6,KMT2A,LDHB,MAP3K4,MCL1,MRPL34,MTDH,MYBL1,NAP1L4,NLRP12,PABPC4,PARP1,PDK3,PFN1,PIK3CD,PIK3R1,PIK3R4,PIM1,PPP1R15A,PRDM1,PSAP,PSMA1,PSMB9,PSMD2,PSME3,QDPR,RASSF2,RBBP6,RHOA,S100A4,S100B,SNX3,SOD2,TGFA,TMSB10/TMSB4X,TRAP1,TSC22D3,TULP4,UBC,UPP1,UQCR10,VIM,WWP1,XRCC5,YY1,ZEB1,ZNF24	228 (19)
