© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Phagosome Formation	9.62E00	1.12E-01	NaN	C3AR1,CLEC7A,FCER1G,FCGR1B,IGHG1,IGHG2,IGHG4,ITGAM,MARCKS,MSR1,PDIA3,PRKCB,RHOB,TLR4	
Interferon Signaling	9.6E00	2.5E-01	3.000	IFI6,IFIT1,IFIT3,IFITM3,ISG15,MX1,STAT1,STAT2,TAP1	
Dendritic Cell Maturation	9.29E00	8.74E-02	2.673	FCER1G,FCGR1B,HLA-A,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,IGHG1,IGHG2,IGHG4,MAPK1,PDIA3,STAT1,STAT2,TLR4,TNFRSF1B	
Antigen Presentation Pathway	9.26E00	2.31E-01	NaN	CALR,CD74,HLA-A,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,PDIA3,TAP1	
Communication between Innate and Adaptive Immune Cells	8.89E00	1.25E-01	NaN	CXCL10,FCER1G,HLA-A,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,IGHG1,IGHG2,IGHG4,IGHM,TLR4	
Phagosome Maturation	8.53E00	9.27E-02	NaN	CALR,CTSA,CTSB,CTSH,CTSL,CYBB,HLA-A,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,LAMP2,PRDX1,TAP1	
Autoimmune Thyroid Disease Signaling	8.32E00	1.84E-01	NaN	FCER1G,HLA-A,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,IGHG1,IGHG2,IGHG4	
Tec Kinase Signaling	7.15E00	7.93E-02	-0.632	ACTG1,FCER1G,FOS,GNAS,GNB1,GNG2,LYN,PRKCB,RHOB,STAT1,STAT2,TLR4,TNFSF10	
Crosstalk between Dendritic Cells and Natural Killer Cells	7.05E00	1.12E-01	0.707	ACTG1,HLA-A,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,ITGAL,TLR4,TNFRSF1B,TNFSF10	
fMLP Signaling in Neutrophils	6.93E00	9.48E-02	-2.333	ACTR2,ARPC2,CALM1 (includes others),CYBB,FPR1,FPR3,GNAS,GNB1,GNG2,MAPK1,PRKCB	
RhoGDI Signaling	6.68E00	7.22E-02	1.508	ACTG1,ACTR2,ARHGAP4,ARHGDIB,ARPC2,CD44,CFL1,GNAS,GNB1,GNG2,MYL6,RHOB,WASF2	
Role of NFAT in Regulation of the Immune Response	6.65E00	7.18E-02	-0.302	CALM1 (includes others),FCER1G,FCGR1B,FOS,GNAS,GNB1,GNG2,HLA-A,HLA-DRA,HLA-DRB1,HLA-DRB5,LYN,MAPK1	
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	6.56E00	7.79E-02	1.134	C1QA,C1QB,C1QC,C3AR1,CLEC7A,IFIH1,MAPK1,OAS2,OAS3,PRKCB,TLR4,TNFSF10	
Phospholipase C Signaling	6.41E00	5.84E-02	-0.832	AHNAK,CALM1 (includes others),FCER1G,GNAS,GNB1,GNG2,IGHG1,IGHG2,IGHG4,LYN,MAPK1,MARCKS,MYL6,PRKCB,RHOB	
Nur77 Signaling in T Lymphocytes	6.39E00	1.36E-01	NaN	CALM1 (includes others),FCER1G,HLA-A,HLA-DRA,HLA-DRB1,HLA-DRB5,MAP3K3,RXRA	
Cdc42 Signaling	6.18E00	7.19E-02	-2.646	ACTR2,ARPC2,CFL1,FCER1G,FOS,HLA-A,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,MAPK1,MYL6	
Allograft Rejection Signaling	6.13E00	1.05E-01	NaN	FCER1G,HLA-A,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,IGHG1,IGHG2,IGHG4	
iNOS Signaling	6.07E00	1.56E-01	0.000	CALM1 (includes others),CD14,FOS,IRAK3,MAPK1,STAT1,TLR4	
Systemic Lupus Erythematosus In B Cell Signaling Pathway	6.03E00	5.45E-02	1.291	CALM1 (includes others),FOS,IFIH1,IFIT3,IGHG1,IGHM,ISG15,LILRB4,LYN,MAPK1,PAG1,PRKCB,STAT1,STAT2,TNFSF10	
Signaling by Rho Family GTPases	5.93E00	5.74E-02	-1.508	ACTG1,ACTR2,ARPC2,CFL1,CYBB,CYFIP1,FOS,GNAS,GNB1,GNG2,MAPK1,MYL6,RHOB,SEPTIN9	
LXR/RXR Activation	5.8E00	8.26E-02	-1.414	ABCA1,CD14,CD36,LYZ,MSR1,RXRA,S100A8,SCD,TLR4,TNFRSF1B	
B Cell Receptor Signaling	5.71E00	6.49E-02	-2.828	CALM1 (includes others),CFL1,IGHG1,IGHG2,IGHG4,IGHM,LYN,MAP3K3,MAPK1,PAG1,POU2F2,PRKCB	
B Cell Development	5.46E00	1.67E-01	NaN	HLA-A,HLA-DRA,HLA-DRB1,HLA-DRB5,IGHM,SPN	
Complement System	5.39E00	1.62E-01	1.000	C1QA,C1QB,C1QC,C3AR1,ITGAM,SERPING1	
Type I Diabetes Mellitus Signaling	5.2E00	8.11E-02	-1.000	FCER1G,HLA-A,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,MAPK1,STAT1,TNFRSF1B	
