© 2000-2020 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
IFNG	 	cytokine	 	0.924	 	1.23E-30	ACTB,ADA2,B2M,CD74,CFP,CLEC10A,CTSS,CYBA,DUSP1,EEF1A1,EIF2AK2,FCER1G,FCN1,FOS,GZMB,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,IFI16,IFI27,IFI44,IFI44L,IFI6,IFIT3,IFITM2,IFITM3,IGHG1,LST1,MX1,MX2,OAS1,OAS2,OAS3,PARP14,PARP9,PIM1,RACK1,RSAD2,S100A8,SAMD9,SELL,SERP1,STAT1,TNFAIP2,TRIM22,TXNIP,TYMP,XAF1,ZFP36	74 (13)
lipopolysaccharide	 	chemical drug	 	1.106	 	8.31E-28	ADAR,ALDH2,ARPC1B,CALR,CD74,CFP,CST3,CYBA,DUSP1,EEF2,EIF2AK2,FCER1G,FCGRT,FOS,GZMB,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DQA1,HLA-DQB1,IFI16,IFI27,IFI44,IFI44L,IFI6,IFIT3,IFITM2,IGHG1,IGHM,ITM2C,LMNB1,LST1,MX1,MX2,OAS1,OAS2,OAS3,PARP14,PARP9,PIM1,RSAD2,S100A8,SAT1,SELL,SERPINF1,STAT1,TCF4,TMSB10/TMSB4X,TNFAIP2,TPT1,TRIM22,TXNIP,TYMP,VCAN,VIM,XAF1,ZFP36	83 (15)
Interferon alpha	 	group	Activated	4.193	 	1.00E-27	ADA2,ADAR,B2M,EIF1,EIF2AK2,FCER1A,FOS,GZMB,IFI16,IFI27,IFI44,IFI44L,IFI6,IFIT3,IFITM2,IFITM3,LAP3,MX1,MX2,OAS1,OAS2,OAS3,PARP14,PARP9,PIM1,RNF213,RSAD2,SAMD9,SAMD9L,SAT1,STAT1,TRIM22,TYMP	49 (12)
STAT1	0.539	transcription regulator	 	1.858	bias	6.83E-23	B2M,CTSS,EIF2AK2,FCER1G,FOS,HLA-DQA1,IFI16,IFI27,IFI44,IFI44L,IFI6,IFIT3,IFITM2,IFITM3,MX1,OAS1,OAS2,OAS3,PARP9,PIM1,RNF213,RSAD2,SAMD9L,STAT1,TRIM22,TYMP,XAF1	73 (13)
tretinoin	 	chemical - endogenous mammalian	 	1.256	 	1.59E-22	ADAR,AP1S2,CALR,CD1C,CD52,CD74,CFP,CLTC,COTL1,CTSS,DUSP1,EEF1A1,EEF1D,EIF2AK2,EIF3C,FCER1G,FOS,HLA-DMB,IFI16,IFI27,IFI44,IFI44L,IFI6,IFIT3,IGHM,JAML,LAP3,NPC2,OAS1,OAS2,OAS3,PARP14,PARP9,PIM1,RNF213,S100A8,SAMD9L,SELL,SRGN,STAT1,TGFBI,TMSB10/TMSB4X,TNFAIP2,TPT1,TRIM22,VIM,XAF1	79 (17)
IFNL1	 	cytokine	Activated	4.028	bias	3.81E-22	EIF2AK2,IFI27,IFI44,IFI44L,IFI6,IFIT3,IFITM2,IFITM3,MX1,OAS1,OAS2,OAS3,RSAD2,SAMD9,STAT1,TRIM22,XAF1	69 (14)
IRF7	 	transcription regulator	Activated	4.343	bias	4.15E-21	ADAR,IFI16,IFI44,IFI44L,IFI6,IFIT3,IFITM2,IFITM3,MX1,MX2,OAS1,OAS2,OAS3,PARP14,RSAD2,S100A8,SAMD9L,STAT1,TRIM22,XAF1	49 (11)
dexamethasone	 	chemical drug	 	-1.535	 	4.98E-21	ACTB,ALDH2,B2M,CALR,CD1C,CD52,CD74,CRIP1,CST3,CUL1,DUSP1,EEF1A1,FCER1A,FCER1G,FOS,GZMB,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQB1,HLA-DRA,HLA-DRB1,IFI44,IFI6,IFIT3,IFITM3,IGHM,LAP3,LST1,MS4A6A,MX1,OAS3,PABPC1,PARP14,PIM1,PSAP,RSAD2,S100A8,SAT1,SELL,SERPINF1,SRGN,STAT1,TGFBI,TNFAIP2,TPT1,TXNIP,VCAN,VIM,XAF1,ZFP36	85 (19)
filgrastim	 	biologic drug	 	0.055	 	9.60E-21	B2M,CD52,CD74,CST3,FCER1A,FCER1G,GZMB,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQB1,HLA-DRA,HLA-DRB1,IFI44,IFI6,IFIT3,LAP3,LST1,MS4A6A,MX1,OAS3,PARP14,RSAD2,STAT1,TNFAIP2,VIM,XAF1	 
PRL	 	cytokine	Activated	2.471	bias	1.62E-20	ACTB,ADAR,B2M,CST3,CTSS,EIF2AK2,FOS,IFI44,IFI44L,IFI6,IFIT3,MX2,OAS1,OAS2,OAS3,PARP14,PIM1,RSAD2,SAMD9,SAMD9L,STAT1,VIM,XAF1	67 (16)
TGM2	 	enzyme	Activated	2.035	 	6.95E-20	CD74,CFP,FCER1G,IFI6,IFIT3,JAML,NPC2,OAS1,OAS2,OAS3,PARP14,PARP9,PIM1,RNF213,S100A8,SAMD9L,SELL,STAT1,TNFAIP2,TRIM22,XAF1	60 (5)
STAT3	 	transcription regulator	 	-1.295	 	2.00E-19	CCDC88A,CD74,EIF2AK2,FCER1G,FOS,GZMB,HLA-DMA,HLA-DQA1,IFI16,IFI27,IFI44,IFI6,IFIT3,IFITM2,IFITM3,MX1,MX2,OAS1,OAS2,OAS3,PIM1,RSAD2,STAT1,TCF4,TRIM22,VCAN,VIM,XAF1,ZFP36	72 (20)
IFNA2	 	cytokine	Activated	4.104	bias	2.40E-19	B2M,EIF2AK2,IFI16,IFI27,IFI44,IFI44L,IFI6,IFIT3,IFITM2,IFITM3,MX1,MX2,OAS1,OAS2,OAS3,PARP9,RSAD2,SAMD9,STAT1,TRIM22,XAF1	64 (14)
RNY3	 	other	Activated	3.317	bias	1.12E-18	IFI44,IFI44L,IFIT3,IFITM3,MX1,OAS1,OAS2,OAS3,OTOF,RSAD2,XAF1	 
IFN Beta	 	group	Activated	3.421	bias	4.30E-18	CD74,DUSP1,EEF1A1,EIF2AK2,IFI16,IFI27,IFI44,IFI6,IFIT3,MX1,MX2,OAS1,OAS2,OAS3,RSAD2,STAT1,XAF1	75 (14)
IL27	 	cytokine	 	-0.389	 	4.85E-18	B2M,CD74,EIF2AK2,FOS,GZMB,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,HLA-DRA,MX1,OAS1,PIM1,STAT1,VIM	79 (19)
IRF1	 	transcription regulator	Activated	3.305	bias	1.39E-17	B2M,CTSS,EIF2AK2,IFI27,IFI44,IFI44L,IFI6,IFIT3,IFITM3,MX1,OAS1,OAS2,OAS3,RSAD2,SELL,STAT1,TRIM22,XAF1	74 (14)
poly rI:rC-RNA	 	biologic drug	Activated	2.415	bias	1.93E-17	ADAR,B2M,CD74,DUSP1,EIF2AK2,FCN1,FOS,HLA-DMB,IFI16,IFI27,IFI44,IFIT3,IFITM3,MX1,OAS1,OAS2,OAS3,PARP14,PIM1,RSAD2,SAT1,SRGN,STAT1,TNFAIP2,VIM,ZFP36	72 (15)
Ifnar	 	group	 	1.765	bias	1.38E-16	B2M,CD74,EIF2AK2,FCER1A,FCER1G,IFI16,IFIT3,IFITM3,OAS1,OAS2,RNF213,RSAD2,STAT1,XAF1	68 (17)
oblimersen	 	biologic drug	Activated	2.887	bias	1.67E-16	DUSP1,IFI16,IFI27,IFI44,IFI6,IFIT3,MX1,MX2,OAS1,OAS2,RSAD2,STAT1	 
IFNAR1	 	transmembrane receptor	Activated	2.441	 	2.51E-16	B2M,EIF2AK2,IFI16,IFI44,IFI6,IFIT3,MX2,OAS1,OAS2,OAS3,RSAD2,STAT1,TNFAIP2,TRIM22,VEGFB,XAF1	60 (13)
IL1RN	 	cytokine	Inhibited	-2.840	bias	5.61E-16	CTSS,HLA-DQB1,IFI27,IFI44,IFI44L,IFI6,IFIT3,MX1,MX2,OAS1,OAS2,OAS3,RSAD2,SAMD9,TRIM22	59 (8)
IRF3	 	transcription regulator	Activated	3.637	bias	1.14E-15	ADAR,B2M,EIF2AK2,IFI16,IFI27,IFI44,IFI6,IFIT3,IFITM3,OAS1,OAS2,OAS3,PARP14,RSAD2,SAMD9L,STAT1,VIM	51 (13)
fluticasone propionate	 	chemical drug	 	1.719	 	2.01E-15	CD74,FCN1,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DRA,IFI27,LST1,MX1,OAS2,S100A8,SERPINF1,STAT1	 
PNPT1	 	enzyme	Inhibited	-3.286	bias	2.88E-15	EIF2AK2,IFI16,IFI44,IFIT3,OAS1,PARP14,PARP9,RNF213,SAMD9L,STAT1,XAF1	39 (6)
CD40LG	 	cytokine	 	0.574	bias	6.01E-15	B2M,CD1C,CFP,DUSP1,EIF2AK2,FOS,GZMB,HLA-DQA1,HLA-DQA2,HLA-DQB1,IFI44,IFI6,IFIT3,IGHG1,MX1,NAP1L1,PIM1,SELL,STAT1,TNFAIP2,TYMP	77 (18)
CIITA	 	transcription regulator	Inhibited	-3.125	 	1.34E-14	B2M,CD74,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1	 
ACKR2	 	G-protein coupled receptor	Inhibited	-3.162	bias	3.00E-14	ADAR,EIF2AK2,IFI16,IFI44,IFIT3,OAS1,OAS2,OAS3,RSAD2,STAT1	 
MAPK1	 	kinase	Inhibited	-3.469	 	3.80E-14	ADAR,DUSP1,EIF2AK2,ERP29,FOS,HLA-DMA,IFI16,IFI27,IFI44,IFI6,IFIT3,IFITM3,LAP3,MX2,OAS1,OAS2,OAS3,STAT1,TRIM22,VIM	72 (18)
SPI1	 	transcription regulator	 	1.155	 	1.26E-13	ACTB,CTSS,FCER1A,FCER1G,FCGRT,FOS,IFI27,IFI44,IFI44L,IFI6,IFIT3,IFITM3,MX1,RACK1,RSAD2,TRIM22,VIM	61 (12)
Ifn	 	group	Activated	2.493	bias	1.38E-13	B2M,EIF2AK2,FOS,IFI16,IFITM3,MX1,OAS2,OAS3,RSAD2,S100A8,STAT1,TRIM22,TYMP	60 (14)
CpG ODN 2006	 	chemical reagent	Activated	2.331	bias	1.52E-13	GZMB,IFI27,IFI44,IFI44L,IFI6,IFIT3,MX1,MX2,OAS1,RSAD2,SELL,STAT1	64 (12)
GAPDH	 	enzyme	 	-1.093	 	2.96E-13	DUSP1,FCER1G,IFI6,IFITM2,OAS1,OAS2,OAS3,STAT1,TXNIP	41 (6)
EBI3	 	cytokine	 	-0.286	 	5.24E-13	B2M,FOS,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DQA1,HLA-DRA,MX1,PIM1,STAT1	62 (11)
IL4	 	cytokine	Inhibited	-3.701	 	8.76E-13	ACTB,ALDH2,CD1C,CD74,CLEC10A,CLTC,CRIP1,EIF2AK2,FCER1G,FOS,HLA-DMA,HLA-DMB,IFI16,IFI44,IFI44L,IFIT3,IFITM3,IGHG1,NAP1L1,OAS3,PIM1,RNF213,S100A8,SELL,STAT1,TGFBI,VIM,ZFP36	80 (19)
SOCS1	 	other	Inhibited	-2.221	bias	1.11E-12	DUSP1,FCER1G,FOS,IFI16,IFI27,IFI44,IFIT3,MX1,OAS1,OAS2,RSAD2,STAT1,TRIM22	63 (14)
KRAS	 	enzyme	 	-1.470	 	2.13E-12	ADAR,B2M,CD74,CLEC10A,DUSP1,EEF1A1,EIF2AK2,FOS,HLA-DMB,HLA-DRB1,IFI6,IFITM2,IFITM3,LMNB1,MX1,MX2,OAS1,PABPC1,PIM1,STAT1,TNFAIP2,VCAN,VIM	69 (14)
STAT6	 	transcription regulator	Inhibited	-2.662	 	2.36E-12	ACTB,ALDH2,CRIP1,CTSS,EIF2AK2,FCER1G,HLA-DMA,HLA-DMB,IFI16,IFI44,IFI44L,IFIT3,IFITM3,IGHG1,OAS3,RNF213,SERPINF1,VIM,ZFP36	79 (14)
PARP9	0.347	enzyme	 	0.478	bias	4.00E-12	CD74,HLA-DQA1,HLA-DQB1,IFI44,IFIT3,OAS2,STAT1	41 (7)
CNOT7	 	transcription regulator	 	 	 	4.89E-12	B2M,IFI27,IFI44L,IFI6,OAS1,OAS2,OAS3,STAT1	40 (7)
VCAN	0.324	other	Activated	3.434	 	6.55E-12	CYBA,IFI44,IFI44L,IFI6,MX1,MX2,OAS2,OAS3,PARP14,STAT1,TRIM22,VCAN,XAF1	 
ELAVL1	 	other	 	0.905	 	8.04E-12	B2M,CTSS,DUSP1,FOS,IFI16,IFI44,IFITM3,OAS1,OAS2,RACK1,SAT1,STAT1,VIM,ZFP36	62 (10)
bromodeoxyuridine	 	chemical drug	Activated	2.356	bias	1.29E-11	IFI16,IFI27,IFI44,IFI6,IFIT3,MX1,OAS1,STAT1,TGFBI	56 (9)
TNF	 	cytokine	 	-0.197	 	1.49E-11	ACTB,ALDH2,B2M,CALR,CD1C,COTL1,CTSS,CYBA,DUSP1,EIF2AK2,FCER1G,FCGRT,FOS,HLA-DRA,IFI16,IFI27,IFI6,IFIT3,MX1,OAS1,OAS2,OAS3,PARP14,PIM1,S100A8,SAMD9,SAT1,SELL,SERPINF1,STAT1,TNFAIP2,TPT1,TXNIP,TYMP,VIM,ZFP36	81 (18)
TLR3	 	transmembrane receptor	 	1.942	bias	1.83E-11	DUSP1,EIF2AK2,FOS,IFI16,IFI44,IFI44L,IFI6,IFIT3,LMNB1,MX1,MX2,OAS1,RSAD2,S100A8,STAT1	44 (12)
POU2AF1	 	transcription regulator	 	1.223	bias	3.02E-11	HLA-DRA,IFI44,IFI44L,IFIT3,IGHG1,IGHM,MS4A6A,MX1,PTPRS	 
IFNA1/IFNA13	 	cytokine	Activated	2.930	 	3.02E-11	EIF2AK2,IFI27,IFI6,MX1,OAS1,OAS2,RSAD2,STAT1,VEGFB	63 (14)
STAT2	 	transcription regulator	 	1.922	bias	4.16E-11	IFI27,IFI6,IFIT3,IFITM2,MX1,OAS1,OAS2,RSAD2,STAT1	63 (13)
RNASEH2A	 	enzyme	 	 	 	5.65E-11	ADAR,IFI16,IFI44,IFIT3,IFITM3,OAS1,PARP9,RSAD2	 
resiquimod	 	chemical drug	 	 	 	5.70E-11	ADAR,EIF2AK2,FCER1G,IFI16,IFI44L,IFIT3,IFITM3,LAP3,MX1,MX2,OAS1,OAS2,OAS3,STAT1,TRIM22	49 (13)
ribavirin	 	chemical drug	Activated	2.828	 	6.95E-11	EIF2AK2,IFI27,IFI44L,IFI6,IFIT3,MX1,RSAD2,STAT1	74 (13)
PML	 	transcription regulator	Activated	2.191	 	1.39E-10	HLA-DMB,HLA-DRA,IFI27,IFI44,IFI44L,IFIT3,MX1,OAS1,OAS2,OAS3,STAT1,VIM	65 (12)
stallimycin	 	biologic drug	Activated	2.778	bias	1.51E-10	IFI16,IFI27,IFI44,IFI6,IFIT3,MX1,OAS1,STAT1	56 (9)
ETV6-RUNX1	 	fusion gene/product	 	-1.136	bias	2.53E-10	CYBA,FCGRT,GZMB,IFI16,IFI6,IFIT3,ITM2C,LST1,OAS1,OAS2,PIM1,RSAD2,RSL1D1,SELL,STAT1	39 (4)
NKX2-3	 	transcription regulator	Inhibited	-3.606	 	2.83E-10	EIF2AK2,EIF4B,LAP3,PARP14,PARP9,RNF213,SAMD9,SAMD9L,STAT1,TRIM22,TTC3,TYMP,XAF1	 
SAFB	 	other	 	1.414	bias	5.80E-10	B2M,CD74,EIF4B,FOS,HLA-DPA1,HLA-DPB1,HLA-DRA,S100A8	 
Immunoglobulin	 	complex	 	-0.197	 	6.32E-10	CALR,CD74,CFP,DUSP1,EIF2AK2,FCER1A,FCER1G,FOS,GZMB,HLA-DQB1,IFIT3,LST1,OAS2,RSAD2,S100A8,SAT1,SELL,TYMP,VCAN	53 (13)
NGLY1	 	enzyme	Inhibited	-2.580	 	7.82E-10	IFI27,IFI44,IFI44L,IFIT3,OAS1,OAS3,RSAD2	 
TGFB1	 	growth factor	 	-1.497	 	9.16E-10	ALDH2,B2M,COTL1,CST3,CTSS,CYBA,DUSP1,EEF1A1,FCER1A,FCER1G,FOS,GZMB,HLA-DMA,HLA-DQA1,HLA-DQB1,IFI16,IFI27,IFIT3,IGHM,MALAT1,PIM1,RACK1,RSAD2,SERP1,SERPINF1,STAT1,TCF4,TGFBI,TXNIP,TYMP,VCAN,VIM,ZFP36	76 (18)
SIRT1	 	transcription regulator	Inhibited	-2.324	 	9.54E-10	ACTB,ADAR,CD74,CLEC10A,HLA-DQA1,HLA-DQB1,IFI44,IFIT3,IFITM3,IGHM,OAS1,OAS2,PARP14,RNF213,RSAD2,STAT1	74 (10)
interferon beta-1a	 	biologic drug	 	 	 	1.50E-09	FCER1G,FCGRT,GZMB,HLA-DPB1,IFI6,IGHM,MX1,PFDN5,SLC25A6,STAT1	 
IL1B	 	cytokine	 	0.201	 	2.10E-09	B2M,CD74,CTSS,CYBA,DUSP1,FOS,HLA-DRA,IFI16,IFIT3,MX1,OAS2,PIM1,RSAD2,S100A8,SRGN,STAT1,TNFAIP2,TPT1,TXNIP,TYMP,VCAN,VIM,ZFP36	80 (19)
JAK	 	group	 	1.673	bias	3.61E-09	EIF2AK2,IFI6,IFIT3,IFITM3,RSAD2,STAT1,VIM	59 (12)
EIF2AK2	0.295	kinase	Activated	2.343	bias	3.71E-09	EIF2AK2,FOS,IFI27,IFI6,IFITM2,OAS1,OAS3,PARP9,STAT1	64 (14)
IFNAR2	 	transmembrane receptor	 	 	 	5.92E-09	IFI44,IFI6,MX2,OAS1,OAS2,TRIM22,XAF1	73 (11)
SP110	 	transcription regulator	Inhibited	-2.530	 	6.14E-09	CD74,IFI27,IFI6,IFIT3,IFITM3,MX1,OAS1,OAS3,STAT1,TXNIP	 
PAF1	 	other	 	1.890	bias	9.37E-09	IFI44,IFI44L,IFIT3,IFITM3,OAS2,OAS3,ZFP36	 
MYC	 	transcription regulator	 	-1.798	 	9.42E-09	ACTB,CRIP1,CUL1,DUSP1,EEF2,FCGRT,FOS,IFI16,IFI27,IFI44,IFI44L,IFI6,IFIT3,MX1,MX2,NAP1L1,OAS1,RSAD2,SAT1,STAT1,TAGLN2,TMSB10/TMSB4X,TXNIP,VIM,ZFP36	62 (10)
IFNB1	 	cytokine	Activated	3.390	 	9.55E-09	EIF2AK2,FOS,IFI16,IFI27,IFI6,IFIT3,MX1,OAS1,OAS2,PARP14,RSAD2,STAT1,XAF1	60 (12)
DYSF	 	other	 	 	 	1.30E-08	B2M,CD74,CTSS,CYBA,HLA-DQA1,HLA-DQB1,IFI16,PSAP	 
RFX5	 	transcription regulator	 	 	 	1.36E-08	B2M,CD74,HLA-DMB,HLA-DRA,HLA-DRB1	 
decitabine	 	chemical drug	 	-0.535	 	1.81E-08	B2M,CUL1,DUSP1,EEF1A1,EEF1B2,EIF2AK2,EIF4B,IFI16,IFI27,LMNB1,MX1,OAS1,PABPC1,SAT1,SELL,STAT1,TGFBI,TMSB10/TMSB4X,VCAN,VIM	66 (13)
TCR	 	complex	 	 	 	2.06E-08	FOS,GZMB,IFI44,IFI44L,IFI6,IFIT3,LMNB1,MX1,MX2,OAS1,PIM1,RSAD2,SELL,STAT1	76 (14)
hydrogen peroxide	 	chemical - endogenous mammalian	 	-1.959	 	2.45E-08	CST3,CTSS,DUSP1,EEF1A1,EEF1B2,FOS,GZMB,HLA-DRA,IFI6,PFDN5,PIM1,RSL1D1,SRGN,TXNIP,VIM,XAF1	67 (14)
ISG15	 	other	 	-1.997	bias	3.07E-08	IFI6,IFITM3,MX1,OAS1	 
BCR (complex)	 	complex	 	-0.637	bias	6.22E-08	CALR,CD1C,FOS,GZMB,HLA-DMA,IGHG1,MS4A6A,PIM1,SELL	44 (6)
BRCA1	 	transcription regulator	 	1.526	 	6.33E-08	ACTB,IFI27,IFI6,IFIT3,MX1,SAT1,STAT1,TNFAIP2,VCAN,VIM	60 (9)
