© 2000-2020 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
lipopolysaccharide	 	chemical drug	Activated	2.585	1.74E-20	ADAR,AKAP13,ARL4C,BTG1,CALR,CCL5,COX4I1,CX3CR1,CYBA,EEF2,GZMB,IFI44,IFI44L,IFIT3,IGHG1,IGHM,ISG15,MSN,MX1,OAS1,OAS2,OAS3,PLEK,RSAD2,RUNX3,S100A9,STAT1,TAP1,TMSB10/TMSB4X,TPT1,TRIM22,TSC22D3,TXNIP,XAF1,ZFP36L2	44 (12)
IRF7	 	transcription regulator	Activated	3.312	2.91E-20	ADAR,CCL5,IFI44,IFI44L,IFIT3,ISG15,MX1,OAS1,OAS2,OAS3,PLAC8,RSAD2,STAT1,TAP1,TRIM22,XAF1	25 (13)
RNY3	 	other	Activated	3.162	1.63E-19	IFI44,IFI44L,IFIT3,ISG15,MX1,OAS1,OAS2,OAS3,RSAD2,XAF1	 
IFNL1	 	cytokine	Activated	3.106	2.06E-19	HLA-B,IFI44,IFI44L,IFIT3,ISG15,MX1,OAS1,OAS2,OAS3,RSAD2,STAT1,TRIM22,XAF1	24 (7)
IFNG	 	cytokine	 	1.247	4.31E-19	ACTB,B2M,BTG1,CCL5,CX3CR1,CYBA,FCGR3A/FCGR3B,GZMB,HLA-B,IFI44,IFI44L,IFIT3,IGHG1,ISG15,MX1,NEAT1,OAS1,OAS2,OAS3,PLEK,RACK1,RSAD2,RUNX3,S100A9,STAT1,TAP1,TRIM22,TSC22D3,TXNIP,XAF1	39 (14)
IRF1	 	transcription regulator	Activated	2.527	4.80E-18	B2M,CCL5,IFI44,IFI44L,IFIT3,ISG15,MX1,OAS1,OAS2,OAS3,RSAD2,STAT1,TAP1,TRIM22,XAF1	35 (12)
IFNA2	 	cytokine	Activated	2.740	8.63E-18	B2M,CCL5,HLA-B,IFI44,IFI44L,IFIT3,ISG15,MX1,OAS1,OAS2,OAS3,RSAD2,STAT1,TAP1,TRIM22,XAF1	33 (15)
Interferon alpha	 	group	Activated	2.458	2.47E-17	ADAR,B2M,CCL5,GZMB,HLA-B,IFI44,IFI44L,IFIT3,ISG15,LAIR2,MX1,OAS1,OAS2,OAS3,RSAD2,S100A9,STAT1,TAP1,TRIM22	28 (11)
ACKR2	 	G-protein coupled receptor	Inhibited	-2.530	3.57E-17	ADAR,CCL5,IFI44,IFIT3,ISG15,OAS1,OAS2,OAS3,RSAD2,STAT1	 
STAT1	0.326	transcription regulator	 	1.625	2.53E-16	B2M,BTG1,CCL5,CX3CR1,IFI44,IFI44L,IFIT3,ISG15,MX1,OAS1,OAS2,OAS3,RSAD2,STAT1,TAP1,TRIM22,XAF1	34 (10)
IRF3	 	transcription regulator	Activated	2.271	5.47E-16	ADAR,AHNAK,B2M,CCL5,IFI44,IFIT3,ISG15,OAS1,OAS2,OAS3,PLAC8,RSAD2,STAT1,TAP1	28 (13)
PRL	 	cytokine	Activated	2.868	2.60E-15	ACTB,ADAR,B2M,COX4I1,IFI44,IFI44L,IFIT3,ISG15,MSN,OAS1,OAS2,OAS3,RSAD2,STAT1,XAF1	29 (10)
IFN Beta	 	group	Activated	2.639	9.95E-15	CCL5,HLA-B,IFI44,IFIT3,ISG15,MX1,OAS1,OAS2,OAS3,RSAD2,STAT1,XAF1	27 (11)
IFNAR1	 	transmembrane receptor	 	1.444	1.76E-14	B2M,CCL5,IFI44,IFIT3,ISG15,OAS1,OAS2,OAS3,RSAD2,STAT1,TRIM22,XAF1	28 (12)
CNOT7	 	transcription regulator	 	 	2.37E-14	B2M,IFI44L,ISG15,OAS1,OAS2,OAS3,STAT1,TAP1	24 (7)
dexamethasone	 	chemical drug	Inhibited	-2.578	4.43E-14	ACTB,AKAP13,ARL4C,B2M,BCLAF1,BTG1,CALR,CCL5,COX4I1,CX3CR1,GZMB,IFI44,IFIT3,IGHM,ISG15,MBP,MX1,OAS3,PABPC1,PLEK,RSAD2,S100A9,SPON2,SRSF11,STAT1,TPT1,TSC22D3,TXNIP,XAF1,ZFP36L2	41 (7)
tretinoin	 	chemical - endogenous mammalian	 	1.324	9.89E-14	ADAR,AHNAK,BTG1,CALR,CX3CR1,ETS1,HLA-B,IFI44,IFI44L,IFIT3,IGHM,ISG15,OAS1,OAS2,OAS3,PLEK,PNRC1,RUNX3,S100A9,STAT1,TAP1,TMSB10/TMSB4X,TPT1,TRIM22,TSC22D3,XAF1	41 (16)
Ifnar	 	group	 	1.961	1.50E-13	B2M,CCL5,IFIT3,ISG15,OAS1,OAS2,RSAD2,STAT1,TAP1,XAF1	36 (16)
oblimersen	 	biologic drug	Activated	2.828	3.47E-12	IFI44,IFIT3,ISG15,MX1,OAS1,OAS2,RSAD2,STAT1	 
IL1RN	 	cytokine	Inhibited	-3.162	4.08E-12	IFI44,IFI44L,IFIT3,MX1,OAS1,OAS2,OAS3,RSAD2,S100A9,TRIM22	32 (9)
CD40LG	 	cytokine	 	0.537	6.89E-12	AKAP13,B2M,BTG1,CCL5,GZMB,IFI44,IFIT3,IGHG1,ISG15,MX1,PLEK,RUNX3,STAT1,TAP1	38 (15)
CpG ODN 2006	 	chemical reagent	Activated	2.985	7.06E-12	CCL5,GZMB,IFI44,IFI44L,IFIT3,MX1,OAS1,RSAD2,STAT1	28 (11)
STAT2	 	transcription regulator	 	0.947	7.20E-12	CCL5,IFIT3,ISG15,MX1,OAS1,OAS2,RSAD2,STAT1	30 (12)
MAVS	 	other	 	1.841	2.60E-11	ADAR,CCL5,IFIT3,ISG15,OAS1,OAS2,RSAD2,STAT1	28 (14)
DDX58	 	enzyme	 	1.675	2.92E-11	AHNAK,CCL5,IFI44,IFIT3,ISG15,OAS1,RSAD2,STAT1	28 (14)
resiquimod	 	chemical drug	 	 	3.07E-11	ADAR,CCL5,IFI44L,IFIT3,ISG15,MSN,MX1,OAS1,OAS2,OAS3,STAT1,TRIM22	29 (12)
RNASEH2B	 	enzyme	 	 	4.35E-11	CCL5,IFI44,IFIT3,ISG15,OAS1	17 (3)
IFNL4	 	cytokine	Activated	2.209	4.35E-11	ISG15,MX1,OAS1,OAS2,STAT1	24 (7)
CGAS	 	enzyme	 	1.761	4.53E-11	CCL5,IFI44,IFIT3,ISG15,OAS1,RSAD2	27 (11)
PML	 	transcription regulator	Activated	3.132	4.70E-11	IFI44,IFI44L,IFIT3,ISG15,MX1,OAS1,OAS2,OAS3,STAT1,TAP1	34 (10)
TGM2	 	enzyme	Activated	2.111	5.40E-11	CX3CR1,HLA-B,IFIT3,OAS1,OAS2,OAS3,PNRC1,STAT1,TAP1,TRIM22,XAF1	25 (4)
Ifn	 	group	Activated	2.429	7.06E-11	B2M,ISG15,MX1,OAS2,OAS3,RSAD2,STAT1,TAP1,TRIM22	33 (15)
MAPK1	 	kinase	Inhibited	-2.354	7.07E-11	ADAR,CCL5,HLA-B,IFI44,IFIT3,ISG15,MBP,OAS1,OAS2,OAS3,STAT1,TAP1,TRIM22	29 (11)
aldesleukin	 	biologic drug	 	0.000	8.23E-11	B2M,CALR,FCGR3A/FCGR3B,HLA-B,MX1,STAT1,TAP1	 
PAF1	 	other	 	1.890	9.58E-11	CCL5,IFI44,IFI44L,IFIT3,ISG15,OAS2,OAS3	 
PNPT1	 	enzyme	Inhibited	-2.449	1.11E-10	CCL5,IFI44,IFIT3,ISG15,OAS1,STAT1,XAF1	22 (6)
STAT3	 	transcription regulator	 	-0.614	1.34E-10	CCL5,GZMB,IFI44,IFIT3,ISG15,MX1,OAS1,OAS2,OAS3,RSAD2,S100A9,STAT1,TAP1,TRIM22,XAF1	37 (16)
SIRT1	 	transcription regulator	Inhibited	-2.060	1.36E-10	ACTB,ADAR,BCLAF1,CCL5,COX4I1,IFI44,IFIT3,IGHM,OAS1,OAS2,RSAD2,STAT1,TAP1	29 (8)
IRF5	 	transcription regulator	Activated	2.057	1.70E-10	CCL5,IFI44,IFIT3,ISG15,OAS1,OAS2,RSAD2,STAT1	24 (12)
SPI1	 	transcription regulator	 	1.117	2.78E-10	ACTB,IFI44,IFI44L,IFIT3,ISG15,MBP,MX1,RACK1,RSAD2,RUNX3,TRIM22	 
SOCS1	 	other	Inhibited	-2.938	2.98E-10	IFI44,IFIT3,ISG15,MX1,OAS1,OAS2,RSAD2,STAT1,TRIM22	27 (10)
TBK1	 	kinase	 	-1.895	3.44E-10	CCL5,IFI44,IFIT3,ISG15,OAS1,OAS2,OAS3,RSAD2	28 (12)
poly rI:rC-RNA	 	biologic drug	Activated	2.202	3.62E-10	ADAR,B2M,CCL5,HLA-B,IFI44,IFIT3,ISG15,MX1,OAS1,OAS2,OAS3,RSAD2,STAT1,TAP1	30 (13)
TLR7	 	transmembrane receptor	Activated	2.339	6.52E-10	CCL5,IFI44,IFI44L,IFIT3,ISG15,MX1,OAS2,OAS3,RSAD2,STAT1	28 (10)
NGLY1	 	enzyme	Inhibited	-2.388	7.09E-10	IFI44,IFI44L,IFIT3,OAS1,OAS3,RSAD2	 
TNF	 	cytokine	 	1.035	9.49E-10	ACTB,B2M,BTG1,CALR,CCL5,CX3CR1,CYBA,ETS1,HLA-B,IFIT3,ISG15,MBP,MX1,NEAT1,OAS1,OAS2,OAS3,S100A9,STAT1,TAP1,TPT1,TSC22D3,TXNIP	37 (14)
VCAN	 	other	Activated	2.967	1.02E-09	CYBA,IFI44,IFI44L,MX1,OAS2,OAS3,STAT1,TRIM22,XAF1	 
TRIM24	 	transcription regulator	Inhibited	-2.770	1.03E-09	CCL5,IFI44,IFIT3,ISG15,OAS1,PLAC8,STAT1,TAP1	25 (8)
PARP9	 	enzyme	Activated	2.219	1.45E-09	IFI44,IFIT3,ISG15,OAS2,STAT1	24 (7)
BTK	 	kinase	 	-1.808	1.58E-09	ETS1,IFI44L,IFIT3,ISG15,MX1,OAS2,OAS3,STAT1	34 (13)
RNASEH2A	 	enzyme	 	 	1.94E-09	ADAR,IFI44,IFIT3,ISG15,OAS1,RSAD2	 
ribavirin	 	chemical drug	Activated	2.433	2.26E-09	IFI44L,IFIT3,ISG15,MX1,RSAD2,STAT1	32 (10)
IFNAR2	 	transmembrane receptor	 	 	3.99E-09	IFI44,ISG15,OAS1,OAS2,TRIM22,XAF1	32 (10)
IFIH1	 	enzyme	 	1.462	3.99E-09	CCL5,IFI44L,ISG15,OAS1,OAS2,RSAD2	25 (14)
IFNLR1	 	transmembrane receptor	 	 	3.99E-09	CCL5,IFI44,IFIT3,ISG15,MX1,RSAD2	24 (8)
stallimycin	 	biologic drug	Activated	2.401	3.99E-09	IFI44,IFIT3,ISG15,MX1,OAS1,STAT1	24 (7)
TGFB1	 	growth factor	Inhibited	-3.003	4.52E-09	AHNAK,B2M,BTG1,CAP1,CCL5,CX3CR1,CYBA,ETS1,FCGR3A/FCGR3B,GZMB,IFIT3,IGHM,MALAT1,MSN,RACK1,RSAD2,RUNX3,SRSF5,STAT1,TSC22D3,TXNIP,ZFP36L2	 
filgrastim	 	biologic drug	 	-1.960	4.58E-09	B2M,CCL5,GZMB,IFI44,IFIT3,ISG15,MX1,OAS3,RSAD2,SPON2,STAT1,XAF1	 
decitabine	 	chemical drug	 	0.160	7.33E-09	B2M,BTG1,CCL5,CX3CR1,EIF4B,HLA-B,ISG15,MSN,MX1,OAS1,PABPC1,RBM39,RUNX3,STAT1,TMSB10/TMSB4X	29 (5)
TCR	 	complex	 	 	9.49E-09	CCL5,GZMB,IFI44,IFI44L,IFIT3,ISG15,MX1,OAS1,RSAD2,STAT1,TSC22D3	34 (13)
bromodeoxyuridine	 	chemical drug	Activated	2.401	9.63E-09	IFI44,IFIT3,ISG15,MX1,OAS1,STAT1	24 (7)
IL27	 	cytokine	 	0.917	9.77E-09	B2M,CCL5,GZMB,HLA-B,MX1,OAS1,STAT1,TAP1	36 (12)
alefacept	 	biologic drug	 	1.368	1.21E-08	CCL5,CYBA,FCGR3A/FCGR3B,GNLY,GZMB,STAT1	 
POU2AF1	 	transcription regulator	Activated	2.407	1.68E-08	IFI44,IFI44L,IFIT3,IGHG1,IGHM,MX1	 
IFNA1/IFNA13	 	cytokine	Activated	2.412	1.68E-08	ISG15,MX1,OAS1,OAS2,RSAD2,STAT1	27 (10)
emactuzumab	 	biologic drug	Activated	2.000	2.09E-08	IFIT3,ISG15,STAT1,XAF1	 
TMEM173	 	other	 	1.524	2.29E-08	CCL5,IFI44,IFIT3,ISG15,OAS1,RSAD2	28 (14)
ETV6-RUNX1	 	fusion gene/product	 	-0.854	2.47E-08	CCL5,CYBA,GZMB,IFIT3,ISG15,OAS1,OAS2,RSAD2,STAT1,TSC22D3	25 (5)
TLR9	 	transmembrane receptor	Activated	2.548	3.45E-08	CCL5,IFI44L,IFIT3,ISG15,MX1,OAS2,OAS3,RSAD2,STAT1	28 (14)
STAT6	 	transcription regulator	 	-1.004	3.60E-08	ACTB,AHNAK,AKAP13,CCL5,FCGR3A/FCGR3B,IFI44,IFI44L,IFIT3,IGHG1,ISG15,OAS3	22 (5)
IL21	 	cytokine	Activated	2.544	4.40E-08	CCL5,GZMB,IFIT3,IGHG1,ISG15,OAS2,RSAD2,TAP1	35 (15)
DNASE2	 	enzyme	 	 	4.55E-08	IFIT3,ISG15,OAS1,OAS3,RSAD2	 
PRDM16	 	transcription regulator	 	-1.432	6.14E-08	CCL5,IFI44,OAS2,OAS3,STAT1	26 (9)
GAPDH	 	enzyme	 	-1.400	6.14E-08	OAS1,OAS2,OAS3,STAT1,TXNIP	23 (6)
IL1B	 	cytokine	 	1.284	6.45E-08	B2M,CCL5,CX3CR1,CYBA,IFIT3,ISG15,MX1,NEAT1,OAS2,RSAD2,S100A9,STAT1,TPT1,TSC22D3,TXNIP	36 (15)
TLR3	 	transmembrane receptor	 	1.309	6.55E-08	CCL5,IFI44,IFI44L,IFIT3,ISG15,MX1,OAS1,RSAD2,STAT1	27 (13)
rosiglitazone	 	chemical drug	 	0.667	1.06E-07	CCL5,COX4I1,ETS1,IFIT3,OAS1,OAS2,OAS3,S100A9,SPON2,STAT1,TRIM22	34 (13)
NRAS	 	enzyme	 	-1.387	1.13E-07	B2M,CCL5,CX3CR1,ETS1,IGHM,ISG15,STAT1,TAP1	30 (9)
FZD9	 	G-protein coupled receptor	 	0.849	1.49E-07	CCL5,IFI44,ISG15,STAT1	 
IFNB1	 	cytokine	Activated	2.103	1.69E-07	CCL5,IFIT3,ISG15,MX1,OAS1,OAS2,RSAD2,STAT1,XAF1	27 (11)
IRF8	 	transcription regulator	 	-1.534	1.71E-07	B2M,CCL5,IFI44L,IFIT3,ISG15,OAS1,STAT1	31 (14)
SP110	 	transcription regulator	 	-1.134	1.71E-07	ETS1,IFIT3,MX1,OAS1,OAS3,STAT1,TXNIP	 
IRF9	 	transcription regulator	 	 	3.02E-07	IFIT3,ISG15,MX1,OAS2,STAT1	31 (11)
imiquimod	 	chemical drug	Activated	2.426	3.76E-07	ISG15,MX1,OAS1,RSAD2,S100A9,STAT1	32 (15)
OSM	 	cytokine	 	1.754	5.11E-07	ARL4C,B2M,CCL5,HLA-B,MX1,OAS1,S100A9,STAT1,SYNE1,TAP1,TRIM22	28 (8)
EBI3	 	cytokine	 	0.714	5.95E-07	B2M,HLA-B,MX1,STAT1,TAP1	22 (6)
poly dA-dT	 	chemical reagent	 	1.225	6.53E-07	CCL5,ISG15,RSAD2,STAT1	32 (15)
fluticasone propionate	 	chemical drug	 	-1.412	6.85E-07	CCL5,MX1,OAS2,PLAC8,STAT1,TAP1,TSC22D3	 
poly(dG-dC)	 	chemical reagent	 	 	8.07E-07	ISG15,RSAD2,STAT1	22 (5)
CLEC12A	 	other	 	 	8.07E-07	IFIT3,ISG15,RSAD2	22 (7)
interferon beta-1a	 	biologic drug	 	 	1.45E-06	GNLY,GZMB,IGHM,MX1,S100A9,STAT1	 
RPSA	 	translation regulator	 	-1.000	1.66E-06	CCL5,ISG15,STAT1,TAP1	13 (6)
USP18	 	peptidase	 	-1.067	1.66E-06	CCL5,ISG15,MX1,OAS1	24 (7)
ELAVL1	 	other	 	0.816	2.13E-06	B2M,IFI44,OAS1,OAS2,RACK1,STAT1,TSC22D3	 
MAP3K7	 	kinase	 	0.557	3.34E-06	CCL5,IFI44,IFIT3,OAS2,XAF1	29 (10)
NKX2-3	 	transcription regulator	 	-1.890	3.40E-06	BTG1,EIF4B,HLA-B,STAT1,TAP1,TRIM22,XAF1	 
IL4	 	cytokine	 	-1.306	4.94E-06	ACTB,AHNAK,AKAP13,CCL5,FCGR3A/FCGR3B,IFI44,IFI44L,IFIT3,IGHG1,ISG15,OAS3,S100A9,STAT1	34 (12)
IL15	 	cytokine	 	-0.794	5.04E-06	BTG1,CCL5,CX3CR1,ETS1,FCGR3A/FCGR3B,GNLY,GZMB,MX1,PLEK	 
IKBKE	 	kinase	 	0.094	5.68E-06	ADAR,CCL5,IFIT3,RSAD2,STAT1	25 (13)
CEBPA	 	transcription regulator	 	0.308	5.93E-06	ARL4C,BTG1,COX4I1,HLA-B,ISG15,OAS2,RUNX3,S100A9,TSC22D3	 
prednisolone	 	chemical drug	Inhibited	-2.449	6.90E-06	BTG1,IGHG1,SPON2,STAT1,TSC22D3,TXNIP,ZFP36L2	 
JAK	 	group	Activated	2.000	7.28E-06	IFIT3,ISG15,RSAD2,STAT1	24 (7)
ST1926	 	chemical drug	 	1.664	7.50E-06	ACTB,EEF2,EIF4B,PABPC1,TMSB10/TMSB4X,TPT1	 
MYC	 	transcription regulator	 	-1.886	7.58E-06	ACTB,EEF2,HLA-B,IFI44,IFI44L,IFIT3,MBP,MSN,MX1,OAS1,RSAD2,STAT1,TMSB10/TMSB4X,TXNIP	 
PDLIM2	 	other	 	1.342	7.86E-06	IFI44,IFIT3,OAS3,STAT1,TXNIP	29 (9)
2'3'-cyclic guanosine monophosphate-adenosine monophosphate	 	chemical - endogenous mammalian	 	 	8.27E-06	CCL5,ISG15,RSAD2	24 (9)
