© 2000-2020 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
IFNA2	 	cytokine	Activated	4.247	9.45E-47	DDX60,EIF2AK2,HERC6,HLA-A,HLA-B,HLA-C,IFI16,IFI27,IFI44,IFI44L,IFI6,IFIH1,IFIT1,IFIT3,IFITM3,ISG15,MX1,MX2,MYC,OAS1,OAS2,OAS3,PARP9,RBL2,RSAD2,SAMD9,SOCS3,SP100,STAT1,TNFSF10,TRIM22,XAF1,XBP1	49 (13)
Interferon alpha	 	group	Activated	3.755	4.41E-46	ADAR,EIF2AK2,EPSTI1,HERC6,HLA-A,HLA-B,HLA-C,IFI16,IFI27,IFI44,IFI44L,IFI6,IFIH1,IFIT1,IFIT3,IFITM3,IL6ST,IL7R,ISG15,MX1,MX2,MYC,OAS1,OAS2,OAS3,PARP14,PARP9,PIM1,RSAD2,S100A9,SAMD9,SAMD9L,SLFN5,SOCS3,SP100,STAT1,TNFSF10,TRIM22	49 (13)
IFNL1	 	cytokine	Activated	4.177	8.86E-42	DDX60,EIF2AK2,HERC6,HLA-B,HLA-C,IFI27,IFI44,IFI44L,IFI6,IFIH1,IFIT1,IFIT3,IFITM3,ISG15,MX1,OAS1,OAS2,OAS3,RSAD2,SAMD9,SP100,STAT1,TRIM22,XAF1	44 (9)
STAT1	0.493	transcription regulator	Activated	3.693	9.92E-34	DDX60,EIF2AK2,EPSTI1,HERC6,IFI16,IFI27,IFI44,IFI44L,IFI6,IFIH1,IFIT1,IFIT3,IFITM3,ISG15,MX1,MYC,OAS1,OAS2,OAS3,PARP9,PIM1,RSAD2,SAMD9L,SLFN5,SOCS3,STAT1,TNFSF10,TRIM22,XAF1	51 (12)
IRF7	 	transcription regulator	Activated	4.659	5.39E-32	ADAR,IFI16,IFI44,IFI44L,IFI6,IFIH1,IFIT1,IFIT3,IFITM3,ISG15,MX1,MX2,OAS1,OAS2,OAS3,PARP14,RSAD2,S100A8,SAMD9L,STAT1,TNFSF10,TRIM22,XAF1	48 (13)
IFN Beta	 	group	Activated	3.979	8.31E-32	EEF1A1,EIF2AK2,HLA-A,HLA-B,IFI16,IFI27,IFI44,IFI6,IFIH1,IFIT1,IFIT3,ISG15,MX1,MX2,MYC,OAS1,OAS2,OAS3,RSAD2,STAT1,TNFSF10,XAF1	51 (14)
PRL	 	cytokine	Activated	5.041	8.54E-32	ADAR,DTX3L,EIF2AK2,EPSTI1,HERC6,IFI44,IFI44L,IFI6,IFIH1,IFIT1,IFIT3,ISG15,MX2,MYC,OAS1,OAS2,OAS3,PARP14,PIM1,RSAD2,SAMD9,SAMD9L,SOCS3,SP100,STAT1,XAF1	49 (12)
IFNG	 	cytokine	Activated	4.457	4.88E-31	DDX60,DTX3L,EEF1A1,EIF2AK2,HERC6,HLA-A,HLA-B,HLA-C,IFI16,IFI27,IFI44,IFI44L,IFI6,IFIH1,IFIT1,IFIT3,IFITM3,IL7R,ISG15,LTB,MX1,MX2,MYC,OAS1,OAS2,OAS3,PARP14,PARP9,PIM1,RACK1,RSAD2,S100A8,S100A9,SAMD9,SLFN5,SOCS3,SP100,STAT1,TNFSF10,TRIM22,XAF1	53 (16)
RNY3	 	other	Activated	3.742	4.03E-29	DDX60,EPSTI1,IFI44,IFI44L,IFIT1,IFIT3,IFITM3,ISG15,MX1,OAS1,OAS2,OAS3,RSAD2,XAF1	 
STAT3	 	transcription regulator	 	0.075	6.74E-29	EIF2AK2,HERC6,HLA-A,IFI16,IFI27,IFI44,IFI6,IFIH1,IFIT1,IFIT3,IFITM3,IL6ST,ISG15,LDHB,MX1,MX2,MYC,OAS1,OAS2,OAS3,PIM1,RSAD2,S100A9,SLFN5,SOCS3,STAT1,TNFSF10,TRIM22,XAF1,XBP1	52 (20)
IRF3	 	transcription regulator	Activated	4.119	1.59E-28	ADAR,AHNAK,DDX60,EIF2AK2,IFI16,IFI27,IFI44,IFI6,IFIH1,IFIT1,IFIT3,IFITM3,ISG15,OAS1,OAS2,OAS3,PARP14,RSAD2,SAMD9L,SORL1,STAT1,TNFSF10	43 (14)
IRF1	 	transcription regulator	Activated	3.982	1.63E-27	EIF2AK2,IFI27,IFI44,IFI44L,IFI6,IFIH1,IFIT1,IFIT3,IFITM3,ISG15,LTB,MX1,MYC,OAS1,OAS2,OAS3,RSAD2,STAT1,TNFSF10,TRIM22,XAF1	51 (14)
IFNAR1	 	transmembrane receptor	Activated	2.354	9.00E-26	EIF2AK2,HLA-A,IFI16,IFI44,IFI6,IFIH1,IFIT3,ISG15,MX2,MYC,OAS1,OAS2,OAS3,RSAD2,SOCS3,STAT1,TNFSF10,TRIM22,XAF1	48 (14)
tretinoin	 	chemical - endogenous mammalian	Activated	3.209	2.04E-25	ADAR,AHNAK,DDX60,EEF1A1,EIF2AK2,ETS1,HLA-A,HLA-B,HLA-C,IFI16,IFI27,IFI44,IFI44L,IFI6,IFIH1,IFIT1,IFIT3,IL6ST,ISG15,MYC,OAS1,OAS2,OAS3,PARP14,PARP9,PIM1,RBL2,S100A8,S100A9,SAMD9L,SLFN5,SP100,STAT1,TNFSF10,TPT1,TRIM22,XAF1,XBP1	53 (16)
IL1RN	 	cytokine	Inhibited	-4.243	2.86E-25	HERC6,IFI27,IFI44,IFI44L,IFI6,IFIH1,IFIT3,MX1,MX2,OAS1,OAS2,OAS3,RSAD2,S100A9,SAMD9,SP100,TNFSF10,TRIM22	46 (8)
poly rI:rC-RNA	 	biologic drug	Activated	3.824	1.83E-24	ADAR,DDX60,EIF2AK2,HLA-A,HLA-B,HLA-C,IFI16,IFI27,IFI44,IFIH1,IFIT1,IFIT3,IFITM3,ISG15,LTB,MX1,MYC,OAS1,OAS2,OAS3,PARP14,PIM1,RSAD2,SOCS3,STAT1,TNFSF10	50 (13)
stallimycin	 	biologic drug	Activated	3.047	7.68E-23	IFI16,IFI27,IFI44,IFI6,IFIH1,IFIT1,IFIT3,IL7R,ISG15,MX1,OAS1,STAT1,TNFSF10	42 (9)
PNPT1	 	enzyme	Inhibited	-3.568	2.65E-22	EIF2AK2,IFI16,IFI44,IFIH1,IFIT3,ISG15,MYC,OAS1,PARP14,PARP9,SAMD9L,STAT1,XAF1	40 (6)
