© 2000-2020 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
Interferon alpha	 	group	Activated	3.041	8.78E-43	ADAR,B2M,CCL5,CCR5,CD8A,EIF1,EIF2AK2,EPSTI1,GIMAP4,GZMB,GZMH,HLA-A,HLA-B,HLA-C,IFI16,IFI27,IFI44,IFI44L,IFI6,IFIT1,IFIT3,IL7R,ISG15,ISG20,JAK1,MX1,MX2,OAS1,OAS2,OAS3,PARP14,PARP9,PLSCR1,RSAD2,S100A9,SAMD9,SAMD9L,SP100,STAT1,TRIM22	56 (13)
IFNA2	 	cytokine	Activated	3.454	3.41E-36	B2M,CCL5,EIF2AK2,HLA-A,HLA-B,HLA-C,HLA-E,IFI16,IFI27,IFI44,IFI44L,IFI6,IFIT1,IFIT3,ISG15,ISG20,MX1,MX2,OAS1,OAS2,OAS3,PARP9,PLSCR1,RBL2,RSAD2,SAMD9,SP100,STAT1,TRIM22,XAF1	55 (13)
IFNL1	 	cytokine	Activated	3.949	5.20E-34	EIF2AK2,HLA-B,HLA-C,IFI27,IFI44,IFI44L,IFI6,IFIT1,IFIT3,ISG15,ISG20,MX1,OAS1,OAS2,OAS3,PLSCR1,RSAD2,SAMD9,SP100,STAT1,TRIM22,XAF1	52 (12)
IFNG	 	cytokine	Activated	2.285	2.01E-33	ACTB,ADGRG1,ATM,B2M,CCL5,CCR5,DDX5,DTX3L,EEF1A1,EIF2AK2,GZMB,HLA-A,HLA-B,HLA-C,HLA-E,HSPA8,IFI16,IFI27,IFI44,IFI44L,IFI6,IFIT1,IFIT3,IL7R,ISG15,ISG20,ITGAL,JUN,JUNB,KLF2,LAG3,MCM4,MX1,MX2,OAS1,OAS2,OAS3,PARP14,PARP9,PLSCR1,RACK1,RSAD2,S100A8,S100A9,SAMD9,SP100,STAT1,TRIM22,XAF1	64 (17)
IRF7	 	transcription regulator	Activated	4.143	1.43E-28	ADAR,CCL5,IFI16,IFI44,IFI44L,IFI6,IFIT1,IFIT3,ISG15,ISG20,MX1,MX2,OAS1,OAS2,OAS3,PARP14,PLSCR1,RSAD2,S100A8,SAMD9L,STAT1,TRIM22,XAF1	51 (12)
PRL	 	cytokine	Activated	4.144	2.35E-26	ACTB,ADAR,B2M,DTX3L,EIF2AK2,EPSTI1,IFI44,IFI44L,IFI6,IFIT1,IFIT3,ISG15,JUN,MX2,OAS1,OAS2,OAS3,PARP14,PLSCR1,RSAD2,SAMD9,SAMD9L,SP100,STAT1,XAF1	57 (13)
IRF3	 	transcription regulator	Activated	3.386	2.71E-25	ADAR,AHNAK,B2M,CCL5,EIF2AK2,IFI16,IFI27,IFI44,IFI6,IFIT1,IFIT3,ISG15,ISG20,JUNB,LAG3,OAS1,OAS2,OAS3,PARP14,RSAD2,SAMD9L,STAT1	54 (14)
IFN Beta	 	group	Activated	3.234	4.08E-25	CCL5,EEF1A1,EIF2AK2,HLA-A,HLA-B,IFI16,IFI27,IFI44,IFI6,IFIT1,IFIT3,ISG15,MX1,MX2,OAS1,OAS2,OAS3,RSAD2,STAT1,XAF1	51 (13)
MAPK1	 	kinase	Inhibited	-3.040	2.54E-24	ADAR,CCL5,EIF2AK2,HLA-B,HLA-C,HLA-E,IFI16,IFI27,IFI44,IFI6,IFIT1,IFIT3,ISG15,ISG20,JUN,JUNB,LAG3,MKI67,MX2,OAS1,OAS2,OAS3,PLSCR1,SP100,STAT1,TRIM22	56 (12)
STAT1	0.430	transcription regulator	Activated	2.550	1.46E-23	B2M,CCL5,EIF2AK2,EPSTI1,HLA-E,IFI16,IFI27,IFI44,IFI44L,IFI6,IFIT1,IFIT3,ISG15,JUN,MX1,OAS1,OAS2,OAS3,PARP9,PLSCR1,RSAD2,SAMD9L,STAT1,TRIM22,XAF1	62 (13)
RNY3	 	other	Activated	3.464	2.47E-22	EPSTI1,IFI44,IFI44L,IFIT1,IFIT3,ISG15,MX1,OAS1,OAS2,OAS3,RSAD2,XAF1	 
lipopolysaccharide	 	chemical drug	Activated	2.961	4.71E-22	ADAR,CCL5,CCR5,CD8A,EEF2,EIF2AK2,GZMB,GZMH,HLA-A,HMGB2,HSPA8,IFI16,IFI27,IFI44,IFI44L,IFI6,IFIT1,IFIT3,IL7R,ISG15,ISG20,ITGAL,JUN,JUNB,KLF2,LMNB1,MKI67,MX1,MX2,OAS1,OAS2,OAS3,PARP14,PARP9,PLSCR1,RSAD2,S100A8,S100A9,STAT1,STMN1,TOP2A,TPT1,TRIM22,XAF1	60 (12)
ACKR2	 	G-protein coupled receptor	Inhibited	-3.051	1.81E-21	ADAR,CCL5,EIF2AK2,IFI16,IFI44,IFIT3,ISG15,ISG20,OAS1,OAS2,OAS3,RSAD2,STAT1	 
poly rI:rC-RNA	 	biologic drug	Activated	2.416	1.19E-20	ADAR,B2M,CCL5,EIF2AK2,HLA-A,HLA-B,HLA-C,HLA-E,IFI16,IFI27,IFI44,IFIT1,IFIT3,ISG15,ISG20,JUN,JUNB,MKI67,MX1,OAS1,OAS2,OAS3,PARP14,RSAD2,STAT1,TOP2A	52 (13)
