© 2000-2020 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
IL15	 	cytokine	 	0.395	6.60E-28	ACTN4,ALDOA,ARHGDIB,ATF4,BCL2,CALM1 (includes others),CASP3,CCND2,CCND3,CCR9,CD28,CD5,CD53,CD74,CD84,CD8A,CD8B,CDK4,CDK6,CDKN1B,CISH,COX6C,CPT1A,CREBBP,CTSW,DARS2,DPP4,EOMES,EPHB1,ETS1,FYB1,GATA3,GNLY,HK1,HNRNPF,IFIT1,IL18R1,IL2RA,IL2RG,IL32,IL7R,IRF1,ITGB1,KLRB1,KLRD1,KLRG1,LCK,LDHA,LSP1,MAPK1,NAGA,NFKBIA,PDIA4,PFDN4,PFKL,PGAM4,PGK1,PIK3R1,PIM1,PKM,PTP4A2,PTPN13,PTPRC,RAC2,SF1,SLC16A3,SMAD3,SOCS1,SOCS2,SORL1,SOS1,SP100,SPN,SRSF7,YARS1,ZFP36,ZFP36L1	342 (20)
CD3	 	complex	 	1.039	1.81E-27	ACTN4,ARHGDIB,ATF4,ATM,BATF,BCL2,BIRC3,BZW1,CALM1 (includes others),CASP3,CASP8,CCND2,CCND3,CCR9,CD247,CD28,CD5,CD53,CD74,CD8A,CD8B,CDK4,CDK6,CDKN1B,CISH,CLIP1,COX6C,CTSW,CXCR3,DOCK2,DPP4,DUSP2,EOMES,EPHB1,ETS1,FBL,FOS,FTL,FYB1,GATA3,GZMA,HNRNPF,IFIT1,IL18R1,IL2RA,IL2RG,IL32,IL7R,IRF1,JAK1,JAK3,LCK,LCP1,LNPEP,LSP1,MAPK1,NAGA,NCL,NFATC2,NFKBIA,NIT1,PCSK7,PDIA4,PFDN4,PREP,PTEN,PTMA,PTP4A2,PTPN13,PTPRC,RAC2,RBM3,RHOH,RORA,SCO1,SF1,SOCS1,SOCS2,SORL1,SOS1,SP100,SRP14,SRSF7,TAF15,TARDBP,TMPO,TNFAIP3,TRIM25,XAF1,YARS1,ZFP36,ZFP36L1,ZKSCAN1	273 (18)
TCR	 	complex	 	-0.293	1.53E-21	ABLIM1,ALDOA,ARHGEF1,ATP5F1B,BATF,BCL2,BIRC3,CCND3,CCR9,CD28,CD5,CD6,CD8B,CDKN1B,CISH,CXCR3,DDX58,EOMES,FBL,FOS,GATA3,GBP4,GZMA,HADH,IFI44,IFI44L,IFI6,IFIH1,IFIT1,IFIT3,IL18R1,IL2RA,IL7R,IRF1,ISG20,KLRG1,LBR,LCK,LPIN2,MAPK1,NDUFA10,NFATC2,NFKBIA,PDE3B,PDIA4,PGK1,PIK3CD,PIK3R1,PIM1,PRMT5,PTEN,PTPRC,SLC25A3,SOCS1,SOCS2,TNFAIP3,TNFSF13B,TSC22D1,UBA52,UNC13D,ZAP70,ZNFX1	364 (21)
IL2	 	cytokine	 	0.255	6.92E-21	APOBEC3G,ARHGAP25,ARHGEF6,ATM,BCL2,BHLHE40,BIRC3,CASP3,CCND2,CCND3,CCR9,CD247,CD28,CD3D,CD47,CD5,CD74,CD8A,CDK4,CDK6,CDKN1B,CFP,CISH,CTSC,CTSW,CXCR3,DARS2,DDX21,DENND2D,DPP4,DUSP2,ELF1,EOMES,ETS1,FOS,FOXO1,GATA3,GZMA,HDAC1,IL17RB,IL18R1,IL2RA,IL2RG,IL7R,IRF1,ISG20,ITGA1,ITGA6,ITGB1,ITK,ITSN2,JAK1,JAK3,KLF13,KLF6,KLRB1,KLRD1,KLRG1,LAPTM5,LCK,MAPKAPK2,NEAT1,OSBPL3,PDE3B,PHLDA1,PIM1,PLAC8,PLCB1,PTPN6,PTPRC,RFFL,S100A4,SATB1,SERPINB9,SOCS1,SOCS2,SOS1,STK17B,TIAL1,UGP2,VIM,YARS1	364 (21)
IL4	 	cytokine	 	-1.389	4.63E-18	ABLIM1,ACOX1,ACTB,ACTG1,AKAP13,ANXA6,APRT,ARSB,BCL2,BHLHE40,CASP3,CBX3,CCND2,CCND3,CCR9,CD300A,CD5,CD6,CD74,CD8A,CDK6,CDKN1B,CELF2,CISH,CLIP1,CMPK2,CST7,CTSC,CXCR3,CYTH1,DARS2,DDX42,DDX46,DENND4A,DOCK10,DPP4,EIF3G,EOMES,EPRS1,FBL,FOS,GATA3,GBP5,GZMA,HDAC1,IFI44,IFI44L,IFIH1,IFIT3,IGF2R,IL17RB,IL18R1,IL2RA,IL7R,IRF1,ISG20,ITGA1,ITGAL,ITGB1,JAK1,JAK3,KCNAB2,KIDINS220,KLF6,KLRB1,KLRD1,LPIN2,LRPPRC,LSP1,MAPK1,MVK,NCL,NFATC2,NFKBIA,PCYOX1L,PDS5A,PFKL,PIM1,PRKDC,PRRC2C,PSME1,PSTPIP1,PTPRCAP,S100A10,SCO2,SEC31A,SEMA4D,SLAMF7,SMC3,SNRNP200,SOCS1,SOCS2,SON,STAT2,STAT6,STK4,TES,TLN1,UBR4,UGGT1,VIM,ZFP36	254 (17)
CD28	0.334	transmembrane receptor	 	-0.190	5.41E-14	ARHGDIB,ATM,BCL2,BHLHE40,BZW1,CASP3,CASP8,CCND2,CCND3,CCR9,CD247,CD28,CDK4,CDK6,CDKN1B,CISH,CLIP1,COX6C,CXCR3,DDX58,EOMES,FBL,FOS,FYB1,GATA3,GZMA,IL18R1,IL2RA,IL7R,IRF1,ITGAL,LCP1,LDHA,LNPEP,LSP1,NCL,NFATC2,NFKBIA,PCSK7,PRMT5,PTEN,PTMA,RORA,SLC16A3,SOCS1,SOCS2,STAT6,TNFAIP3,TSC22D1	365 (20)
dexamethasone	 	chemical drug	 	0.335	8.32E-14	ABCB1,ACOX1,ACTB,ACTG1,ADAM10,AGAP5 (includes others),AKAP13,ARHGAP25,ARL4C,ATF4,ATP1A1,ATP1B1,B2M,BATF,BCL2,BHLHE40,BIRC3,BTG2,CALR,CANX,CASP3,CAST,CCND2,CCND3,CD3D,CD47,CD74,CD8B,CDK4,CDKN1B,CDV3,CELF2,CISH,CLIC1,CMPK2,COPA,COX4I1,CST7,CTSW,CXCR3,DDX58,DPH5,DST,EEF1A1,EPHB1,FAM111A,FMNL1,FOS,FOXN3,FOXO1,FTH1,FTL,GATA3,GBP5,GCC2,GIMAP5,GPX1,GZMA,HDAC1,HLA-A,HNRNPF,HNRNPH1,HSPH1,ID2,IFI44,IFI6,IFIT1,IFIT3,IL17RB,IL18R1,IL2RA,IL32,IL7R,IRF1,ISG20,ITGA1,ITGB1,JAK3,KCNK6,KLF13,KLF6,KLRB1,KLRD1,KPNB1,LAPTM5,LDHA,LITAF,LPIN2,LSP1,LUC7L3,MAPK1,MAPK7,MBP,MCM4,MOB1A,MVK,NAGA,NAGK,NFKBIA,NIBAN1,NUB1,PABPC1,PAFAH1B1,PCGF5,PHLDA1,PIK3CD,PIK3R1,PIM1,PLAAT4,PNRC2,PPP1CB,PREP,PRKAR2A,PRKCB,PRPF4B,PSD4,PSME1,PSME2,PTPN6,RBL2,RBM25,RORA,S100A10,S100A4,SAMHD1,SCAF11,SCD,SCMH1,SEC61A1,SEPTIN7,SERPINB9,SLC14A2,SLC2A8,SLC30A7,SLC44A2,SMAD3,SOCS1,SOCS2,SRRM1,SRSF4,SSRP1,ST3GAL1,STAT2,TNFAIP3,TPR,TPT1,TSC22D1,UCP2,UGP2,USF2,VCL,VCP,VIM,WDR1,WIPF1,XAF1,ZFP36,ZFP36L1,ZFP36L2,ZNF91	385 (18)
Interferon alpha	 	group	 	0.658	1.15E-13	APOBEC3G,B2M,BCL2,BTG2,CASP3,CASP8,CCND2,CCND3,CD81,CD8A,CDKN1B,CDKN2D,CISH,CXCR3,DDX58,EIF1,FOS,GATA3,GBP5,GIMAP4,GZMH,HLA-A,HLA-B,HLA-F,IFI44,IFI44L,IFI6,IFIH1,IFIT1,IFIT3,IFITM2,IL18R1,IL2RA,IL32,IL7R,IRF1,ISG20,ITGB1,JAK1,KLRG1,LCK,NFKBIA,PARVG,PIM1,PLAAT4,PTBP1,SERPINB9,SHFL,SLAMF7,SLFN5,SOCS1,SOCS2,SP100,STAT2,TNFSF13B,TRANK1	248 (17)
ST1926	 	chemical drug	Activated	2.247	4.04E-13	ACTB,ARF1,ATP5F1A,ATP5F1B,CDK4,CHCHD2,CLIC1,COX6C,EEF2,EIF3G,EIF4B,KARS1,MOB1A,NACA,PABPC1,SEPTIN7,SKP1,SLC25A3,SLC25A6,SNRPD2,SP140,SSR2,ST13,TMSB10/TMSB4X,TPT1,TRIR,UBA52,UQCRB,UQCRH,VAMP8,YBX1	 
CD 437	 	chemical drug	Activated	2.898	4.24E-13	ALDOA,ARF1,ARHGDIB,ATP5F1A,ATP5F1B,CDK4,CLIC1,COX6C,CST7,EEF2,EIF3G,EIF4B,FOS,FTH1,FTL,HNRNPC,KARS1,MOB1A,NACA,NFKBIA,PABPC1,PCBP1,SEPTIN7,SH3BGRL3,SKP1,SLC25A3,SLC25A6,SNRPD2,SP140,SSR2,ST13,TMSB10/TMSB4X,UBA52,UQCRH,YBX1	 
IL3	 	cytokine	 	0.973	7.50E-13	ACOX1,APBA2,ARHGDIB,ARHGEF1,BCL2,BIRC3,BTG2,CALR,CASP3,CCND2,CCND3,CD247,CD3D,CD53,CDKN1B,CISH,CPT1A,DHPS,EEF1A1,EIF3G,ELK4,FOS,FUS,GPX1,GZMA,HK1,HLA-A,IL17RB,IL2RA,KLF13,KPNB1,NACA,NCL,PFKL,PIM1,PSME1,RBM3,SLAMF7,SMAD4,SNRPD2,SOCS1,TIAL1,UCP2,USF2,WNK1,YBX1	277 (17)
PRL	 	cytokine	Activated	2.529	1.18E-12	ACTB,B2M,BCL2,CCND3,CDK4,CISH,CMPK2,COX4I1,CTSS,DDX58,FOS,GNA12,HIPK3,ID2,IFI44,IFI44L,IFI6,IFIH1,IFIT1,IFIT3,IL2RA,IRF1,ITGA1,MAFG,MAGED1,PDIA4,PDIA5,PIM1,PSME1,PSME2,SAMHD1,SHFL,SOCS1,SOCS2,SP100,STAT2,TNFSF13B,TPM3,TRIM25,VIM,XAF1	288 (18)
ESR1	 	ligand-dependent nuclear receptor	 	-0.986	2.67E-12	ABCB1,ABLIM1,ACOX1,ADD3,AKAP13,ANP32A,ARID4A,ATP1B1,BCL2,BIRC3,CASP8AP2,CCND3,CD74,CDC42,CDC5L,CDK4,CDK6,CDKN1B,COPA,COPZ1,CREBBP,CTSC,CTSS,DDX17,DDX21,DIAPH1,DST,DYNC1I2,EP300,FMR1,FOS,FOXO1,GATA3,GNA12,HIP1R,HLA-B,HLA-E,HNRNPD,HSPH1,IFI44,IFI44L,IFI6,IFITM2,IL2RA,IRF1,ISG20,ITGA6,JAK1,JAK3,KCNK6,KHDRBS1,KIF5B,KPNB1,KTN1,LAPTM5,LCK,MAP3K14,MAPK1,MAPK8IP3,NFKBIA,PAK2,PCNT,PDE7A,PKN2,PLCB1,PPP1R12A,PPP2R5C,PRUNE1,PSD4,PTEN,PTMA,PTP4A2,PTPN13,PTTG1IP,RAB27A,RBL2,RBM25,ROCK1,RRBP1,S100B,SAMHD1,SCD,SEC31A,SERPINB9,SETD2,SFPQ,SLC16A3,SLC1A4,SLC44A2,SLC9A3R1,SMAD3,SMC3,SOCS2,SON,SOS1,SP100,STK4,TACC1,TAOK1,TC2N,TMED10,TMPO,TNFAIP3,TNIP1,TPR,TRAM1,TSPYL2,UGP2,UHMK1,VIM,WNK1,YARS1	396 (21)
camptothecin	 	chemical drug	 	0.767	2.76E-12	ABCB1,ALDOA,ARHGEF1,ATM,BCL2,BIRC3,BIRC6,BTG2,CASP3,CASP8,CAST,CD47,CD53,CDK4,CDK6,CHCHD7,CSNK1G2,EEF1A1,EEF1B2,FOS,FOXN3,FOXO1,GAPVD1,H3-3A/H3-3B,HLA-A,HLA-B,HLA-E,HLA-F,IL18R1,IL2RA,IMPA2,INPP4A,IQGAP2,IRF1,LITAF,LRRC14,NCL,NFKBIA,OPTN,PAK2,PCBP4,PIK3CD,PKN2,PLAC8,PRKDC,PRUNE1,PSD4,PSTPIP1,PTEN,PTP4A2,RALBP1,RASGRP2,RPA3,RSL1D1,SERPINB9,SOCS1,SORL1,STK17B,SYNE1,TIAL1,TNFAIP3,TSPYL2,WNK1,ZFP36L1	377 (20)
CD40LG	 	cytokine	 	0.366	1.56E-11	AKAP13,ANXA6,ANXA7,APOBEC3G,APRT,ARSB,B2M,BATF,BATF3,BCL2,BIRC3,CAST,CBX3,CCND3,CD8A,CDK6,CDKN1B,CELF2,CFP,CLIP1,CTSC,CXCR3,DDX42,DDX46,DUSP2,FBL,FOS,ID2,IFI44,IFI6,IFIT1,IFIT3,IL2RA,IL7R,IRF1,NFKBIA,PIM1,PRKDC,PSME1,PSME2,SEMA4D,SOCS1,STK4,TNFAIP3,TNFSF13B,TNIP1,ZAP70,ZFP36L1	280 (20)
MYC	 	transcription regulator	 	-0.494	3.15E-11	ACTB,ACTN4,ALDOA,ANXA6,ARHGAP25,ATF4,ATP5IF1,BCL2,BRD2,CANX,CASP3,CASP8,CAST,CCND2,CCND3,CD47,CDK4,CDK6,CDKN1B,CNBP,CPT1A,DDX21,DDX3X,DNMT1,DUSP2,EEF2,EIF3G,EOMES,FBL,FOS,FTH1,GBP4,GDI1,GLG1,H3-3A/H3-3B,HLA-A,HLA-B,HLA-E,HNRNPD,HNRNPH1,HSPH1,ID2,IFI44,IFI44L,IFI6,IFIH1,IFIT1,IFIT3,IKZF1,IL17RB,IMPA2,IQGAP2,ISG20,ITGA1,ITGA6,ITGAL,ITGB1,KLF6,LDHA,MBP,MYBBP1A,NCL,NFKBIA,NIBAN1,NOP56,PFKL,PGK1,PHF20,PKM,PREP,PTBP1,PTEN,PTMA,PTPRC,RFFL,ROCK1,RUVBL2,S100A10,S100A6,SCD,SLC16A3,SLC38A1,SMAD4,SNRPD2,SP100,SPN,SRSF2,ST3GAL1,TES,TLN1,TMSB10/TMSB4X,TNFSF13B,VIM,XPO1,YBX1,YTHDC1,ZFP36,ZFP36L1	389 (21)
