© 2000-2020 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
dexamethasone	 	chemical drug	Activated	2.866	3.71E-37	ACTB,ACTG1,ALOX5AP,ANXA1,ANXA3,APP,BIRC3,BTG1,BTG2,CAMP,CANX,CCL5,CD38,CD44,CD52,CD59,CD69,CD74,CEACAM1,CEACAM6,CEACAM8,CFLAR,CHI3L1,COX4I1,CST7,CTSD,CXCR4,CYBB,DEFA1 (includes others),DEFA4,DUSP1,EEF1A1,ENO1,ERLIN1,EZR,FCMR,FTL,GAPDH,GRN,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQB1,HLA-DRA,HLA-DRB1,HMGN2,HP,HSP90B1,HSPA5,IFI6,IL4R,IL7R,IRF8,IRS2,ISG15,JUN,KLF6,LAPTM5,LCN2,LDHA,LTB,MAPK14,MMP8,MS4A1,MS4A3,MSRB1,MX1,NFKBIA,NLRC4,NUCB2,OLFM4,PABPC1,PARP14,PGD,PRKCB,PYGL,RETN,RNASE2,RNASE3,S100A8,S100A9,S100P,SCD,SEC63,SELL,SERPINB1,SLPI,SORT1,SPOCK2,SRGN,SRSF11,STAT1,STOM,TOP2A,TPT1,TSC22D3,TSPAN2,TXNIP,UGCG,XAF1,XBP1,ZFP36L1	172 (20)
filgrastim	 	biologic drug	Activated	2.596	1.68E-34	ANXA1,ANXA3,BIRC3,BTG2,CCL5,CD44,CD52,CD59,CD69,CD74,CEACAM1,CEACAM6,CST7,CXCR4,CYBB,DEFA1 (includes others),DEFA4,ENO1,ERLIN1,FCMR,GAPDH,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQB1,HLA-DRA,HLA-DRB1,HP,IFI6,IL4R,ISG15,JUN,KLF6,LDHA,MAPK14,MMP8,MS4A3,MX1,NLRC4,OLFM4,PARP14,PGD,RNASE2,RNASE3,SERPINB1,SORT1,STAT1,XAF1,XBP1,ZFP36L1	 
lipopolysaccharide	 	chemical drug	Activated	3.058	4.90E-34	ALOX5AP,ANXA1,ANXA3,APP,ARG1,BIRC3,BPI,BTG1,CAMP,CCL5,CCNI,CD38,CD44,CD59,CD63,CD69,CD74,CEACAM1,CEACAM8,CFLAR,CHI3L1,COX4I1,CXCR4,CYBB,DDX17,DUSP1,EEF2,ELANE,ENO1,GCA,GSN,H3-3A/H3-3B,HDGF,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HMGB2,HP,HSH2D,HSP90B1,HSPA5,IFI44L,IFI6,IGHG1,IL17RA,IL24,IL4R,IL7R,IRF8,ISG15,IVNS1ABP,JCHAIN,JUN,KLF6,LCN2,LDHA,LTF,LYZ,MKI67,MMP8,MPO,MTDH,MX1,NFKBIA,P4HB,PARP14,PAX5,PDIA4,PGLYRP1,PKM,PRDX5,PTPRC,PTPRCAP,RESF1,RETN,RNASE2,S100A8,S100A9,SELL,SERPINB1,SLPI,STAT1,SWAP70,TALDO1,TKT,TMSB10/TMSB4X,TOP2A,TPT1,TSC22D3,TSPO,TXNIP,XAF1,XBP1	153 (18)
CSF3	 	cytokine	Activated	3.537	1.10E-23	ARG1,BIRC3,CCL5,CD44,CEACAM8,CEBPE,CTSD,CXCR4,CYBB,DUSP6,ELANE,ETS1,GNLY,HLA-DPA1,HLA-DQA1,HLA-DRA,HLA-DRB1,JUN,LCN2,LTB,LTF,LYZ,MMP8,MPO,PRKCB,RAB27A,S100P,SELL	115 (19)
tretinoin	 	chemical - endogenous mammalian	 	1.498	1.20E-21	ADD3,AHNAK,ANXA1,APP,ARG1,BIRC3,BPI,BTG1,BTG2,CD38,CD44,CD52,CD63,CD74,CEACAM1,CEACAM6,CEBPE,CTSD,CTSS,CXCR4,CYBB,DEFA1 (includes others),DEFA4,DUSP1,EEF1A1,EEF1D,ETS1,GCA,GNAS,HDGF,HLA-DMB,IFI44L,IFI6,IL24,ISG15,JAK1,JCHAIN,JUN,LCN2,LTF,MAP3K1,MMP8,MNDA,MPO,MS4A1,MS4A3,NLRC4,OLFM4,PARP14,PGD,PNRC1,PRKCB,PTPRC,RFLNB,S100A8,S100A9,SCD,SELL,SLPI,SRGN,STAT1,STK10,TCL1A,TMSB10/TMSB4X,TOP2A,TPT1,TSC22D3,XAF1,XBP1	146 (21)
IFNG	 	cytokine	 	-0.770	8.17E-21	ACTB,ALOX5AP,APP,ARG1,ATM,BIRC3,BTG1,CCL5,CD38,CD44,CD63,CD74,CEACAM1,CFLAR,CIRBP,CTSD,CTSS,CXCR4,CYBB,DDX5,DUSP1,EEF1A1,ENO1,FTL,GNAS,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-E,HSPA5,IFI44L,IFI6,IGHG1,IL17RA,IL4R,IL7R,IRF8,IRS2,ISG15,JUN,KLF6,LCN2,LDHA,LTB,MAPK14,MNDA,MX1,NFKBIA,PARP14,PKM,RAB27A,RACK1,S100A8,S100A9,SELL,SLPI,SORT1,STAT1,TSC22D3,TXNIP,XAF1	129 (20)
TNF	 	cytokine	 	-0.519	4.66E-20	ACTB,ALOX5AP,ANXA1,APAF1,APP,ARG1,BIRC3,BTG1,BTG2,CCL5,CD38,CD44,CD59,CD69,CFLAR,CHI3L1,CST7,CTSS,CXCR4,CYBB,DDX5,DUSP1,DUSP6,ETS1,GRN,HLA-DRA,HLA-E,HP,HSP90B1,HSPA5,IFI6,IL24,IL4R,IL7R,IRF8,IRS2,ISG15,JAK1,JUN,KLF6,LCN2,LDHA,LTB,MAPK14,MMP8,MPO,MTDH,MX1,MYL6,NFKBIA,NUCB2,P2RX5,P4HB,PARP14,PDIA4,PKM,PTPRC,RETN,RNASE2,S100A8,S100A9,SCD,SELL,SERPINB1,SERPINB10,SLPI,STAT1,TALDO1,TPT1,TSC22D3,TXNIP,UGCG	167 (18)
IL15	 	cytokine	 	0.928	5.06E-20	ANXA1,BTG1,CCL5,CD38,CD44,CD59,CD69,CD74,CEACAM1,CXCR4,DEFA1 (includes others),ENO1,ETS1,GAPDH,GNAS,GNLY,GPI,IL24,IL7R,JUN,LDHA,MKI67,MX1,NFKBIA,PDIA4,PGD,PKM,PTPRC,PYGL,SELL,SRGN,TALDO1,TKT,TOP2A,XBP1,ZFP36L1	134 (19)
beta-estradiol	 	chemical - endogenous mammalian	 	1.281	5.44E-20	ACTB,ANXA1,ANXA3,APAF1,APP,ARG1,ATAD2,ATM,BAZ1A,BIRC3,BTG1,BTG2,CCL5,CCNI,CD44,CD69,CD74,CENPF,CHI3L1,CTSD,CXCR4,CXXC5,CYBB,DDX17,DUSP1,DUSP6,ENO1,ETS1,HBA1/HBA2,HBB,HDGF,HLA-DQA1,HLA-DRB1,HLA-E,HMGB2,HSP90B1,HSPA5,IL24,IL4R,IL7R,IRS2,ISG15,JAK1,JUN,KLF6,KMT2E,LAPTM5,LCN2,LDHA,LTB,LTF,LYZ,MAPK14,MKI67,MPO,MX1,NFKBIA,NSD3,NUCB2,OLFM4,P4HB,PDIA4,PGLYRP1,PKM,PRKCB,PYGL,RAB31,RACK1,RBM39,SLPI,SPOCK2,TACSTD2,TOP2A,TSC22D3,TSPO,TXNIP,XBP1	155 (14)
KRAS	 	enzyme	 	-0.123	8.10E-20	AHNAK,ARG1,BIRC3,CD44,CD74,CEACAM1,CHI3L1,CYBB,DUSP1,DUSP6,EEF1A1,ENO1,GAPDH,GRN,GSN,HLA-DMB,HLA-DRB1,HNRNPDL,HSPA5,IFI6,IL24,ISG15,IVNS1ABP,JUN,KLF6,LBH,LCN2,LDHA,LYZ,MAPK14,MX1,NFKBIA,OLFM4,PABPC1,PKM,PTPRC,RAB27A,SCD,SORT1,STAT1,STOM,TOP2A,ZFP36L1	153 (20)
IL4	 	cytokine	 	-0.826	2.46E-18	ACTB,ACTG1,AHNAK,ALOX5AP,ANXA1,ARG1,CCL5,CD38,CD44,CD69,CD74,CD79A,CD79B,CFLAR,CST7,CXCR4,CYBB,FCRL1,H1-0,HLA-DMA,HLA-DMB,HSH2D,IFI44L,IGHG1,IGHG2,IGHG3,IL24,IL4R,IL7R,IRF8,ISG15,JAK1,JCHAIN,JUN,KLF6,LTB,MKI67,MS4A1,MTDH,NAP1L1,NFKBIA,PAX5,PTPRCAP,S100A8,S100A9,SELL,STAT1,SWAP70,VPS13C,XBP1	106 (16)
