© 2000-2020 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
IFNG	 	cytokine	Activated	2.738	 	5.97E-58	ACTB,AQP9,BCL2A1,BTG1,CCND3,CCR1,CCR2,CD14,CD163,CD36,CD4,CD55,CD63,CD74,CMPK2,CTSB,CTSD,CTSH,CTSS,CXCL8,CYBB,DDX5,DDX60L,DTX3L,DUSP1,EEF1A1,EIF2AK2,ENO1,FCGR1A,FCGR1B,FCN1,FGL2,FKBP5,FOS,FPR2,GBP1,GLUL,GNAS,GSTP1,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-F,HSP90AB1,IER2,IFI16,IFI27,IFI44,IFI44L,IFI6,IFIT1,IFIT2,IFIT3,IFITM2,IFITM3,IL17RA,IL1RN,ISG15,ITGB2,JUN,JUNB,KLF10,LDHA,LGALS9,LY6E,MAPK14,MNDA,MX1,MX2,MYD88,NEAT1,NFKBIA,OAS1,OAS2,OAS3,OASL,PARP14,PARP9,PIM1,PKM,PLSCR1,PTAFR,RACK1,RSAD2,S100A8,S100A9,SAMD9,SELL,SOCS3,SORT1,SP110,STAT1,TLR2,TNFAIP2,TNFSF13B,TRIM22,TXNIP,TYMP,XAF1	162 (21)
lipopolysaccharide	 	chemical drug	Activated	4.080	 	1.81E-53	ACSL1,ADAR,ALDH2,APOBEC3A,BCL2A1,BTG1,CALM1 (includes others),CAPN2,CCND3,CCNI,CCNL1,CCR1,CCR2,CD14,CD163,CD36,CD4,CD55,CD63,CD74,CDC42EP3,CFD,CKAP4,CMPK2,CRTAP,CST3,CTSB,CXCL8,CYBB,DDX17,DUSP1,EEF2,EIF2AK2,ENO1,FCGRT,FGL2,FOS,FPR1,FPR2,GBP1,GCA,GSTP1,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRB5,IFI16,IFI27,IFI44,IFI44L,IFI6,IFIT1,IFIT2,IFIT3,IFITM2,IL17RA,IL1RN,ISG15,ITGB2,JUN,JUNB,KLF10,LDHA,LGALS1,LGALS9,LMNB1,MAFB,MKI67,MPO,MX1,MX2,MYD88,NFKBIA,OAS1,OAS2,OAS3,OASL,PARP14,PARP9,PIM1,PKM,PLSCR1,PTAFR,RETN,RGS2,RNASE2,RSAD2,S100A12,S100A8,S100A9,SAT1,SELL,SERPINB1,SIGLEC1,SLC39A8,SOCS3,STAT1,TLR2,TMSB10/TMSB4X,TNFAIP2,TNFSF13B,TPT1,TRIM22,TSPO,TXNIP,TYMP,UBE2J1,VCAN,XAF1,YWHAG,ZFP36L2	177 (21)
dexamethasone	 	chemical drug	 	-0.566	 	5.96E-46	ACSL1,ACTB,ACTR3,ADAM10,ALDH1A1,ALDH2,BCL2A1,BTG1,CCND3,CCR1,CCR2,CD163,CD36,CD52,CD55,CD74,CDC42EP3,CFD,CFL1,CLU,CMPK2,CR1,CRYBG1,CST3,CTSB,CTSD,CXCL8,CYBB,CYP1B1,DUSP1,EEF1A1,EMILIN2,ENO1,EPSTI1,EZR,F5,FGL2,FKBP5,FOS,FPR2,GAPDH,GBP1,GLUL,GRN,GSTP1,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HMGN2,IER2,IFI44,IFI6,IFIT1,IFIT2,IFIT3,IFITM3,IL1RN,IQGAP1,ISG15,JUN,JUNB,LAP3,LDHA,LDLR,LGALS1,LGALS2,LSP1,LY6E,MAPK14,MS4A4A,MX1,NFKBIA,NIBAN1,OAS3,OASL,PABPC1,PARP14,PGD,PIM1,PSAP,PTAFR,RETN,RGS2,RNASE2,RSAD2,S100A8,S100A9,SAT1,SELL,SERPINB1,SLC2A3,SOCS3,SORT1,STAT1,TGFBI,TLR2,TMEM176B,TNFAIP2,TPT1,TXNIP,VCAN,XAF1,ZFP36L1,ZFP36L2	170 (25)
Interferon alpha	 	group	Activated	5.446	 	7.69E-44	ADAR,APOBEC3A,BCL2A1,CCND3,CCR1,CXCL8,DUSP6,EIF1,EIF2AK2,EPSTI1,FCGR1A,FOS,GBP1,HLA-F,IFI16,IFI27,IFI44,IFI44L,IFI6,IFIT1,IFIT2,IFIT3,IFITM2,IFITM3,IL17RA,IL1RN,ISG15,LAP3,LGALS9,MNDA,MX1,MX2,MYD88,NFKBIA,OAS1,OAS2,OAS3,PARP14,PARP9,PIM1,PLSCR1,RNF213,RSAD2,S100A9,SAMD9,SAMD9L,SAT1,SERPINB1,SIGLEC1,SLC2A3,SOCS3,SP110,STAT1,TLR2,TNFSF13B,TRIM22,TYMP	132 (15)
filgrastim	 	biologic drug	 	1.854	 	3.75E-42	ACSL1,CCND3,CD163,CD52,CD55,CD74,CDC42EP3,CLU,CR1,CRYBG1,CST3,CXCL8,CYBB,CYP1B1,EMILIN2,ENO1,EPSTI1,F5,FGL2,FKBP5,GAPDH,GBP1,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,IFI44,IFI6,IFIT1,IFIT2,IFIT3,ISG15,JUN,LAP3,LDHA,LDLR,LGALS2,MAPK14,MS4A4A,MX1,OAS3,OASL,PARP14,PGD,RNASE2,RSAD2,SERPINB1,SORT1,STAT1,TNFAIP2,XAF1,ZFP36L1	 
PRL	 	cytokine	Activated	4.876	 	3.03E-39	ACTB,ACTR3,ADAR,ANXA2,CAPN2,CCND3,CLU,CMPK2,CST3,CTSA,CTSB,CTSD,CTSH,CTSS,DDX60L,DTX3L,EIF2AK2,ENO1,EPSTI1,FOS,IFI44,IFI44L,IFI6,IFIT1,IFIT3,ISG15,JUN,LY6E,MX2,OAS1,OAS2,OAS3,PARP14,PIM1,PLSCR1,RSAD2,SAMD9,SAMD9L,SOCS3,SP110,STAT1,TNFSF13B,TPM3,XAF1,YWHAG	155 (20)
tretinoin	 	chemical - endogenous mammalian	Activated	4.346	 	1.84E-36	ACSL1,ADAM10,ADAR,AHNAK,ALDH1A1,ANXA2,ANXA6,AP1S2,AQP9,BCL2A1,BTG1,CALM1 (includes others),CAPN2,CCND3,CCR1,CD14,CD36,CD52,CD63,CD74,CLTC,CTSB,CTSD,CTSS,CXCL8,CYBB,DDX60L,DUSP1,EEF1A1,EIF2AK2,EIF3C,FOS,GCA,GNAS,GRB2,GSTP1,HLA-DMB,IFI16,IFI27,IFI44,IFI44L,IFI6,IFIT1,IFIT2,IFIT3,ISG15,ITGB2,ITM2B,JUN,LAP3,LGALS1,LGALS9,LSP1,LY6E,MAFB,MNDA,MPO,NCL,OAS1,OAS2,OAS3,OASL,PARP14,PARP9,PGD,PIM1,PLSCR1,PNRC1,PTAFR,RNF213,S100A8,S100A9,SAMD9L,SELL,SP110,STAT1,TGFBI,TLR2,TMSB10/TMSB4X,TNFAIP2,TPM4,TPT1,TRIM22,WSB1,XAF1	165 (19)
STAT1	0.438	transcription regulator	Activated	3.656	 	2.35E-35	BTG1,CCND3,CD14,CMPK2,CTSS,CXCL8,EIF2AK2,EPSTI1,FCGR1A,FGL2,FOS,GBP1,HLA-DQA1,HLA-DRB5,IFI16,IFI27,IFI44,IFI44L,IFI6,IFIT1,IFIT2,IFIT3,IFITM2,IFITM3,ISG15,JUN,LY6E,MX1,OAS1,OAS2,OAS3,OASL,PARP9,PIM1,PLSCR1,RNF213,RSAD2,SAMD9L,SOCS3,SORT1,SP110,STAT1,TNFSF13B,TRIM22,TYMP,XAF1	146 (13)
TNF	 	cytokine	Activated	2.315	 	3.62E-34	ACSL1,ACTB,ALDH2,AQP9,BCL2A1,BLVRA,BTG1,CCND3,CCR1,CCR2,CD14,CD163,CD36,CD4,CD55,CFD,CLU,CTSB,CTSS,CXCL8,CYBB,CYP1B1,DDX5,DUSP1,DUSP6,EIF2AK2,EMP1,FCGRT,FOS,FPR1,FPR2,GASK1B,GBP1,GRN,GSTP1,HLA-DRA,HLA-F,HSP90AB1,IER2,IFI16,IFI27,IFI6,IFIT1,IFIT3,IL1RN,ISG15,ITGB2,JUN,JUNB,KLF10,LDHA,LDLR,LGALS9,MAPK14,MPO,MX1,MYD88,MYL6,NEAT1,NFKBIA,OAS1,OAS2,OAS3,OASL,PARP14,PCBP2,PIM1,PKM,PLSCR1,RETN,RGS2,RNASE2,S100A8,S100A9,SAMD9,SAT1,SELL,SERPINB1,SOCS3,STAT1,TLR2,TMEM176B,TNFAIP2,TNFSF13B,TPT1,TXNIP,TYMP,YWHAG	158 (20)
IFNL1	 	cytokine	Activated	5.077	bias	4.03E-34	CMPK2,CXCL8,DDX60L,EIF2AK2,GBP1,IFI27,IFI44,IFI44L,IFI6,IFIT1,IFIT2,IFIT3,IFITM2,IFITM3,ISG15,MX1,OAS1,OAS2,OAS3,OASL,PLSCR1,RSAD2,SAMD9,SP110,STAT1,TLR2,TRIM22,XAF1	164 (20)
