© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Interferon Signaling	1.22E01	2.22E-01	2.121	IFI6,IFIT3,IFITM1,ISG15,JAK1,MX1,PSMB8,STAT1	
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	6.83E00	1.47E-01	NaN	B2M,CD247,GZMB,HLA-B,HLA-E	
Antigen Presentation Pathway	6.52E00	1.28E-01	NaN	B2M,HLA-B,HLA-E,PSMB8,PSMB9	
Type I Diabetes Mellitus Signaling	5.48E00	5.41E-02	0.000	CD247,GZMB,HLA-B,HLA-E,JAK1,STAT1	
Th1 Pathway	5.26E00	4.96E-02	-1.342	CCR5,CD247,HLA-B,JAK1,RUNX3,STAT1	
Caveolar-mediated Endocytosis Signaling	5.15E00	6.85E-02	NaN	ACTB,B2M,HLA-B,HLA-E,ITGB1	
Natural Killer Cell Signaling	5.1E00	3.55E-02	0.378	B2M,CD247,FCGR3A/FCGR3B,HLA-B,HLA-E,ITGB1,SH2D1A	
Th1 and Th2 Activation Pathway	4.41E00	3.51E-02	NaN	CCR5,CD247,HLA-B,JAK1,RUNX3,STAT1	
PD-1, PD-L1 cancer immunotherapy pathway	4.36E00	4.72E-02	2.236	B2M,CD247,HLA-B,HLA-E,JAK1	
Virus Entry via Endocytic Pathways	4.34E00	4.67E-02	NaN	ACTB,B2M,HLA-B,HLA-E,ITGB1	
Protein Ubiquitination Pathway	4.19E00	2.56E-02	NaN	B2M,HLA-B,HLA-E,PSMB8,PSMB9,PSME2,UBA52	
Glycolysis I	3.94E00	1.15E-01	NaN	ENO1,GAPDH,PKM	
Th2 Pathway	3.84E00	3.68E-02	-1.000	CCR5,CD247,HLA-B,JAK1,RUNX3	
Allograft Rejection Signaling	3.55E00	4.65E-02	NaN	B2M,GZMB,HLA-B,HLA-E	
CTLA4 Signaling in Cytotoxic T Lymphocytes	3.49E00	4.49E-02	NaN	B2M,CD247,HLA-B,HLA-E	
OX40 Signaling Pathway	3.48E00	4.44E-02	NaN	B2M,CD247,HLA-B,HLA-E	
Cdc42 Signaling	3.43E00	2.99E-02	NaN	B2M,CD247,HLA-B,HLA-E,ITGB1	
Communication between Innate and Adaptive Immune Cells	3.37E00	4.17E-02	NaN	B2M,CCL5,HLA-B,HLA-E	
T Cell Exhaustion Signaling Pathway	3.34E00	2.86E-02	NaN	GZMB,HLA-B,HLA-E,JAK1,STAT1	
Pathogenesis of Multiple Sclerosis	3.33E00	2.22E-01	NaN	CCL5,CCR5	
