© 2000-2020 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
Interferon alpha	 	group	Activated	5.579	1.91E-35	ADA2,ADAM19,ADAR,ANXA5,CCR5,CSF2RB,EIF1,EIF2AK2,ENPP2,EPSTI1,FBXO6,FCER1A,FCGR1A,FOS,GBP1,HLA-A,IFI16,IFI27,IFI44,IFI44L,IFI6,IFIH1,IFIT1,IFIT3,IFITM2,IFITM3,IFNAR1,IL6ST,IRF7,ISG15,LAP3,LILRB4,MCL1,MX1,MX2,NFKBIA,OAS2,OAS3,PARP14,PARP9,PSMB9,RABGAP1L,RNF213,RSAD2,S100A9,SAMD9L,SLAMF7,SP100,SP110,STAT1,STAT2,TAP1,TLR7,TNFSF10,TRIM22,TYMP	137 (18)
IFNG	 	cytokine	Activated	2.920	3.71E-31	ADA2,AIF1,ALOX5AP,BTG1,CCR5,CD74,CFP,CHST11,CLEC10A,CORO1A,CSF2RB,CTSC,CTSS,DDX5,DDX60L,DTX3L,DUSP1,EIF2AK2,FBP1,FCGR1A,FCGR1B,FCN1,FGL2,FKBP5,FOS,GAS6,GBP1,HCK,HDAC9,HLA-A,HLA-DMA,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HSPA5,IFI16,IFI27,IFI44,IFI44L,IFI6,IFIH1,IFIT1,IFIT3,IFITM2,IFITM3,IRF7,ISG15,ITGAX,LAT2,LST1,LY6E,MX1,MX2,NFKBIA,OAS2,OAS3,PARP14,PARP9,PKM,PLEK,PSMB9,PTPN1,RELB,RSAD2,S100A9,SAMHD1,SEC11A,SEC61A1,SELL,SP100,SP110,SQSTM1,STAT1,STAT2,TAP1,TFRC,TLR7,TNFAIP2,TNFRSF1B,TNFSF10,TRIM22,TXNIP,TYMP,TYROBP,XAF1	158 (19)
lipopolysaccharide	 	chemical drug	Activated	4.003	1.22E-30	ADAR,ALOX5AP,ANXA1,ANXA5,ARL4C,ARPC1B,BTG1,CALM1 (includes others),CCR5,CD74,CFP,CORO1A,CSF2RB,CST3,CTSC,DUSP1,EIF2AK2,ENPP2,ETV6,FES,FGL2,FOS,FYB1,GBP1,H1-10,H3-3A/H3-3B,HCK,HDAC9,HERPUD1,HLA-A,HLA-DMA,HLA-DQA1,HLA-DQB1,HLA-DRB5,HSP90B1,HSPA5,ID2,IFI16,IFI27,IFI44,IFI44L,IFI6,IFIH1,IFIT1,IFIT3,IFITM2,IGHM,IL13RA1,IL6ST,IRF7,ISG15,ITGAX,ITM2C,JCHAIN,LILRB4,LMNB1,LRRFIP1,LST1,LTA4H,LYZ,MCL1,MEF2C,MX1,MX2,NFKBIA,NOTCH2,OAS2,OAS3,OGT,PARP14,PARP9,PDIA3,PDIA4,PKM,PLEK,PSMB9,PTGDS,RELB,RSAD2,S100A9,SEC11A,SEC61A1,SELL,SLAMF7,STAT1,STAT2,TAP1,TFEC,TFRC,TLR7,TNFAIP2,TNFRSF1B,TNFSF10,TPT1,TRIM22,TXNIP,TYMP,TYROBP,UCP2,VIM,XAF1	171 (19)
tretinoin	 	chemical - endogenous mammalian	Activated	2.520	1.15E-27	ABHD2,ADAR,AHNAK,ANXA1,ANXA5,ANXA6,BTG1,CALM1 (includes others),CCR5,CD1C,CD52,CD74,CFP,CLTC,COTL1,CTSC,CTSS,DDX60L,DUSP1,EIF2AK2,ENPP2,ETS1,ETV6,FOS,HLA-A,HNRNPK,HTT,ID2,IFI16,IFI27,IFI44,IFI44L,IFI6,IFIH1,IFIT1,IFIT3,IGHM,IL6ST,ISG15,ITGAX,ITM2B,JCHAIN,KLF13,LAP3,LY6E,MCL1,MEF2C,NDRG1,NRIP1,OAS2,OAS3,PARP14,PARP9,PGD,PLEK,PRKCB,PSMB9,PTGDS,PTP4A3,RNF213,S100A9,SAMD9L,SAMHD1,SELL,SLAMF7,SLC38A2,SOX4,SP100,SP110,STAT1,STAT2,TAP1,TFRC,TGFBI,TNFAIP2,TNFRSF1B,TNFSF10,TPM4,TPT1,TRIM22,TYROBP,UCP2,VIM,WNK1,XAF1,XRCC5,YWHAB	160 (19)
IRF7	0.401	transcription regulator	Activated	4.946	2.46E-26	ADAR,ATP5F1A,FCGR1A,GBP1,IFI16,IFI44,IFI44L,IFI6,IFIH1,IFIT1,IFIT3,IFITM2,IFITM3,IRF7,ISG15,ITGAX,MCL1,MX1,MX2,OAS2,OAS3,PARP14,PLAC8,PSMB9,RSAD2,SAMD9L,STAT1,STAT2,TAP1,TNFSF10,TRIM22,XAF1	93 (13)
IFNL1	 	cytokine	Activated	4.885	5.80E-26	DDX60L,EIF2AK2,GBP1,GPATCH11,IFI27,IFI44,IFI44L,IFI6,IFIH1,IFIT1,IFIT3,IFITM2,IFITM3,ISG15,MX1,OAS2,OAS3,PSMB9,RSAD2,SP100,SP110,STAT1,STAT2,TRIM22,XAF1	146 (18)
STAT1	0.593	transcription regulator	Activated	3.350	1.84E-24	BTG1,CTSS,EIF2AK2,EPSTI1,FCGR1A,FGL2,FOS,GBP1,HLA-DQA1,HLA-DRB5,IFI16,IFI27,IFI44,IFI44L,IFI6,IFIH1,IFIT1,IFIT3,IFITM2,IFITM3,IRF7,ISG15,ITGAX,LY6E,MX1,OAS2,OAS3,PARP9,PSMB9,RNF213,RSAD2,SAMD9L,SAMHD1,SP110,STAT1,STAT2,TAP1,TNFSF10,TRIM22,TYMP,XAF1	169 (16)
IFNA2	 	cytokine	Activated	5.344	1.67E-22	ANXA1,EIF2AK2,GBP1,GPATCH11,HLA-A,IFI16,IFI27,IFI44,IFI44L,IFI6,IFIH1,IFIT1,IFIT3,IFITM2,IFITM3,IRF7,ISG15,LILRB4,LY6E,MX1,MX2,OAS2,OAS3,PARP9,RSAD2,SAMHD1,SP100,SP110,STAT1,TAP1,TNFSF10,TRIM22,XAF1	136 (19)
PRL	 	cytokine	Activated	2.683	1.96E-22	ADAR,ANXA5,CST3,CTSS,DDX60L,DTX3L,EIF2AK2,EPSTI1,FOS,HERPUD1,ID2,IFI44,IFI44L,IFI6,IFIH1,IFIT1,IFIT3,IRF7,ISG15,LY6E,MX2,OAS2,OAS3,PARP14,PDIA4,RSAD2,SAMD9L,SAMHD1,SCP2,SP100,SP110,STAT1,STAT2,VIM,XAF1	134 (17)
resiquimod	 	chemical drug	Activated	2.137	2.49E-22	ADAR,AIF1,ATP5F1A,EIF2AK2,FCGR1A,FCGR1B,GBP1,HCK,HERPUD1,HSPA5,IFI16,IFI44L,IFIT1,IFIT3,IFITM3,IRF7,ISG15,ITGAX,LAP3,LYST,MCL1,MX1,MX2,NFKBIA,OAS2,OAS3,PKM,RELB,SP100,STAT1,STAT2,TLR7,TNFSF10,TRIM22,YWHAB	118 (12)
dexamethasone	 	chemical drug	 	-0.629	2.28E-21	ABHD2,AGPAT3,AKIRIN1,ALOX5AP,ANXA1,ARL4C,BTG1,CCT2,CD1C,CD52,CD74,CNN2,COPA,CRIP1,CST3,DUSP1,EPSTI1,FBP1,FCER1A,FGL2,FKBP5,FOS,FOXN3,GAPDH,GAS6,GBP1,HERPUD1,HLA-A,HLA-DMA,HLA-DPA1,HLA-DPB1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HSP90B1,HSPA5,ID2,IFI44,IFI6,IFIT1,IFIT3,IFITM3,IGHM,IL6ST,IRF7,ISG15,KLF13,LAP3,LGALS2,LILRB4,LST1,LY6E,MCL1,MEF2C,MS4A6A,MX1,NFKBIA,NKTR,NOTCH2,NREP,NRIP1,OAS3,PABPC1,PARP14,PGD,PLEK,PRKCB,PSAP,PTGDS,RABGAP1L,RELB,RGS10,RSAD2,S100A9,SAMHD1,SEC61A1,SELL,SQSTM1,STAT1,STAT2,TFRC,TGFBI,TNFAIP2,TNFSF10,TPT1,TXNIP,UCP2,UGCG,VIM,XAF1,XRCC5	206 (23)
filgrastim	 	biologic drug	 	-0.352	2.44E-21	ANXA1,CCT2,CD52,CD74,CST3,EPSTI1,FBP1,FCER1A,FGL2,FKBP5,GAPDH,GBP1,HLA-DPA1,HLA-DPB1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,IFI44,IFI6,IFIT1,IFIT3,ISG15,LAP3,LGALS2,LST1,MEF2C,MS4A6A,MX1,OAS3,PARP14,PGD,RABGAP1L,RELB,RSAD2,SAMHD1,SQSTM1,STAT1,TNFAIP2,VIM,XAF1	 
IL4	 	cytokine	Inhibited	-2.325	4.33E-21	ADAM19,AHNAK,ALOX5AP,ANXA1,ANXA6,ARID5A,CCR5,CD1C,CD74,CLEC10A,CLTC,COBLL1,CRIP1,CSF2RB,CTSC,CYB561A3,DDX46,EIF2AK2,FKBP5,FOS,HCK,HLA-DMA,IFI16,IFI44,IFI44L,IFIH1,IFIT3,IFITM3,IFNAR1,IL13RA1,IL6ST,IRF7,ISG15,ITGAX,JCHAIN,LAS1L,LGALS2,LILRB4,LTA4H,MCL1,NAP1L1,NDRG1,NFKBIA,OAS3,PTPN1,RNF213,S100A9,SEC31A,SELL,SLAMF7,SQSTM1,STAT1,STAT2,TFEC,TFRC,TGFBI,UBR4,VIM,VPS35,XRCC5	164 (20)
STAT3	 	transcription regulator	 	-0.660	2.11E-20	CCR5,CD74,EIF2AK2,ENPP2,FCGR1A,FGL2,FOS,HBB,HLA-A,HLA-DMA,HLA-DQA1,HLA-DRB5,ID2,IFI16,IFI27,IFI44,IFI6,IFIH1,IFIT1,IFIT3,IFITM2,IFITM3,IL6ST,IRF7,ISG15,LILRB4,LYZ,MCL1,MX1,MX2,NDRG1,OAS2,OAS3,PDIA4,PSMB9,RSAD2,S100A9,SP110,STAT1,STAT2,TAP1,TNFRSF1B,TNFSF10,TRIM22,VIM,XAF1	163 (21)
IRF3	 	transcription regulator	Activated	4.636	1.77E-18	ADAR,AHNAK,EIF2AK2,FCGR1A,GBP1,IFI16,IFI27,IFI44,IFI6,IFIH1,IFIT1,IFIT3,IFITM3,IRF7,ISG15,OAS2,OAS3,PARP14,PLAC8,RSAD2,SAMD9L,SORL1,STAT1,STAT2,TAP1,TNFSF10,VIM	91 (14)
CD40LG	 	cytokine	 	0.735	2.08E-18	ANXA6,BTG1,CCR5,CD1C,CFP,CTSC,DDX46,DUSP1,EIF2AK2,FOS,HLA-DQA1,HLA-DQB1,ID2,IFI44,IFI6,IFIT1,IFIT3,IL13RA1,ISG15,LAS1L,MCL1,MX1,NAP1L1,NFKBIA,PLEK,PSMB9,PTPN1,RELB,SELL,STAT1,TAP1,TFRC,TNFAIP2,TNFSF10,TYMP,XRCC5	157 (21)
Immunoglobulin	 	complex	 	0.331	2.57E-18	ADAM19,AIF1,ALDOA,ATP5F1A,ATP5F1B,ATP5MC3,CD74,CFP,CSF2RB,DUSP1,EIF2AK2,FBP1,FCER1A,FCGR1A,FOS,HCK,HLA-A,HLA-DQB1,IDH3A,IFIT3,IRF7,ITGAX,JCHAIN,LILRB4,LST1,MCL1,MDH2,MEF2C,NFKBIA,NKTR,OAS2,OGT,PLEK,RAB31,RELB,RSAD2,S100A9,SCP2,SELL,TFRC,TLR7,TNFRSF1B,TYMP	146 (18)
IRF1	 	transcription regulator	Activated	4.274	2.82E-18	CTSS,EIF2AK2,FGL2,IFI27,IFI44,IFI44L,IFI6,IFIH1,IFIT1,IFIT3,IFITM3,IRF7,ISG15,MX1,OAS2,OAS3,PSMB9,RSAD2,SELL,SP110,STAT1,STAT2,TAP1,TNFSF10,TRIM22,XAF1	145 (17)
Ifnar	 	group	Activated	3.603	4.74E-18	CD74,EIF2AK2,FCER1A,HLA-A,IFI16,IFIH1,IFIT3,IFITM3,IRF7,ISG15,OAS2,PSMB9,RNF213,RSAD2,STAT1,STAT2,TAP1,TLR7,TNFSF10,XAF1	122 (17)
