© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Communication between Innate and Adaptive Immune Cells	1.97E01	1.35E-01	NaN	CD79A,CD79B,HLA-A,HLA-B,HLA-C,HLA-DRB1,HLA-E,HLA-F,IGHA1,IGHG1,IGHG2,IGHG3,IGHM	
Autoimmune Thyroid Disease Signaling	1.71E01	2.04E-01	NaN	HLA-A,HLA-B,HLA-C,HLA-DQB1,HLA-DRB1,HLA-E,HLA-F,IGHG1,IGHG2,IGHG3	
Allograft Rejection Signaling	1.64E01	1.28E-01	NaN	HLA-A,HLA-B,HLA-C,HLA-DPB1,HLA-DQB1,HLA-DRB1,HLA-E,HLA-F,IGHG1,IGHG2,IGHG3	
Antigen Presentation Pathway	1.59E01	2.31E-01	NaN	CD74,HLA-A,HLA-B,HLA-C,HLA-DPB1,HLA-DQB1,HLA-DRB1,HLA-E,HLA-F	
Systemic Lupus Erythematosus Signaling	1.47E01	5.68E-02	NaN	CD79A,CD79B,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HNRNPA2B1,IGHG1,IGHG2,IGHG3,IGHM,PTPRC	
B Cell Development	1.41E01	2.22E-01	NaN	CD79A,CD79B,HLA-A,HLA-B,HLA-DQB1,HLA-DRB1,IGHM,PTPRC	
Dendritic Cell Maturation	1.27E01	6.01E-02	-1.000	HLA-A,HLA-B,HLA-C,HLA-DQB1,HLA-DRB1,HLA-E,HLA-F,IGHG1,IGHG2,IGHG3,LTB	
PD-1, PD-L1 cancer immunotherapy pathway	1.18E01	8.49E-02	2.828	HLA-A,HLA-B,HLA-C,HLA-DPB1,HLA-DQB1,HLA-DRB1,HLA-E,HLA-F,JAK1	
Type I Diabetes Mellitus Signaling	1.16E01	8.11E-02	NaN	HLA-A,HLA-B,HLA-C,HLA-DQB1,HLA-DRB1,HLA-E,HLA-F,IRF1,JAK1	
B Cell Receptor Signaling	1.11E01	5.41E-02	-1.000	CD79A,CD79B,CFL1,ETS1,IGHA1,IGHG1,IGHG2,IGHG3,IGHM,PTPRC	
Graft-versus-Host Disease Signaling	1.1E01	1.46E-01	NaN	HLA-A,HLA-B,HLA-C,HLA-DQB1,HLA-DRB1,HLA-E,HLA-F	
Primary Immunodeficiency Signaling	1.08E01	1.4E-01	NaN	CD79A,IGHA1,IGHG1,IGHG2,IGHG3,IGHM,PTPRC	
OX40 Signaling Pathway	1.07E01	8.89E-02	NaN	HLA-A,HLA-B,HLA-C,HLA-DPB1,HLA-DQB1,HLA-DRB1,HLA-E,HLA-F	
Cdc42 Signaling	1E01	5.39E-02	NaN	CFL1,HLA-A,HLA-B,HLA-C,HLA-DPB1,HLA-DQB1,HLA-DRB1,HLA-E,HLA-F	
T Cell Exhaustion Signaling Pathway	9.83E00	5.14E-02	NaN	HLA-A,HLA-B,HLA-C,HLA-DPB1,HLA-DQB1,HLA-DRB1,HLA-E,HLA-F,JAK1	
Crosstalk between Dendritic Cells and Natural Killer Cells	9.01E00	7.87E-02	NaN	HLA-A,HLA-B,HLA-C,HLA-DRB1,HLA-E,HLA-F,LTB	
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	8.98E00	7.78E-02	NaN	CD79A,CD79B,HLA-A,HLA-B,HLA-DQB1,HLA-DRB1,LTB	
Th1 Pathway	8.07E00	5.79E-02	-2.449	HLA-A,HLA-B,HLA-DPB1,HLA-DQB1,HLA-DRB1,IRF1,JAK1	
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	7.95E00	1.47E-01	NaN	HLA-A,HLA-B,HLA-C,HLA-E,HLA-F	
Hematopoiesis from Pluripotent Stem Cells	7.13E00	1.02E-01	NaN	IGHA1,IGHG1,IGHG2,IGHG3,IGHM	
Th1 and Th2 Activation Pathway	7.03E00	4.09E-02	NaN	HLA-A,HLA-B,HLA-DPB1,HLA-DQB1,HLA-DRB1,IRF1,JAK1	
Neuroinflammation Signaling Pathway	6.55E00	2.67E-02	-2.449	HLA-A,HLA-B,HLA-C,HLA-DQB1,HLA-DRB1,HLA-E,HLA-F,JAK1	
Th2 Pathway	6.28E00	4.41E-02	NaN	HLA-A,HLA-B,HLA-DPB1,HLA-DQB1,HLA-DRB1,JAK1	
Caveolar-mediated Endocytosis Signaling	6.25E00	6.85E-02	NaN	HLA-A,HLA-B,HLA-C,HLA-E,HLA-F	
Systemic Lupus Erythematosus In T Cell Signaling Pathway	6.21E00	2.4E-02	-2.828	HLA-A,HLA-B,HLA-C,HLA-DPB1,HLA-DQB1,HLA-DRB1,HLA-E,HLA-F	
Phagosome Maturation	6.01E00	3.97E-02	NaN	HLA-A,HLA-B,HLA-C,HLA-DRB1,HLA-E,HLA-F	
IL-4 Signaling	5.92E00	5.88E-02	NaN	HLA-A,HLA-B,HLA-DQB1,HLA-DRB1,JAK1	
CTLA4 Signaling in Cytotoxic T Lymphocytes	5.82E00	5.62E-02	NaN	HLA-A,HLA-B,HLA-C,HLA-E,HLA-F	
Systemic Lupus Erythematosus In B Cell Signaling Pathway	5.65E00	2.55E-02	-1.890	CD79A,CD79B,IGHA1,IGHG1,IGHM,JAK1,LTB	
Role of NFAT in Regulation of the Immune Response	5.55E00	3.31E-02	-2.449	CD79A,CD79B,HLA-A,HLA-B,HLA-DQB1,HLA-DRB1	
Virus Entry via Endocytic Pathways	5.42E00	4.67E-02	NaN	HLA-A,HLA-B,HLA-C,HLA-E,HLA-F	
