© 2000-2020 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
IFNG	 	cytokine	 	-0.273	1.12E-24	BCL2A1,BTG1,CD74,CTSS,CXCL8,DDX5,FCGR1A,FCGR1B,FOS,FTL,GBP1,GBP2,GLUL,HLA-A,HLA-B,HLA-C,HLA-DQB1,HLA-DRB1,HLA-E,IRF1,JUN,NAMPT,PIM1,PIM3,RACK1,S100A8,S100A9,SOCS3,STAT1,THBS1,TNFAIP2,TNFRSF1B,TXNIP,TYMP,WARS1	46 (16)
IL1B	 	cytokine	 	1.887	1.67E-21	BCL2A1,CD74,CTSS,CXCL8,DDX5,F13A1,FOS,GBP1,GBP2,HLA-A,HLA-E,IRF1,JUN,NAMPT,NIBAN1,PIM1,PIM3,S100A8,S100A9,SOCS3,STAT1,THBS1,TMEM176B,TNFAIP2,TNFRSF1B,TXNIP,TYMP,VCAN	46 (15)
lipopolysaccharide	 	chemical drug	 	0.583	3.44E-20	ACSL1,BCL2A1,BTG1,CALM1 (includes others),CD74,CDC42EP3,CST3,CXCL8,DDX17,EEF2,FOS,GBP1,GBP2,HLA-A,HLA-DQB1,IRF1,JUN,LYZ,MAFB,NAMPT,PIM1,S100A12,S100A8,S100A9,SOCS3,STAT1,THBS1,TMSB10/TMSB4X,TNFAIP2,TNFRSF1B,TXNIP,TYMP,VCAN,WARS1,ZFP36L2	48 (16)
dexamethasone	 	chemical drug	 	-1.021	1.14E-18	ACSL1,BCL2A1,BTG1,CD74,CDC42EP3,CST3,CXCL8,FOS,FTL,GBP1,GBP2,GLUL,HLA-A,HLA-DQB1,HLA-DRB1,IRF1,JUN,LAP3,NAIP,NIBAN1,PABPC1,PIM1,PSAP,S100A8,S100A9,SLC2A3,SOCS3,STAT1,THBS1,TMEM176B,TNFAIP2,TXNIP,VCAN,WARS1,ZFP36L2	51 (23)
poly rI:rC-RNA	 	biologic drug	 	1.266	4.23E-17	CD74,CXCL8,FCGR1A,FOS,GBP1,GBP2,HLA-A,HLA-B,HLA-C,HLA-E,IRF1,JUN,LYZ,NAMPT,PIM1,PIM3,SOCS3,STAT1,THBS1,TNFAIP2	44 (12)
IL27	 	cytokine	 	0.852	3.29E-16	CD74,CXCL8,FOS,GBP2,HLA-A,HLA-B,HLA-C,HLA-DQB1,HLA-E,IRF1,PIM1,SOCS3,STAT1	44 (14)
Interferon alpha	 	group	Activated	2.003	6.85E-16	BCL2A1,CXCL8,FCGR1A,FOS,GBP1,GBP2,HLA-A,HLA-B,HLA-C,IRF1,LAP3,PIM1,S100A9,SLC2A3,SOCS3,STAT1,TYMP,WARS1	33 (12)
TGFB1	 	growth factor	 	-1.284	5.93E-15	AHNAK,BTG1,CALM1 (includes others),CDC42EP3,CST3,CTSS,CXCL8,DDX5,F13A1,FCGR1A,FOS,FTL,GBP1,GBP2,HLA-DQB1,IRF1,JUN,MALAT1,NAMPT,PIM1,RACK1,SLC2A3,SOCS3,STAT1,THBS1,TXNIP,TYMP,VCAN,ZFP36L2	47 (22)
OSM	 	cytokine	 	1.202	2.04E-14	CXCL8,FOS,GBP1,GBP2,GLUL,HLA-A,HLA-B,HLA-C,IRF1,JUN,NAMPT,S100A12,S100A8,S100A9,SOCS3,STAT1,TNFAIP2,TYMP	46 (24)
Immunoglobulin	 	complex	 	-1.582	5.97E-14	ACSL1,BCL2A1,CD74,CXCL8,FCGR1A,FOS,HLA-A,HLA-DQB1,IRF1,NAIP,NAMPT,S100A12,S100A8,S100A9,SOCS3,TNFRSF1B,TYMP,VCAN	42 (17)
