© 2000-2020 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
IL4	 	cytokine	 	0.284	 	5.05E-10	ABLIM1,AHNAK,FOS,GBP5,IL7R,NFKBIA,PRDM1,PRRC2C,SOCS3,SON,STAT1,STK4,TCF7	15 (7)
CD28	 	transmembrane receptor	 	1.979	 	3.17E-08	ATM,FOS,IL7R,LDHA,NFKBIA,PRDM1,SOCS3,TCF7	11 (14)
EIF2AK2	 	kinase	 	1.095	bias	2.85E-07	ERAP2,FOS,NFKBIA,SOCS3,STAT1	12 (12)
IFNG	 	cytokine	 	1.649	 	3.96E-07	ATM,ERAP2,FOS,GBP5,HLA-E,IL7R,LDHA,NFKBIA,PRDM1,SLFN5,SOCS3,STAT1	13 (16)
NFATC2	 	transcription regulator	 	1.633	 	4.81E-07	ATM,LDHA,NFKBIA,RGS1,SOCS3,STAT1	10 (7)
TCR	 	complex	 	1.963	 	8.85E-07	ABLIM1,FOS,IL7R,NFKBIA,PRDM1,SOCS3,STAT1	13 (15)
CD40LG	 	cytokine	 	0.942	bias	1.38E-06	FOS,IL7R,NFKBIA,PRDM1,RGS1,STAT1,STK4	13 (15)
IL27	 	cytokine	 	1.288	 	2.06E-06	FOS,HLA-E,PRDM1,SOCS3,STAT1	14 (17)
Interferon alpha	 	group	 	0.347	 	3.30E-06	FOS,GBP5,IL7R,NFKBIA,SLFN5,SOCS3,STAT1	12 (15)
STAT5A	 	transcription regulator	 	 	 	3.32E-06	ATM,ERAP2,FOS,IL7R,PRDM1,SOCS3	10 (11)
SAFB2	 	other	 	 	 	5.48E-06	CHD3,FOS,HLA-E	 
COMMD1	 	transporter	 	 	 	6.23E-06	LDHA,NFKBIA,STAT1	 
STAT1	0.528	transcription regulator	 	1.059	bias	1.25E-05	FOS,GBP5,HLA-E,SLFN5,SOCS3,STAT1	12 (8)
BCL6	 	transcription regulator	 	 	 	1.42E-05	IL7R,LBH,PRDM1,SOCS3,STAT1	11 (6)
cycloheximide	 	chemical reagent	 	-0.224	 	1.51E-05	FOS,IL7R,LDHA,NFKBIA,PRDM1,SOCS3	13 (16)
TLR4	 	transmembrane receptor	 	 	 	1.77E-05	ATM,NFKBIA,PRDM1,RGS1,SOCS3,STAT1	10 (8)
STAT3	 	transcription regulator	 	1.620	 	2.01E-05	FOS,GBP5,LDHA,PRDM1,SLFN5,SOCS3,STAT1	12 (16)
Gpcr	 	group	 	 	 	2.03E-05	FOS,RGS1	 
U 50488H	 	chemical reagent	 	 	 	2.03E-05	FOS,IL7R	 
IL27RA	 	transmembrane receptor	 	 	 	2.08E-05	PRDM1,SOCS3,STAT1	12 (8)
Tlr	 	group	 	1.951	bias	2.40E-05	NFKBIA,RGS1,SOCS3,STAT1	12 (9)
salmonella minnesota R595 lipopolysaccharides	 	chemical - endogenous non-mammalian	 	1.202	bias	2.74E-05	FOS,NFKBIA,SLFN5,SOCS3	9 (7)
