© 2000-2020 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
CSF3	 	cytokine	 	0.816	 	4.59E-08	CCL5,CD44,ERAP2,ETS1,GNLY,GZMH,TNFRSF1B	9 (5)
alefacept	 	biologic drug	Activated	2.228	bias	7.13E-08	CCL5,FCGR3A/FCGR3B,GNLY,PRF1,STAT1	 
IL12 (family)	 	group	 	-1.153	bias	1.98E-07	CCL5,CD44,FCGR3A/FCGR3B,GZMH,PRF1,STAT1	15 (10)
IL15	 	cytokine	 	-1.504	bias	1.93E-06	CCL5,CD44,ETS1,FCGR3A/FCGR3B,FYN,GNLY,PRF1,SPN	13 (6)
TNFSF11	 	cytokine	Inhibited	-2.190	bias	1.32E-05	AKAP13,CCL5,CD44,ETS1,STAT1,TNFRSF1B	15 (9)
IFNG	 	cytokine	 	-1.297	bias	1.37E-05	BTN3A1,BTN3A2,CCL5,CD44,DDX5,ERAP2,FCGR3A/FCGR3B,HLA-E,RUNX3,STAT1,TNFRSF1B,TXNIP	20 (7)
ST1926	 	chemical drug	 	1.109	bias	1.54E-05	EEF2,EIF4B,PABPC1,TMSB10/TMSB4X,TPT1	 
IL2	 	cytokine	 	-1.311	bias	2.67E-05	ARHGAP25,CCL5,CD44,ETS1,FCGR3A/FCGR3B,FYN,PRF1,TNFRSF1B	11 (7)
IL18	 	cytokine	 	-1.000	bias	2.69E-05	CCL5,CD44,FCGR3A/FCGR3B,GZMH,PRF1	14 (6)
CALCA	 	other	 	1.000	bias	3.35E-05	AHNAK,AKAP13,CD44,EIF4B	 
CXCL12	 	cytokine	 	-1.172	bias	4.32E-05	CCL5,CD44,FYN,RUNX3,TNFRSF1B	 
CD 437	 	chemical drug	 	1.342	bias	4.75E-05	CCL5,EEF2,EIF4B,PABPC1,TMSB10/TMSB4X	 
PIK3CG	 	kinase	 	1.000	 	5.36E-05	FCGR3A/FCGR3B,GZMH,PRF1,STAT1	 
CSF1	 	cytokine	 	-1.446	bias	6.36E-05	CCL5,FCGR3A/FCGR3B,STAT1,TNFRSF1B,TPT1	14 (5)
lipopolysaccharide	 	chemical drug	 	-1.121	bias	6.53E-05	AKAP13,CCL5,CD44,EEF2,FYN,GZMH,RESF1,RUNX3,STAT1,TMSB10/TMSB4X,TNFRSF1B,TPT1,TXNIP	18 (5)
ETS1	-0.326	transcription regulator	 	-1.067	bias	6.93E-05	CCL5,CD44,ETS1,PRF1,RUNX3	 
U0126	 	chemical - kinase inhibitor	 	1.342	bias	7.14E-05	CCL5,CD44,EEF2,ETS1,MACF1,PABPC1,STAT1	11 (7)
TCR	 	complex	 	-1.964	bias	8.15E-05	CCL5,CD44,FYN,PRF1,STAT1,TNFRSF1B	15 (10)
IL12A	 	cytokine	 	 	 	9.85E-05	CCL5,PRF1,STAT1	4 (3)
FBXO42	 	other	 	 	 	1.32E-04	CCL5,STAT1	 
decitabine	 	chemical drug	 	0.267	bias	1.43E-04	CCL5,CD44,EIF4B,HLA-E,PABPC1,RUNX3,STAT1,TMSB10/TMSB4X	 
TGFB1	 	growth factor	 	-1.728	 	1.50E-04	AHNAK,CCL5,CD44,DDX5,ETS1,FCGR3A/FCGR3B,FYN,MALAT1,MYBL1,RUNX3,STAT1,TXNIP	17 (7)
SAFB	 	other	 	 	 	1.59E-04	CCL5,EIF4B,HLA-E	 
IL27	 	cytokine	 	 	 	1.85E-04	CCL5,HLA-E,SPTBN1,STAT1	5 (3)
IKBKB	 	kinase	 	0.715	bias	2.38E-04	CCL5,CD44,ETS1,FYN,TNFRSF1B	16 (9)
TWIST1	 	transcription regulator	 	-0.577	bias	2.96E-04	CD44,ETS1,RUNX3,SPOCK2	 
5-azacytidine	 	chemical drug	 	-1.969	bias	3.31E-04	CD44,FYN,PRF1,RUNX3	 
SPHK2	 	kinase	 	 	 	3.32E-04	CCL5,FYN	 
ADAM15	 	peptidase	 	 	 	3.32E-04	CCL5,CD44	 
DDX58	 	enzyme	 	 	 	3.59E-04	AHNAK,CCL5,STAT1	5 (6)
